idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1910004	0	nan
1	6505	130	12	1825384	0	nan
2	6512	130	13	1755372	0	nan
3	6520	130	17	1802188	0	nan
4	6528	130	12	1897072	0	nan
5	6529	130	11	1837816	0	nan
6	6532	130	19	2128820	0	nan
7	6536	130	12	1847004	0	nan
8	6545	130	15	1901620	0	nan
9	6550	130	10	1696956	0	nan
10	6570	131	21	2093900	0	nan
11	6588	131	10	1732404	0	nan
12	6604	132	26	2223656	0	nan
13	6606	132	13	1985052	0	nan
14	6612	132	14	2074764	0	nan
15	6642	132	17	2108660	0	nan
16	6650	132	13	2027524	0	nan
17	6711	134	11	1781200	0	nan
18	6748	134	13	1792900	0	nan
19	6775	135	11	1792588	0	nan
20	6786	135	17	2015652	0	nan
21	6804	136	13	1842888	0	nan
22	6805	136	13	1950684	0	nan
23	6806	136	12	2012280	0	nan
24	6821	136	13	1806064	0	nan
25	6822	136	17	2152836	0	nan
26	6837	136	14	2075780	0	nan
27	6844	136	14	2006780	0	nan
28	6852	137	14	1853040	0	nan
29	6867	137	13	1796020	0	nan
30	6874	137	22	2179432	0	nan
31	6878	137	17	1954596	0	nan
32	6887	137	12	1795444	0	nan
33	6888	137	22	2068900	0	nan
34	6898	137	11	1773556	0	nan
