idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	10	1903612	0	nan
1	6505	130	11	1824072	0	nan
2	6512	130	12	1750504	0	nan
3	6520	130	15	1796452	0	nan
4	6528	130	11	1898188	0	nan
5	6529	130	11	1838204	0	nan
6	6532	130	17	2120784	0	nan
7	6536	130	11	1843928	0	nan
8	6545	130	14	1904872	0	nan
9	6550	130	10	1703108	0	nan
10	6570	131	20	2090664	0	nan
11	6588	131	9	1727508	0	nan
12	6604	132	24	2220336	0	nan
13	6606	132	12	1988032	0	nan
14	6612	132	13	2081244	0	nan
15	6642	132	17	2107684	0	nan
16	6650	132	12	2024532	0	nan
17	6711	134	10	1783236	0	nan
18	6748	134	13	1789164	0	nan
19	6775	135	11	1781528	0	nan
20	6786	135	16	2017612	0	nan
21	6804	136	12	1835844	0	nan
22	6805	136	11	1955780	0	nan
23	6806	136	12	2014812	0	nan
24	6821	136	12	1808388	0	nan
25	6822	136	15	2163744	0	nan
26	6837	136	13	2081772	0	nan
27	6844	136	13	2020320	0	nan
28	6852	137	13	1856484	0	nan
29	6867	137	12	1799008	0	nan
30	6874	137	20	2176560	0	nan
31	6878	137	15	1952992	0	nan
32	6887	137	11	1798508	0	nan
33	6888	137	20	2066096	0	nan
34	6898	137	11	1781100	0	nan
