idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1909704	0	nan
1	6505	130	12	1815372	0	nan
2	6512	130	13	1747856	0	nan
3	6520	130	16	1808428	0	nan
4	6528	130	11	1895572	0	nan
5	6529	130	11	1837216	0	nan
6	6532	130	17	2115804	0	nan
7	6536	130	11	1848324	0	nan
8	6545	130	14	1907804	0	nan
9	6550	130	10	1703948	0	nan
10	6570	131	21	2094420	0	nan
11	6588	131	10	1729712	0	nan
12	6604	132	25	2235844	0	nan
13	6606	132	12	1984404	0	nan
14	6612	132	14	2072000	0	nan
15	6642	132	17	2108012	0	nan
16	6650	132	13	2014836	0	nan
17	6711	134	11	1783896	0	nan
18	6748	134	13	1793528	0	nan
19	6775	135	11	1778224	0	nan
20	6786	135	18	2013104	0	nan
21	6804	136	13	1836804	0	nan
22	6805	136	12	1956500	0	nan
23	6806	136	12	2018344	0	nan
24	6821	136	13	1802480	0	nan
25	6822	136	16	2160816	0	nan
26	6837	136	13	2076324	0	nan
27	6844	136	14	2014552	0	nan
28	6852	137	14	1857736	0	nan
29	6867	137	13	1795836	0	nan
30	6874	137	22	2181524	0	nan
31	6878	137	17	1956048	0	nan
32	6887	137	11	1792640	0	nan
33	6888	137	22	2066980	0	nan
34	6898	137	12	1773296	0	nan
