idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1965736	0	nan
1	6505	130	12	1869556	0	nan
2	6512	130	14	1788688	0	nan
3	6520	130	17	1843344	0	nan
4	6528	130	11	1963768	0	nan
5	6529	130	11	1887780	0	nan
6	6532	130	18	2200656	0	nan
7	6536	130	11	1897436	0	nan
8	6545	130	14	1962372	0	nan
9	6550	130	10	1734652	0	nan
10	6570	131	20	2167452	0	nan
11	6588	131	10	1779688	0	nan
12	6604	132	25	2307976	0	nan
13	6606	132	12	2054380	0	nan
14	6612	132	14	2157548	0	nan
15	6642	132	17	2192992	0	nan
16	6650	132	12	2102172	0	nan
17	6711	134	10	1838800	0	nan
18	6748	134	13	1848872	0	nan
19	6775	135	11	1827576	0	nan
20	6786	135	17	2077104	0	nan
21	6804	136	12	1889604	0	nan
22	6805	136	12	2014740	0	nan
23	6806	136	12	2088944	0	nan
24	6821	136	12	1855780	0	nan
25	6822	136	16	2247556	0	nan
26	6837	136	13	2153164	0	nan
27	6844	136	13	2090908	0	nan
28	6852	137	14	1920192	0	nan
29	6867	137	12	1853652	0	nan
30	6874	137	21	2246952	0	nan
31	6878	137	16	2017960	0	nan
32	6887	137	11	1853256	0	nan
33	6888	137	21	2126316	0	nan
34	6898	137	11	1821364	0	nan
