idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1967820	0	nan
1	6505	130	12	1870468	0	nan
2	6512	130	13	1789776	0	nan
3	6520	130	16	1851124	0	nan
4	6528	130	12	1967420	0	nan
5	6529	130	11	1884960	0	nan
6	6532	130	18	2207696	0	nan
7	6536	130	12	1902344	0	nan
8	6545	130	15	1955116	0	nan
9	6550	130	10	1736652	0	nan
10	6570	131	21	2166184	0	nan
11	6588	131	10	1776800	0	nan
12	6604	132	26	2310480	0	nan
13	6606	132	13	2061000	0	nan
14	6612	132	14	2160996	0	nan
15	6642	132	18	2188708	0	nan
16	6650	132	13	2096812	0	nan
17	6711	134	11	1838248	0	nan
18	6748	134	13	1842940	0	nan
19	6775	135	11	1828852	0	nan
20	6786	135	18	2076776	0	nan
21	6804	136	13	1894688	0	nan
22	6805	136	12	2017368	0	nan
23	6806	136	12	2101048	0	nan
24	6821	136	13	1855384	0	nan
25	6822	136	17	2246472	0	nan
26	6837	136	14	2155836	0	nan
27	6844	136	14	2091340	0	nan
28	6852	137	14	1917028	0	nan
29	6867	137	13	1850560	0	nan
30	6874	137	23	2247212	0	nan
31	6878	137	17	2020972	0	nan
32	6887	137	12	1849592	0	nan
33	6888	137	22	2126084	0	nan
34	6898	137	12	1826892	0	nan
