idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	10	1959184	0	nan
1	6505	130	11	1871732	0	nan
2	6512	130	12	1788860	0	nan
3	6520	130	15	1848288	0	nan
4	6528	130	11	1955696	0	nan
5	6529	130	11	1882584	0	nan
6	6532	130	17	2204540	0	nan
7	6536	130	11	1898800	0	nan
8	6545	130	13	1955996	0	nan
9	6550	130	10	1727220	0	nan
10	6570	131	20	2169232	0	nan
11	6588	131	9	1777712	0	nan
12	6604	132	25	2310424	0	nan
13	6606	132	12	2058640	0	nan
14	6612	132	14	2157384	0	nan
15	6642	132	17	2188524	0	nan
16	6650	132	12	2101432	0	nan
17	6711	134	10	1834600	0	nan
18	6748	134	13	1846644	0	nan
19	6775	135	11	1828324	0	nan
20	6786	135	17	2073668	0	nan
21	6804	136	12	1895164	0	nan
22	6805	136	12	2011464	0	nan
23	6806	136	12	2088060	0	nan
24	6821	136	12	1859308	0	nan
25	6822	136	16	2246404	0	nan
26	6837	136	13	2147712	0	nan
27	6844	136	13	2090632	0	nan
28	6852	137	13	1918668	0	nan
29	6867	137	12	1846744	0	nan
30	6874	137	21	2238804	0	nan
31	6878	137	16	2024136	0	nan
32	6887	137	11	1845312	0	nan
33	6888	137	21	2126556	0	nan
34	6898	137	11	1820800	0	nan
