idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1968388	0	nan
1	6505	130	12	1871164	0	nan
2	6512	130	13	1791584	0	nan
3	6520	130	16	1849576	0	nan
4	6528	130	11	1959564	0	nan
5	6529	130	11	1883848	0	nan
6	6532	130	18	2201608	0	nan
7	6536	130	11	1902688	0	nan
8	6545	130	14	1960676	0	nan
9	6550	130	10	1735580	0	nan
10	6570	131	21	2162792	0	nan
11	6588	131	10	1778868	0	nan
12	6604	132	26	2306792	0	nan
13	6606	132	12	2055288	0	nan
14	6612	132	14	2163540	0	nan
15	6642	132	18	2191652	0	nan
16	6650	132	13	2102728	0	nan
17	6711	134	10	1834712	0	nan
18	6748	134	13	1844964	0	nan
19	6775	135	11	1829012	0	nan
20	6786	135	17	2075040	0	nan
21	6804	136	13	1891908	0	nan
22	6805	136	12	2013668	0	nan
23	6806	136	12	2092448	0	nan
24	6821	136	12	1857972	0	nan
25	6822	136	16	2241796	0	nan
26	6837	136	13	2149088	0	nan
27	6844	136	14	2090312	0	nan
28	6852	137	14	1915860	0	nan
29	6867	137	13	1846928	0	nan
30	6874	137	22	2239172	0	nan
31	6878	137	17	2022068	0	nan
32	6887	137	11	1845028	0	nan
33	6888	137	22	2126076	0	nan
34	6898	137	11	1836552	0	nan
