idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	1980640	0	nan
1	6505	130	13	1873080	0	nan
2	6512	130	14	1780532	0	nan
3	6520	130	18	1841292	0	nan
4	6528	130	13	1963228	0	nan
5	6529	130	12	1875808	0	nan
6	6532	130	19	2194764	0	nan
7	6536	130	12	1900880	0	nan
8	6545	130	15	1963988	0	nan
9	6550	130	11	1736248	0	nan
10	6570	131	22	2151796	0	nan
11	6588	131	10	1770072	0	nan
12	6604	132	26	2304208	0	nan
13	6606	132	12	2065264	0	nan
14	6612	132	14	2156312	0	nan
15	6642	132	18	2186048	0	nan
16	6650	132	13	2105860	0	nan
17	6711	134	11	1840776	0	nan
18	6748	134	14	1834336	0	nan
19	6775	135	12	1829580	0	nan
20	6786	135	18	2076992	0	nan
21	6804	136	13	1896332	0	nan
22	6805	136	12	2026484	0	nan
23	6806	136	13	2091912	0	nan
24	6821	136	13	1849704	0	nan
25	6822	136	17	2245240	0	nan
26	6837	136	14	2153388	0	nan
27	6844	136	14	2092760	0	nan
28	6852	137	14	1914276	0	nan
29	6867	137	13	1844160	0	nan
30	6874	137	22	2249224	0	nan
31	6878	137	16	2015664	0	nan
32	6887	137	11	1850468	0	nan
33	6888	137	21	2132732	0	nan
34	6898	137	11	1817584	0	nan
