idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	2028164	0	9.693826338276267
1	6505	130	13	1917232	0	10.322045933455229
2	6512	130	14	1824828	0	11.326346108689904
3	6520	130	20	1926828	0	17.856920894235373
4	6528	130	13	2023320	0	10.650812878273427
5	6529	130	13	1959216	0	10.800603928975761
6	6532	130	24	2268112	0	21.54338337481022
7	6536	130	13	1977596	0	10.416671886108816
8	6545	130	17	2027092	0	14.825731728225946
9	6550	130	11	1780948	0	9.177904742769897
10	6570	131	25	2253180	0	23.10023934394121
11	6588	131	11	1824760	0	8.499265001155436
12	6604	132	33	2415012	0	30.883939026854932
13	6606	132	14	2096452	0	12.144000149331987
14	6612	132	16	2240316	0	14.339667772874236
15	6642	132	22	2209428	0	19.936146977357566
16	6650	132	14	2160116	0	11.980184914544225
17	6711	134	11	1873380	0	9.195464953780174
18	6748	134	15	1905304	0	12.615343195386231
19	6775	135	12	1882804	0	10.333940852433443
20	6786	135	23	2110236	0	21.05990965012461
21	6804	136	14	1965632	0	11.490205499343574
22	6805	136	13	2104032	0	11.084040692076087
23	6806	136	13	2167812	0	11.065757767297328
24	6821	136	14	1937752	0	12.154383767396212
25	6822	136	19	2291568	0	16.825374275445938
26	6837	136	16	2232488	0	13.617554172873497
27	6844	136	15	2146052	0	13.267210891470313
28	6852	137	16	1981840	0	14.283524150028825
29	6867	137	14	1908920	0	12.09719604626298
30	6874	137	29	2323548	0	26.746014185249805
31	6878	137	19	2014084	0	16.77163323853165
32	6887	137	13	1902392	0	10.733240792527795
33	6888	137	28	2215504	0	25.77364608924836
34	6898	137	13	1890092	0	10.63983724359423
