idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1686424	0	nan
1	6505	130	12	1578080	0	nan
2	6512	130	13	1523340	0	nan
3	6520	130	16	1543084	0	nan
4	6528	130	12	1670444	0	nan
5	6529	130	11	1603572	0	nan
6	6532	130	18	2009252	0	nan
7	6536	130	11	1628336	0	nan
8	6545	130	14	1712680	0	nan
9	6550	130	10	1475792	0	nan
10	6570	131	20	1926696	0	nan
11	6588	131	10	1488792	0	nan
12	6604	132	25	2173468	0	nan
13	6606	132	12	1772276	0	nan
14	6612	132	14	1874300	0	nan
15	6642	132	17	1952460	0	nan
16	6650	132	13	1778652	0	nan
17	6711	134	10	1522776	0	nan
18	6748	134	13	1567300	0	nan
19	6775	135	11	1540596	0	nan
20	6786	135	17	1895908	0	nan
21	6804	136	12	1603376	0	nan
22	6805	136	12	1736116	0	nan
23	6806	136	12	1841644	0	nan
24	6821	136	12	1573268	0	nan
25	6822	136	16	1943308	0	nan
26	6837	136	13	1880836	0	nan
27	6844	136	13	1817544	0	nan
28	6852	137	13	1619824	0	nan
29	6867	137	12	1613988	0	nan
30	6874	137	21	2081592	0	nan
31	6878	137	16	1751820	0	nan
32	6887	137	11	1542928	0	nan
33	6888	137	21	2001548	0	nan
34	6898	137	11	1538332	0	nan
