idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	2032752	0	9.3543721716851
1	6505	130	12	1919684	0	10.121628145687282
2	6512	130	12	1834856	0	10.162946037016809
3	6520	130	17	1928052	0	15.021038017235696
4	6528	130	12	2034728	0	9.345887932926416
5	6529	130	12	1956568	0	9.53283916786313
6	6532	130	19	2271704	0	16.666154680773616
7	6536	130	12	1977108	0	9.88040196429938
8	6545	130	15	2023936	0	13.437545253895223
9	6550	130	10	1781032	0	8.51139882300049
10	6570	131	19	2232276	0	17.22468429338187
11	6588	131	10	1829624	0	8.101977000944316
12	6604	132	24	2411292	0	22.356010515242815
13	6606	132	13	2126412	0	11.119165959767997
14	6612	132	15	2200960	0	12.828764428384602
15	6642	132	18	2236872	0	16.033369376324117
16	6650	132	13	2185432	0	11.138732981868088
17	6711	134	11	1870396	0	9.02411787211895
18	6748	134	13	1905620	0	11.21341375540942
19	6775	135	12	1889856	0	9.520716719329357
20	6786	135	19	2178788	0	16.45956174004823
21	6804	136	13	1960960	0	10.899681548587978
22	6805	136	13	2099140	0	10.433121914044023
23	6806	136	13	2158452	0	10.63623383268714
24	6821	136	13	1935960	0	10.856369674671441
25	6822	136	16	2303096	0	14.361030106432736
26	6837	136	14	2234088	0	12.073679259978235
27	6844	136	14	2171752	0	11.822675941511989
28	6852	137	14	1981640	0	12.371663845144212
29	6867	137	13	1912540	0	11.086078315973282
30	6874	137	22	2321204	0	20.431084089912474
31	6878	137	16	2053336	0	14.416832039132714
32	6887	137	12	1907044	0	9.787112049758434
33	6888	137	22	2213248	0	19.908388077281415
34	6898	137	12	1889460	0	9.93495402764529
