# Bee set: https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/list/
# bee_idx	event	kind	missing_len_cm	matched_len_cm	gap2d_cm	angle_deg	t0_matched_us	dx_matched_cm	dx_partner_cm	apa_matched	y_cath	z_cath	bee_url
0	409546	other-flash	198.7	79.6	6.78	1.0	-1111.0	-173.6	111.1	1	121.4	359.2	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/0/
1	347371	other-flash	197.5	203.7	1.31	1.1	-317.1	49.6	62.8	0	103.3	161.0	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/1/
2	286114	other-flash	194.1	112.2	3.16	1.2	-632.8	-98.9	51.9	1	122.5	313.4	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/2/
3	61997	other-flash	176.4	254.5	1.39	3.4	-477.8	74.7	0.1	0	32.4	62.4	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/3/
4	287181	other-flash	173.0	42.4	3.14	0.7	-692.9	108.3	-105.1	0	169.5	106.7	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/4/
5	55539	other-flash	161.9	151.5	3.47	5.5	-703.8	-110.0	100.5	1	-83.2	462.2	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/5/
6	389588	other-flash	153.5	53.3	7.58	2.1	-1073.0	-167.7	117.4	1	-163.0	45.3	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/6/
7	282871	UNMATCHED	148.3	248.0	1.82	4.2	213.3	33.3	0.0	1	40.7	132.8	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/7/
8	167112	other-flash	146.9	68.7	5.27	3.8	-1048.0	-163.7	72.2	1	-153.2	92.8	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/8/
9	58755	other-flash	143.2	126.9	4.37	2.1	-989.5	-154.7	96.3	1	-26.4	191.0	https://www.phy.bnl.gov/twister/bee/set/ffa309a6-3b18-4118-9d89-a7e4f2536ee2/event/9/
