# PR cluster_id remap for bee/d84r2/d84r2-on3.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
66366	0	22	3	flash-matched	3:1514, 24:1201
66366	0	60	24	flash-matched	24:6
66366	0	61	24	flash-matched	24:13
66366	0	62	24	flash-matched	24:8
66366	0	63	24	flash-matched	24:10
66366	0	64	24	flash-matched	24:2
66366	0	65	24	flash-matched	24:20
66366	0	66	24	flash-matched	24:2
66366	0	67	24	flash-matched	24:4
66366	0	68	24	flash-matched	24:10
66366	0	69	24	flash-matched	24:15
313847	1	19	9	flash-matched	9:3810
313847	1	42	8	flash-matched	8:7
313847	1	43	8	flash-matched	8:6
313847	1	44	8	flash-matched	8:15
313847	1	45	8	flash-matched	8:2
313847	1	46	8	flash-matched	8:2
313847	1	47	8	flash-matched	8:99
313847	1	50	9	flash-matched	9:11
313847	1	51	9	flash-matched	9:5
313847	1	52	9	flash-matched	9:19
281595	2	20	24	flash-matched	24:2357, 4:1162
281595	2	27	10	flash-matched	10:29
281595	2	52	24	flash-matched	24:16
497311	3	15	6	flash-matched	6:6593
497311	3	18	9	flash-matched	9:2309
497311	3	19	12	flash-matched	12:2770
497311	3	46	6	flash-matched	6:14
497311	3	47	6	flash-matched	6:12
497311	3	48	12	flash-matched	12:10
497311	3	49	12	flash-matched	12:6
393538	4	8	5	flash-matched	5:4411
393538	4	12	6	flash-matched	6:13
393538	4	13	7	flash-matched	7:11
393538	4	14	12	flash-matched	12:14
393538	4	19	5	flash-matched	5:8
393538	4	20	5	flash-matched	5:13
393538	4	21	5	flash-matched	5:16
393538	4	22	5	flash-matched	5:198
393538	4	23	12	flash-matched	12:8
499577	5	13	15	flash-matched	15:2814, 4:1122
499577	5	19	10	flash-matched	10:6
499577	5	66	4	flash-matched	4:12
499577	5	67	4	flash-matched	4:11
499577	5	68	4	flash-matched	4:13
499577	5	69	4	flash-matched	4:12
499577	5	70	4	flash-matched	4:13
499577	5	71	4	flash-matched	4:12
499577	5	72	4	flash-matched	4:2
499577	5	73	4	flash-matched	4:9
499577	5	74	4	flash-matched	4:19
499577	5	75	4	flash-matched	4:88
499577	5	76	4	flash-matched	4:167
499577	5	77	15	flash-matched	15:35
499577	5	78	15	flash-matched	15:9
499577	5	79	15	flash-matched	15:17
499577	5	80	15	flash-matched	15:1
499577	5	94	4	flash-matched	4:68
499577	5	95	4	flash-matched	4:106
499577	5	96	4	flash-matched	4:105
177536	6	17	10	flash-matched	10:2833
177536	6	52	10	flash-matched	10:9
177536	6	53	10	flash-matched	10:6
177536	6	54	10	flash-matched	10:8
177536	6	55	10	flash-matched	10:27
177536	6	56	10	flash-matched	10:18
177536	6	77	17	flash-matched	17:1047
74784	7	8	15	flash-matched	15:3471
74784	7	13	1	flash-matched	1:14
74784	7	25	15	flash-matched	15:10
74784	7	26	15	flash-matched	15:10
74784	7	27	15	flash-matched	15:8
53793	8	12	11	flash-matched	11:2289
53793	8	33	11	flash-matched	11:22
53793	8	34	11	flash-matched	11:6
53793	8	35	20	flash-matched	20:3
53793	8	36	20	flash-matched	20:17
53793	8	37	20	flash-matched	20:2128
178885	9	9	20	flash-matched	20:2792
178885	9	25	20	flash-matched	20:11
178885	9	26	20	flash-matched	20:8
178885	9	27	20	flash-matched	20:14
178885	9	28	20	flash-matched	20:14
178885	9	29	20	flash-matched	20:11
178885	9	30	20	flash-matched	20:12
178885	9	31	20	flash-matched	20:8
178885	9	48	20	flash-matched	20:17
178885	9	49	20	flash-matched	20:135
278684	10	10	22	flash-matched	22:1537
278684	10	18	3	flash-matched	3:14
278684	10	19	9	flash-matched	9:11
278684	10	32	22	flash-matched	22:3
278684	10	33	22	flash-matched	22:17
278684	10	34	22	flash-matched	22:28
278684	10	35	22	flash-matched	22:17
278684	10	36	22	flash-matched	22:27
278684	10	37	22	flash-matched	22:13
278684	10	38	22	flash-matched	22:13
278684	10	43	22	flash-matched	22:109
278684	10	44	9	flash-matched	9:11
77978	11	15	22	flash-matched	22:1158
77978	11	48	22	flash-matched	22:9
77978	11	49	22	flash-matched	22:9
77978	11	53	7	flash-matched	7:312, 22:23
55278	12	13	8	flash-matched	8:1195
55278	12	21	7	flash-matched	7:682
55278	12	22	13	flash-matched	13:13
55278	12	45	8	flash-matched	8:15
55278	12	48	7	flash-matched	7:9
55278	12	49	7	flash-matched	7:9
75554	13	4	22	flash-matched	22:1291
75554	13	8	1	flash-matched	1:12
75554	13	9	2	flash-matched	2:7
75554	13	10	3	flash-matched	3:11
75554	13	11	6	flash-matched	6:8
75554	13	12	7	flash-matched	7:8
75554	13	24	9	flash-matched	9:6
75554	13	25	9	flash-matched	9:43
75554	13	26	9	flash-matched	9:6
75554	13	27	14	flash-matched	14:22
75554	13	28	22	flash-matched	22:13
75554	13	32	8	flash-matched	8:627
75554	13	33	9	flash-matched	9:207
75554	13	34	9	flash-matched	9:40
75554	13	35	9	flash-matched	9:8
75554	13	36	9	flash-matched	9:30
75554	13	37	9	flash-matched	9:9
75554	13	38	9	flash-matched	9:12
75554	13	39	9	flash-matched	9:10
75554	13	40	9	flash-matched	9:20
75554	13	41	14	flash-matched	14:835, 20:56
75554	13	42	20	flash-matched	20:13
75554	13	43	20	flash-matched	20:17
75554	13	44	20	flash-matched	20:102
75554	13	45	20	flash-matched	20:26
75554	13	46	20	flash-matched	20:8
75554	13	47	20	flash-matched	20:6
75554	13	48	20	flash-matched	20:32
75554	13	49	20	flash-matched	20:9
75554	13	50	22	flash-matched	22:13
75554	13	51	22	flash-matched	22:212
74336	14	22	5	flash-matched	5:1094
74336	14	29	13	flash-matched	13:13
74336	14	30	14	flash-matched	14:6
74336	14	58	5	flash-matched	5:16
74336	14	59	5	flash-matched	5:16
74336	14	60	5	flash-matched	5:10
74336	14	61	5	flash-matched	5:14
74336	14	62	5	flash-matched	5:52
74336	14	63	9	flash-matched	9:11
74336	14	64	9	flash-matched	9:6
74336	14	65	5	flash-matched	5:12
74336	14	66	5	flash-matched	5:8
74336	14	67	5	flash-matched	5:15
74336	14	68	9	flash-matched	9:362
74336	14	69	9	flash-matched	9:6
74336	14	70	9	flash-matched	9:112
74336	14	71	9	flash-matched	9:5
71222	15	15	7	flash-matched	7:1596
71222	15	22	13	flash-matched	13:1331
71222	15	46	7	flash-matched	7:11
71222	15	47	7	flash-matched	7:26
71222	15	48	7	flash-matched	7:7
71222	15	49	7	flash-matched	7:8
71222	15	50	7	flash-matched	7:17
71222	15	51	7	flash-matched	7:12
71222	15	52	7	flash-matched	7:6
71222	15	63	13	flash-matched	13:7
71222	15	64	13	flash-matched	13:8
71222	15	65	13	flash-matched	13:14
392901	16	15	11	flash-matched	11:13202
392901	16	23	2	flash-matched	2:460
392901	16	24	27	flash-matched	27:51
392901	16	89	28	flash-matched	28:6
392901	16	90	28	flash-matched	28:10
392901	16	91	28	flash-matched	28:14
392901	16	92	28	flash-matched	28:16
392901	16	125	11	flash-matched	11:126
392901	16	127	28	flash-matched	28:1259
392901	16	128	27	flash-matched	27:10
159569	17	12	6	flash-matched	6:617
159569	17	22	14	flash-matched	14:12
159569	17	23	21	flash-matched	21:10
159569	17	33	6	flash-matched	6:8
159569	17	34	6	flash-matched	6:14
159569	17	35	6	flash-matched	6:24
159569	17	36	6	flash-matched	6:6
159569	17	37	6	flash-matched	6:6
159569	17	38	6	flash-matched	6:12
159569	17	39	6	flash-matched	6:9
159569	17	40	6	flash-matched	6:16
159569	17	41	6	flash-matched	6:15
159569	17	42	6	flash-matched	6:2
159569	17	43	6	flash-matched	6:24
159569	17	44	6	flash-matched	6:15
159569	17	48	6	flash-matched	6:4
159569	17	49	6	flash-matched	6:1063
159569	17	50	21	flash-matched	21:6
319475	18	18	14	flash-matched	14:587
319475	18	20	12	flash-matched	12:569
319475	18	39	14	flash-matched	14:25
319475	18	40	14	flash-matched	14:8
319475	18	41	14	flash-matched	14:17
319475	18	42	14	flash-matched	14:6
319475	18	43	14	flash-matched	14:16
319475	18	45	14	flash-matched	14:9
319475	18	46	14	flash-matched	14:12
319475	18	47	12	flash-matched	12:16
319475	18	48	12	flash-matched	12:11
319475	18	49	12	flash-matched	12:10
319475	18	50	12	flash-matched	12:10
319475	18	51	12	flash-matched	12:5
319475	18	52	12	flash-matched	12:6
319475	18	53	12	flash-matched	12:6
319475	18	54	12	flash-matched	12:7
319475	18	55	12	flash-matched	12:9
319475	18	56	12	flash-matched	12:11
319475	18	57	12	flash-matched	12:42
319475	18	58	12	flash-matched	12:12
319475	18	60	12	flash-matched	12:11
395695	19	11	22	flash-matched	22:1674
395695	19	21	7	flash-matched	7:69
395695	19	44	22	flash-matched	22:6
395695	19	45	22	flash-matched	22:5
395695	19	46	22	flash-matched	22:21
395695	19	47	22	flash-matched	22:13
