# doc 95 -- Bee manifest, ART-FILE ORDER (bee_idx == art entry)
# group a = first occurrence of a bare event id (20 events)
# group b = the 5 second occurrences (ids 12,14,22,31,34)
bee_idx	entry	run	subrun	event	ql_root	pr_root
0	0	492	51	23	work-dbg25a-ql	work-dbg25a-pr
1	1	827	27	4	work-dbg25a-ql	work-dbg25a-pr
2	2	304	6	28	work-dbg25a-ql	work-dbg25a-pr
3	3	707	18	12	work-dbg25a-ql	work-dbg25a-pr
4	4	146	60	31	work-dbg25a-ql	work-dbg25a-pr
5	5	60	38	31	work-dbg25b-ql	work-dbg25b-pr
6	6	445	18	34	work-dbg25a-ql	work-dbg25a-pr
7	7	541	46	22	work-dbg25a-ql	work-dbg25a-pr
8	8	272	2	30	work-dbg25a-ql	work-dbg25a-pr
9	9	105	23	2	work-dbg25a-ql	work-dbg25a-pr
10	10	105	23	5	work-dbg25a-ql	work-dbg25a-pr
11	11	105	23	21	work-dbg25a-ql	work-dbg25a-pr
12	12	36	77	17	work-dbg25a-ql	work-dbg25a-pr
13	13	966	2	22	work-dbg25b-ql	work-dbg25b-pr
14	14	921	29	10	work-dbg25a-ql	work-dbg25a-pr
15	15	921	29	41	work-dbg25a-ql	work-dbg25a-pr
16	16	890	21	16	work-dbg25a-ql	work-dbg25a-pr
17	17	890	21	39	work-dbg25a-ql	work-dbg25a-pr
18	18	651	84	12	work-dbg25b-ql	work-dbg25b-pr
19	19	651	84	34	work-dbg25b-ql	work-dbg25b-pr
20	20	993	78	14	work-dbg25a-ql	work-dbg25a-pr
21	21	44	40	14	work-dbg25b-ql	work-dbg25b-pr
22	22	411	27	8	work-dbg25a-ql	work-dbg25a-pr
23	23	710	80	44	work-dbg25a-ql	work-dbg25a-pr
24	24	658	38	25	work-dbg25a-ql	work-dbg25a-pr
