# PR cluster_id remap for bee/em114/em114-mcp2k.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
47212	0	2	7	flash-matched	7:912
47212	0	35	7	flash-matched	7:12
47212	0	36	7	flash-matched	7:13
47212	0	37	7	flash-matched	7:15
47212	0	38	7	flash-matched	7:26
47212	0	39	7	flash-matched	7:11
47212	0	40	7	flash-matched	7:13
47212	0	41	7	flash-matched	7:15
47212	0	42	7	flash-matched	7:12
47212	0	43	7	flash-matched	7:11
47212	0	44	7	flash-matched	7:9
47212	0	45	7	flash-matched	7:7
47212	0	46	7	flash-matched	7:11
47212	0	47	7	flash-matched	7:6
47212	0	48	7	flash-matched	7:10
47212	0	49	7	flash-matched	7:13
47212	0	50	7	flash-matched	7:13
47212	0	51	7	flash-matched	7:13
47212	0	52	7	flash-matched	7:7
47212	0	53	7	flash-matched	7:13
47212	0	54	7	flash-matched	7:20
47212	0	55	7	flash-matched	7:11
47212	0	56	7	flash-matched	7:17
47212	0	57	7	flash-matched	7:15
47212	0	58	7	flash-matched	7:11
47212	0	59	7	flash-matched	7:35
47212	0	60	7	flash-matched	7:16
47212	0	61	7	flash-matched	7:6
47212	0	62	7	flash-matched	7:12
47212	0	63	7	flash-matched	7:15
47212	0	64	7	flash-matched	7:8
47212	0	65	7	flash-matched	7:10
47212	0	66	7	flash-matched	7:10
47212	0	67	7	flash-matched	7:40
47212	0	68	7	flash-matched	7:25
47212	0	69	7	flash-matched	7:12
47212	0	70	7	flash-matched	7:87
47212	0	71	7	flash-matched	7:143
47212	0	72	7	flash-matched	7:14
47212	0	73	7	flash-matched	7:8
47212	0	74	7	flash-matched	7:10
47212	0	75	7	flash-matched	7:5
47212	0	105	7	flash-matched	7:1671
47212	0	106	7	flash-matched	7:13
47212	0	107	7	flash-matched	7:252
47212	0	108	7	flash-matched	7:12
47212	0	109	7	flash-matched	7:288
54332	1	16	24	flash-matched	24:3802
54332	1	25	4	flash-matched	4:14
54332	1	26	22	flash-matched	22:3
54332	1	27	30	flash-matched	30:200
54332	1	67	24	flash-matched	24:8
54332	1	68	24	flash-matched	24:11
54332	1	69	24	flash-matched	24:21
54332	1	70	24	flash-matched	24:19
54332	1	71	24	flash-matched	24:6
54332	1	72	24	flash-matched	24:22
54332	1	73	24	flash-matched	24:12
54332	1	74	24	flash-matched	24:10
54332	1	75	24	flash-matched	24:6
54332	1	76	24	flash-matched	24:44
54332	1	77	24	flash-matched	24:16
54332	1	78	24	flash-matched	24:8
54332	1	79	24	flash-matched	24:13
54332	1	80	24	flash-matched	24:6
54332	1	81	24	flash-matched	24:26
54332	1	82	24	flash-matched	24:3
54332	1	83	24	flash-matched	24:7
54332	1	84	24	flash-matched	24:44
54332	1	85	24	flash-matched	24:14
54332	1	86	24	flash-matched	24:15
54332	1	87	24	flash-matched	24:14
54332	1	88	24	flash-matched	24:7
54332	1	89	24	flash-matched	24:8
54332	1	90	24	flash-matched	24:13
54332	1	91	24	flash-matched	24:16
54332	1	92	24	flash-matched	24:6
54332	1	93	24	flash-matched	24:4
54332	1	94	24	flash-matched	24:19
54332	1	96	24	flash-matched	24:13
54332	1	97	24	flash-matched	24:227
54332	1	98	24	flash-matched	24:309
54332	1	99	24	flash-matched	24:13
54332	1	120	24	flash-matched	24:526
54332	1	121	24	flash-matched	24:122
54332	1	122	24	flash-matched	24:352
54332	1	123	24	flash-matched	24:118
54332	1	124	24	flash-matched	24:14
54332	1	125	30	flash-matched	30:25
54332	1	126	30	flash-matched	30:28
54332	1	128	30	flash-matched	30:503
54332	1	129	24	flash-matched	24:34
76346	2	14	6	flash-matched	6:525
76346	2	19	15	flash-matched	15:22
76346	2	32	6	flash-matched	6:13
76346	2	33	6	flash-matched	6:6
76346	2	34	6	flash-matched	6:30
76346	2	35	6	flash-matched	6:16
76346	2	36	6	flash-matched	6:7
76346	2	37	6	flash-matched	6:9
76346	2	38	6	flash-matched	6:11
76346	2	39	6	flash-matched	6:20
76346	2	40	6	flash-matched	6:17
76346	2	41	6	flash-matched	6:43
