# PR cluster_id remap for bee/pr124r1/pr124r1-off.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
406125	0	8	22	flash-matched	22:805, 13:704
406125	0	15	2	flash-matched	2:3
406125	0	16	16	flash-matched	16:8
406125	0	17	19	flash-matched	19:8
406125	0	18	23	flash-matched	23:175
406125	0	31	13	flash-matched	13:11
406125	0	32	13	flash-matched	13:33
406125	0	33	13	flash-matched	13:28
406125	0	34	13	flash-matched	13:9
406125	0	35	13	flash-matched	13:53
406125	0	36	13	flash-matched	13:6
406125	0	38	13	flash-matched	13:11
406125	0	39	13	flash-matched	13:12
406125	0	40	13	flash-matched	13:10
406125	0	41	13	flash-matched	13:21
406125	0	42	13	flash-matched	13:6
406125	0	43	13	flash-matched	13:14
406125	0	44	13	flash-matched	13:26
406125	0	45	13	flash-matched	13:11
406125	0	46	13	flash-matched	13:16
406125	0	47	13	flash-matched	13:10
406125	0	48	13	flash-matched	13:3
406125	0	49	13	flash-matched	13:9
406125	0	50	13	flash-matched	13:105
406125	0	51	22	flash-matched	22:12
406125	0	52	22	flash-matched	22:15
406125	0	53	22	flash-matched	22:11
406125	0	54	22	flash-matched	22:7
406125	0	55	22	flash-matched	22:15
406125	0	56	22	flash-matched	22:11
406125	0	57	22	flash-matched	22:11
406125	0	58	22	flash-matched	22:12
406125	0	59	22	flash-matched	22:14
406125	0	66	23	flash-matched	23:9
406125	0	67	23	flash-matched	23:14
406125	0	68	23	flash-matched	23:12
406125	0	69	23	flash-matched	23:17
406125	0	70	23	flash-matched	23:11
406125	0	71	23	flash-matched	23:13
406125	0	72	23	flash-matched	23:8
406125	0	73	23	flash-matched	23:11
406125	0	74	23	flash-matched	23:149
76346	1	14	6	flash-matched	6:525
76346	1	19	15	flash-matched	15:22
76346	1	32	6	flash-matched	6:13
76346	1	33	6	flash-matched	6:6
76346	1	34	6	flash-matched	6:30
76346	1	35	6	flash-matched	6:16
76346	1	36	6	flash-matched	6:7
76346	1	37	6	flash-matched	6:9
76346	1	38	6	flash-matched	6:11
76346	1	39	6	flash-matched	6:20
76346	1	40	6	flash-matched	6:17
76346	1	41	6	flash-matched	6:43
76346	1	42	6	flash-matched	6:39
76346	1	48	6	flash-matched	6:400
76346	1	49	6	flash-matched	6:218
76346	1	50	15	flash-matched	15:11
76346	1	51	15	flash-matched	15:10
54332	2	16	24	flash-matched	24:3802
54332	2	25	4	flash-matched	4:14
54332	2	26	22	flash-matched	22:3
54332	2	27	30	flash-matched	30:200
54332	2	67	24	flash-matched	24:8
54332	2	68	24	flash-matched	24:11
54332	2	69	24	flash-matched	24:21
54332	2	70	24	flash-matched	24:19
54332	2	71	24	flash-matched	24:6
54332	2	72	24	flash-matched	24:22
