# PR cluster_id remap for bee/pr129probe/pr129probe-probe.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
393505	0	15	19	flash-matched	19:2750
393505	0	19	1	flash-matched	1:25
393505	0	20	2	flash-matched	2:15
393505	0	21	20	flash-matched	20:2258
393505	0	60	19	flash-matched	19:8
393505	0	61	19	flash-matched	19:9
393505	0	62	19	flash-matched	19:19
393505	0	63	19	flash-matched	19:134
393505	0	72	19	flash-matched	19:17
393505	0	73	19	flash-matched	19:9
393505	0	75	20	flash-matched	20:6
393505	0	76	19	flash-matched	19:14
399118	1	9	10	flash-matched	10:1441
399118	1	15	4	flash-matched	4:434
399118	1	16	2	flash-matched	2:1514, 15:486
399118	1	27	10	flash-matched	10:16
399118	1	28	10	flash-matched	10:7
399118	1	29	10	flash-matched	10:1
399118	1	51	4	flash-matched	4:10
399118	1	52	4	flash-matched	4:13
399118	1	53	4	flash-matched	4:11
399118	1	54	4	flash-matched	4:12
399118	1	55	4	flash-matched	4:13
399118	1	56	4	flash-matched	4:14
399118	1	57	4	flash-matched	4:11
399118	1	58	4	flash-matched	4:11
399118	1	59	4	flash-matched	4:15
399118	1	60	15	flash-matched	15:149
399118	1	61	15	flash-matched	15:25
318769	2	19	21	flash-matched	21:1541
318769	2	30	2	flash-matched	2:10
318769	2	31	27	flash-matched	27:534
318769	2	60	21	flash-matched	21:7
318769	2	61	21	flash-matched	21:11
318769	2	62	21	flash-matched	21:14
318769	2	63	21	flash-matched	21:14
318769	2	64	21	flash-matched	21:13
318769	2	65	21	flash-matched	21:14
318769	2	66	21	flash-matched	21:10
318769	2	67	21	flash-matched	21:6
318769	2	68	21	flash-matched	21:12
318769	2	69	21	flash-matched	21:15
318769	2	70	21	flash-matched	21:10
318769	2	71	21	flash-matched	21:14
318769	2	72	21	flash-matched	21:8
318769	2	73	21	flash-matched	21:11
318769	2	74	21	flash-matched	21:10
318769	2	75	21	flash-matched	21:12
318769	2	76	21	flash-matched	21:14
318769	2	77	21	flash-matched	21:11
318769	2	78	21	flash-matched	21:17
318769	2	79	21	flash-matched	21:10
318769	2	80	21	flash-matched	21:10
318769	2	81	21	flash-matched	21:5
318769	2	82	21	flash-matched	21:7
318769	2	83	21	flash-matched	21:10
318769	2	84	21	flash-matched	21:22
318769	2	111	27	flash-matched	27:19
318769	2	113	27	flash-matched	27:191
318769	2	114	27	flash-matched	27:12
318769	2	115	27	flash-matched	27:3
318769	2	116	27	flash-matched	27:18
318769	2	117	27	flash-matched	27:11
318769	2	118	27	flash-matched	27:8
318769	2	119	27	flash-matched	27:7
318769	2	120	27	flash-matched	27:47
318769	2	121	27	flash-matched	27:5
318769	2	122	27	flash-matched	27:20
318769	2	123	27	flash-matched	27:3
318769	2	124	27	flash-matched	27:11
318769	2	125	27	flash-matched	27:14
318769	2	126	27	flash-matched	27:6
318769	2	127	27	flash-matched	27:6
318769	2	128	27	flash-matched	27:4
318769	2	129	27	flash-matched	27:10
318769	2	131	27	flash-matched	27:19
318769	2	132	27	flash-matched	27:17
318769	2	133	27	flash-matched	27:26
318769	2	134	27	flash-matched	27:6
318769	2	135	27	flash-matched	27:35
318769	2	136	27	flash-matched	27:19
318769	2	137	27	flash-matched	27:10
318769	2	138	27	flash-matched	27:6
318769	2	139	27	flash-matched	27:12
318769	2	140	27	flash-matched	27:437
318769	2	141	27	flash-matched	27:42
318769	2	142	27	flash-matched	27:57
318769	2	143	27	flash-matched	27:184
