# PR cluster_id remap for bee/pr130r2/pr130r2-guardON.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
292643	0	18	2	flash-matched	2:1190, 20:1127
292643	0	25	21	flash-matched	21:232
292643	0	98	2	flash-matched	2:16
292643	0	99	2	flash-matched	2:8
292643	0	100	2	flash-matched	2:15
292643	0	101	2	flash-matched	2:7
292643	0	102	2	flash-matched	2:12
292643	0	103	2	flash-matched	2:15
292643	0	104	2	flash-matched	2:29
292643	0	105	2	flash-matched	2:248
292643	0	106	20	flash-matched	20:56
292643	0	107	20	flash-matched	20:10
292643	0	108	20	flash-matched	20:9
292643	0	109	20	flash-matched	20:117
292643	0	110	20	flash-matched	20:15
292643	0	112	20	flash-matched	20:9
292643	0	113	21	flash-matched	21:11
292643	0	114	21	flash-matched	21:15
292643	0	115	21	flash-matched	21:29
292643	0	116	21	flash-matched	21:118
179369	1	0	None	NO-BRIDGE	-
179369	1	12	5	flash-matched	5:6833, 6:1110
179369	1	17	18	flash-matched	18:4207
179369	1	24	19	flash-matched	19:736
179369	1	36	6	flash-matched	6:6
179369	1	37	6	flash-matched	6:11
179369	1	38	6	flash-matched	6:15
179369	1	39	6	flash-matched	6:12
179369	1	40	6	flash-matched	6:8
179369	1	41	6	flash-matched	6:30
179369	1	42	6	flash-matched	6:19
179369	1	43	6	flash-matched	6:12
179369	1	44	6	flash-matched	6:35
179369	1	45	4	flash-matched	4:14
179369	1	46	4	flash-matched	4:158
179369	1	47	4	flash-matched	4:8
179369	1	48	5	flash-matched	5:15
179369	1	49	5	flash-matched	5:15
179369	1	50	5	flash-matched	5:8
179369	1	51	5	flash-matched	5:19
179369	1	52	5	flash-matched	5:32
179369	1	53	5	flash-matched	5:16
179369	1	54	5	flash-matched	5:12
179369	1	55	5	flash-matched	5:14
179369	1	56	5	flash-matched	5:24
179369	1	57	5	flash-matched	5:15
179369	1	58	5	flash-matched	5:25
179369	1	59	5	flash-matched	5:23
179369	1	60	5	flash-matched	5:6
179369	1	61	5	flash-matched	5:18
179369	1	63	5	flash-matched	5:10
179369	1	65	5	flash-matched	5:11
179369	1	66	5	flash-matched	5:72
179369	1	71	18	flash-matched	18:12
179369	1	72	18	flash-matched	18:11
179369	1	73	18	flash-matched	18:12
179369	1	74	18	flash-matched	18:15
179369	1	75	18	flash-matched	18:19
179369	1	76	18	flash-matched	18:7
179369	1	77	18	flash-matched	18:20
179369	1	78	18	flash-matched	18:21
179369	1	79	18	flash-matched	18:13
179369	1	80	18	flash-matched	18:7
179369	1	81	18	flash-matched	18:41
179369	1	82	18	flash-matched	18:15
179369	1	83	18	flash-matched	18:9
179369	1	84	18	flash-matched	18:17
179369	1	85	18	flash-matched	18:16
179369	1	86	18	flash-matched	18:6
