# PR cluster_id remap for bee/pr133k16/pr133k16-off.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
54332	0	16	24	flash-matched	24:3802
54332	0	25	4	flash-matched	4:14
54332	0	26	22	flash-matched	22:3
54332	0	27	30	flash-matched	30:200
54332	0	67	24	flash-matched	24:8
54332	0	68	24	flash-matched	24:11
54332	0	69	24	flash-matched	24:21
54332	0	70	24	flash-matched	24:19
54332	0	71	24	flash-matched	24:6
54332	0	72	24	flash-matched	24:22
54332	0	73	24	flash-matched	24:12
54332	0	74	24	flash-matched	24:10
54332	0	75	24	flash-matched	24:6
54332	0	76	24	flash-matched	24:44
54332	0	77	24	flash-matched	24:16
54332	0	78	24	flash-matched	24:8
54332	0	79	24	flash-matched	24:13
54332	0	80	24	flash-matched	24:6
54332	0	81	24	flash-matched	24:26
54332	0	82	24	flash-matched	24:3
54332	0	83	24	flash-matched	24:7
54332	0	84	24	flash-matched	24:44
54332	0	85	24	flash-matched	24:14
54332	0	86	24	flash-matched	24:15
54332	0	87	24	flash-matched	24:14
54332	0	88	24	flash-matched	24:7
54332	0	89	24	flash-matched	24:8
54332	0	90	24	flash-matched	24:13
54332	0	91	24	flash-matched	24:16
54332	0	92	24	flash-matched	24:6
54332	0	93	24	flash-matched	24:4
54332	0	94	24	flash-matched	24:19
54332	0	96	24	flash-matched	24:13
54332	0	97	24	flash-matched	24:227
54332	0	98	24	flash-matched	24:309
54332	0	99	24	flash-matched	24:13
54332	0	120	24	flash-matched	24:526
54332	0	121	24	flash-matched	24:122
54332	0	122	24	flash-matched	24:352
54332	0	123	24	flash-matched	24:118
54332	0	124	24	flash-matched	24:14
54332	0	125	30	flash-matched	30:25
54332	0	126	30	flash-matched	30:28
54332	0	128	30	flash-matched	30:503
54332	0	129	24	flash-matched	24:34
54341	1	18	32	flash-matched	32:880
54341	1	30	6	flash-matched	6:13
54341	1	31	8	flash-matched	8:7
54341	1	32	16	flash-matched	16:5
54341	1	33	17	flash-matched	17:14
54341	1	34	39	flash-matched	39:288
54341	1	75	32	flash-matched	32:19
54341	1	76	32	flash-matched	32:21
54341	1	77	32	flash-matched	32:10
54341	1	78	32	flash-matched	32:6
54341	1	79	32	flash-matched	32:13
54341	1	80	32	flash-matched	32:33
54341	1	81	32	flash-matched	32:11
54341	1	82	32	flash-matched	32:7
54341	1	83	32	flash-matched	32:21
54341	1	95	32	flash-matched	32:23
54341	1	96	32	flash-matched	32:308
54341	1	97	32	flash-matched	32:12
54341	1	98	32	flash-matched	32:38
54341	1	99	32	flash-matched	32:72
54341	1	100	32	flash-matched	32:6
54341	1	101	32	flash-matched	32:320
54341	1	102	16	flash-matched	16:6
54341	1	103	17	flash-matched	17:6
54341	1	104	39	flash-matched	39:12
54341	1	105	39	flash-matched	39:30
54341	1	106	39	flash-matched	39:44
54341	1	107	39	flash-matched	39:172
99838	2	14	18	flash-matched	18:6341
99838	2	18	4	flash-matched	4:28
99838	2	19	11	flash-matched	11:3
99838	2	20	12	flash-matched	12:11
99838	2	21	17	flash-matched	17:107
99838	2	41	18	flash-matched	18:13
99838	2	42	18	flash-matched	18:11
99838	2	43	18	flash-matched	18:21
99838	2	44	18	flash-matched	18:23
99838	2	45	18	flash-matched	18:20
99838	2	46	18	flash-matched	18:29
99838	2	47	18	flash-matched	18:8
99838	2	48	18	flash-matched	18:300
99838	2	49	18	flash-matched	18:8
99838	2	57	18	flash-matched	18:25
99838	2	58	18	flash-matched	18:153
99838	2	59	18	flash-matched	18:129
99838	2	60	17	flash-matched	17:26
99838	2	61	17	flash-matched	17:14
165157	3	0	None	NO-BRIDGE	-
165157	3	9	12	flash-matched	12:372
165157	3	12	2	flash-matched	2:7
165157	3	13	3	flash-matched	3:17
165157	3	14	4	flash-matched	4:13
165157	3	15	5	flash-matched	5:9
165157	3	16	11	flash-matched	11:127
165157	3	17	14	flash-matched	14:12
165157	3	39	12	flash-matched	12:7
165157	3	40	12	flash-matched	12:5
165157	3	41	12	flash-matched	12:14
165157	3	42	12	flash-matched	12:10
165157	3	43	12	flash-matched	12:24
165157	3	44	12	flash-matched	12:20
165157	3	45	12	flash-matched	12:6
165157	3	46	12	flash-matched	12:16
165157	3	47	12	flash-matched	12:5
165157	3	48	12	flash-matched	12:6
165157	3	49	12	flash-matched	12:10
165157	3	50	12	flash-matched	12:14
165157	3	51	12	flash-matched	12:27
165157	3	52	12	flash-matched	12:60
165157	3	53	12	flash-matched	12:44
165157	3	58	12	flash-matched	12:112
165157	3	60	12	flash-matched	12:174
165157	3	61	12	flash-matched	12:92
165157	3	62	12	flash-matched	12:291
165157	3	63	12	flash-matched	12:338
347824	4	24	14	flash-matched	14:2153
347824	4	31	5	flash-matched	5:140
347824	4	32	11	flash-matched	11:11
347824	4	82	14	flash-matched	14:30
347824	4	83	14	flash-matched	14:16
347824	4	84	14	flash-matched	14:27
347824	4	85	14	flash-matched	14:14
347824	4	86	14	flash-matched	14:17
347824	4	87	14	flash-matched	14:12
347824	4	89	14	flash-matched	14:10
347824	4	90	14	flash-matched	14:12
347824	4	91	14	flash-matched	14:11
347824	4	92	14	flash-matched	14:15
347824	4	93	14	flash-matched	14:12
347824	4	94	14	flash-matched	14:48
347824	4	95	14	flash-matched	14:13
347824	4	96	14	flash-matched	14:11
347824	4	97	14	flash-matched	14:27
347824	4	102	14	flash-matched	14:36
347824	4	103	14	flash-matched	14:10
347824	4	104	14	flash-matched	14:25
347824	4	105	14	flash-matched	14:13
347824	4	106	14	flash-matched	14:384
347824	4	107	14	flash-matched	14:415
347824	4	108	14	flash-matched	14:88
347824	4	110	14	flash-matched	14:75
347824	4	112	14	flash-matched	14:587
347824	4	113	14	flash-matched	14:182
347824	4	114	5	flash-matched	5:7
347824	4	115	5	flash-matched	5:6
347824	4	116	5	flash-matched	5:15
347824	4	117	5	flash-matched	5:85
347824	4	118	5	flash-matched	5:12
347824	4	119	14	flash-matched	14:11
