# doc pr/149 A/B index -- A = stepped (production; arms pr149s0 / pr149s2s0), B = charge_stepped (pr149cs / pr149s2cs)
# zips bee/pr149/pr149-s0-stepped.zip / pr149-cs-charge_stepped.zip (built locally, NOT uploaded: owner-gated)
# order: owner ISO cases (docs pr/24,45,67,73), then Stage-1 >10 cm vertex movers, then Stage-2 lost candidates and ISO-strong movers
# NOT blinded: arm identity is in the zip names (house bee-review convention)
# status: owner = owner case; RESCUED = B within 3 cm of the click and A was not; ADVERSE = B moved >10 cm away or lost the candidate; mover = other large move
# bee_idx	sample	event	status
0	nuecc48	42280	owner: owner ISO case; vertex to click 0.7 -> 1.3 cm; nu_eval 1->1; nue 14.073776->11.422957; numu -2.6743217->-1.0036515; Enu 1846.8833->1812.3937 MeV; zigzag rms 0.736->0.661 mm; stubs 2->1
1	nuecc48	137238	owner: owner ISO case; vertex to click 0.2 -> 0.3 cm; nu_eval 1->1; nue -4.3124743->-15.0; numu -0.2608087->0.28603342; Enu 1161.1917->1227.99 MeV; zigzag rms 0.526->0.194 mm; stubs 1->1
2	nuecc48	271851	owner: owner ISO case; nu_eval 1->1; nue 3.2343032->5.6964045; numu 0.39844736->-0.22194211; Enu 1365.6597->1448.246 MeV; zigzag rms 0.664->0.540 mm; stubs 0->2
3	nuecc48	350186	owner: owner ISO case; vertex to click 0.0 -> 40.8 cm; nu_eval 1->1; nue 9.75624->-15.0; numu -0.8223966->-0.58324945; Enu 623.98663->751.7866 MeV; zigzag rms 0.749->0.282 mm; stubs 1->1
4	ncpi0	21073	owner: owner ISO case; vertex to click 1.0 -> 10.5 cm; nu_eval 1->1; nue -2.4996884->-15.0; numu -0.696057->0.40825903; Enu 1623.7389->932.38715 MeV; zigzag rms 0.919->0.805 mm; stubs 0->0
5	mcp1k	57903	owner: owner ISO case; vertex to click 1.0 -> 13.2 cm; nu_eval 1->1; nue -15.0->-15.0; numu 1.0886312->1.0503361; Enu 567.0622->580.0586 MeV; zigzag rms 0.848->1.383 mm; stubs 0->0
6	mcp1k	56463	owner: owner ISO case; nu_eval 1->1; nue -15.0->-11.1610155; numu 4.9545403->2.6928878; Enu 1429.368->1426.3904 MeV; zigzag rms 3.265->3.384 mm; stubs 0->0
7	mcp1k	284794	owner: owner ISO case; vertex to click 0.0 -> 163.6 cm; nu_eval 1->1; nue -15.0->-15.0; numu 3.3015637->-1.2273992; Enu 883.8054->329.09296 MeV; zigzag rms 3.716->0.096 mm; stubs 0->1
8	mcp1k	59899	owner: owner ISO case; vertex to click 4.5 -> 4.6 cm; nu_eval 1->1; nue -15.0->-15.0; numu -1.5150106->-0.5700719; Enu 409.35477->498.22668 MeV; zigzag rms 0.272->0.298 mm; stubs 1->1
9	mcp1k	58717	owner: owner ISO case; nu_eval 1->1; nue -15.0->-15.0; numu -1.6785984->-0.4292591; Enu 182.6539->241.37663 MeV; zigzag rms 0.072->0.043 mm; stubs 0->0
