# PR cluster_id remap for bee/pr94r5b2/pr94r5b2-on.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
62583	0	25	8	flash-matched	8:363
62583	0	26	11	flash-matched	11:155
62583	0	27	13	flash-matched	13:247
62583	0	28	15	NO-FLASH-MATCH (fallback: dominant)	15:13
62583	0	29	17	NO-FLASH-MATCH (fallback: dominant)	17:12
62583	0	30	23	flash-matched	23:13
62583	0	35	7	flash-matched	7:9
62583	0	36	7	flash-matched	7:18
62583	0	37	7	flash-matched	7:10
62583	0	38	7	flash-matched	7:24
62583	0	39	7	flash-matched	7:6
62583	0	40	7	flash-matched	7:3
62583	0	41	7	flash-matched	7:27
62583	0	42	7	flash-matched	7:21
62583	0	43	7	flash-matched	7:11
62583	0	44	7	flash-matched	7:6
62583	0	45	7	flash-matched	7:10
174422	1	18	17	flash-matched	17:646
174422	1	45	16	flash-matched	16:15
174422	1	46	16	flash-matched	16:17
174422	1	47	17	flash-matched	17:15
280466	2	15	13	flash-matched	13:1093
280466	2	16	14	flash-matched	14:241
280466	2	34	3	flash-matched	3:6
280466	2	35	3	flash-matched	3:6
280466	2	36	3	flash-matched	3:7
280466	2	37	3	flash-matched	3:6
280466	2	38	3	flash-matched	3:6
73038	3	22	2	NO-FLASH-MATCH (fallback: dominant)	2:8
73038	3	23	4	flash-matched	4:35
73038	3	24	5	NO-FLASH-MATCH (fallback: dominant)	5:126
73038	3	76	25	flash-matched	25:12
73038	3	77	25	flash-matched	25:14
73038	3	78	25	flash-matched	25:16
78032	4	18	7	flash-matched	7:5632, 15:394
78032	4	32	9	flash-matched	9:6
78032	4	33	7	flash-matched	7:8
78032	4	34	15	flash-matched	15:14
78032	4	35	15	flash-matched	15:12
90751	5	30	11	flash-matched	11:2595
90751	5	56	12	flash-matched	12:15
90751	5	57	12	flash-matched	12:15
90751	5	58	12	flash-matched	12:14
90751	5	59	12	flash-matched	12:10
90751	5	60	12	flash-matched	12:13
90751	5	61	12	flash-matched	12:11
90751	5	62	12	flash-matched	12:7
90751	5	63	12	flash-matched	12:8
90751	5	64	12	flash-matched	12:4
90751	5	65	23	flash-matched	23:13
90751	5	66	23	flash-matched	23:9
90751	5	67	23	flash-matched	23:8
90751	5	68	23	flash-matched	23:21
90751	5	69	23	flash-matched	23:8
90751	5	70	23	flash-matched	23:11
90751	5	71	23	flash-matched	23:14
90751	5	72	23	flash-matched	23:12
90751	5	73	23	flash-matched	23:13
90751	5	74	23	flash-matched	23:54
90751	5	75	23	flash-matched	23:34
90751	5	76	11	flash-matched	11:11
167612	6	24	2	NO-FLASH-MATCH (fallback: dominant)	2:13
167612	6	25	8	NO-FLASH-MATCH (fallback: dominant)	8:24
