sample	event	cls	kind	gid	cluster	cl_class	cl_gid	npts	cl_npts	Q	Qfrac	ext	rms	dvtx	dheld	dcand	cx	cy	cz	n_cand_pts	Qcand	f_absorbed	dfit	dfit_max	dfit_p90	f_far12
mcp1k	49951	NEARBY-UNMATCHED	NEARBY	-1	11	UNMATCHED	1000003	49.0	49.0	580987.0	0.0595	21.0	0.77	17.1	nan	0.3	201.8	174.9	37.3	1078.0	9770677.5	nan	nan	nan	nan	nan
mcp1k	65289	NEARBY-OTHER	NEARBY	-1	4	OTHER	3	4697.0	4697.0	39929645.6	0.9852	252.0	3.7	8.9	nan	1.5	-101.8	11.8	284.3	3885.0	40529333.9	nan	nan	nan	nan	nan
mcp1k	65999	NEARBY-COMPANION	NEARBY	-1	10	COMPANION	9	68.0	68.0	655097.9	0.1103	12.9	1.22	1.7	nan	0.3	-203.1	-88.3	253.0	466.0	5936930.8	nan	nan	nan	nan	nan
mcp1k	168614	UNHELD-WIDE	UNHELD	1	-1	OWN	0	1042.0	0.0	7091219.6	0.2579	16.2	4.36	6.3	3.0	0.0	107.6	92.4	246.1	4380.0	27501276.6	1.0	3.0	20.2	15.9	0.298
mcp1k	174422	NEARBY-UNMATCHED	NEARBY	-1	8	UNMATCHED	1000003	59.0	59.0	428395.4	0.0776	18.5	0.43	0.4	nan	0.5	-15.4	171.9	181.7	706.0	5517497.1	nan	nan	nan	nan	nan
mcp1k	280466	NEARBY-COMPANION	NEARBY	-1	12	COMPANION	2	3081.0	3081.0	19706696.1	1.7229	173.7	3.28	26.9	nan	0.5	-30.9	-104.3	57.9	1387.0	11437940.2	nan	nan	nan	nan	nan
mcp1k	282231	NEARBY-COMPANION	NEARBY	-1	8	COMPANION	8	60.0	60.0	726028.0	0.0512	5.7	0.61	0.3	nan	0.4	-0.2	51.6	465.4	950.0	14176929.5	nan	nan	nan	nan	nan
mcp1k	283969	NEARBY-OTHER	NEARBY	-1	19	OTHER	7	4564.0	4564.0	84683225.9	24.7907	240.4	1.26	24.3	nan	3.2	-61.8	-17.5	254.2	184.0	3415933.8	nan	nan	nan	nan	nan
mcp1k	284200	NEARBY-UNMATCHED	NEARBY	-1	4	UNMATCHED	1000001	107.0	107.0	945234.6	0.0585	12.4	2.14	5.1	nan	0.3	201.7	-128.6	482.9	1523.0	16171477.8	nan	nan	nan	nan	nan
mcp1k	284657	NEARBY-OTHER	NEARBY	-1	25	OTHER	10	2621.0	2621.0	16755829.0	1.5281	168.5	0.91	14.2	nan	3.2	-71.0	108.1	399.6	1568.0	10965412.0	nan	nan	nan	nan	nan
mcp1k	286681	UNHELD-WIDE	UNHELD	24	-1	OWN	0	733.0	0.0	7461651.6	0.0619	23.3	3.22	3.1	3.0	0.0	-136.0	30.7	439.7	12663.0	120535529.1	0.985	3.0	16.1	12.7	0.143
mcp1k	287431	NEARBY-COMPANION	NEARBY	-1	18	COMPANION	0	1007.0	1007.0	30262194.5	1.5881	25.7	4.2	nan	nan	0.3	-201.0	-180.5	42.2	1076.0	19055781.8	nan	nan	nan	nan	nan
mcp1k	287431	UNHELD-WIDE	UNHELD	0	-1	OWN	0	977.0	0.0	18640382.1	0.9782	27.9	3.87	nan	317.6	0.0	-201.8	-164.9	44.7	1076.0	19055781.8	0.0	317.6	345.5	341.0	1.0
mcp1k	287517	NEARBY-OTHER	NEARBY	-1	24	OTHER	5	2589.0	2589.0	17946287.8	0.9525	143.8	10.37	7.1	nan	1.8	72.2	151.0	380.5	2171.0	18840851.0	nan	nan	nan	nan	nan
mcp1k	290052	NEARBY-UNMATCHED	NEARBY	-1	4	UNMATCHED	1000002	5317.0	5317.0	40508898.1	3.4493	256.1	1.74	16.8	nan	4.5	97.0	5.9	428.4	1825.0	11744112.5	nan	nan	nan	nan	nan
mcp1k	291548	NEARBY-OTHER	NEARBY	-1	5	OTHER	4	6473.0	6473.0	70816579.3	5.7964	240.2	1.32	18.6	nan	4.5	-140.7	0.2	412.2	965.0	12217403.0	nan	nan	nan	nan	nan
mcp1k	317741	NEARBY-UNMATCHED	NEARBY	-1	12	UNMATCHED	1000006	12049.0	12049.0	131384198.0	51.8637	168.4	6.36	7.0	nan	0.7	39.0	-55.8	54.3	342.0	2533259.0	nan	nan	nan	nan	nan
mcp1k	321107	UNHELD-WIDE	UNHELD	0	-1	OWN	0	2984.0	0.0	14086799.2	0.3588	99.6	4.77	4.8	3.0	0.0	-130.3	161.2	120.2	8217.0	39262450.5	1.0	3.0	23.9	16.4	0.211
mcp1k	349461	UNHELD-WIDE	UNHELD	0	-1	OWN	0	704.0	0.0	5869583.1	0.2092	26.1	2.86	5.9	3.0	0.0	-142.3	15.7	237.8	3510.0	28059332.2	1.0	3.0	14.4	12.1	0.111
mcp1k	351639	NEARBY-UNMATCHED	NEARBY	-1	14	UNMATCHED	1000000	5747.0	5747.0	55935167.7	19.9535	133.5	2.55	nan	nan	0.3	192.0	-96.4	381.9	356.0	2803277.9	nan	nan	nan	nan	nan
mcp1k	351639	UNHELD-WIDE	UNHELD	0	-1	OWN	0	306.0	0.0	2467208.9	0.8801	8.4	2.23	nan	6.3	0.0	201.7	5.3	329.1	356.0	2803277.9	0.0	6.3	21.3	17.0	0.5
mcp1k	352123	NEARBY-UNMATCHED	NEARBY	-1	19	UNMATCHED	1000005	3823.0	3823.0	53804340.9	8.3184	221.8	3.13	19.6	nan	1.0	159.2	20.1	420.5	606.0	6468078.0	nan	nan	nan	nan	nan
mcp1k	386332	NEARBY-OTHER	NEARBY	-1	6	OTHER	3	798.0	798.0	15474689.3	3.6022	55.8	0.42	10.2	nan	4.0	-171.5	-46.1	429.0	393.0	4295911.2	nan	nan	nan	nan	nan
mcp1k	401252	NEARBY-UNMATCHED	NEARBY	-1	14	UNMATCHED	1000009	4147.0	4147.0	73569025.6	7.1097	31.4	4.91	24.6	nan	2.7	107.1	162.1	492.4	1180.0	10347627.9	nan	nan	nan	nan	nan
mcp1k	401516	NEARBY-UNMATCHED	NEARBY	-1	6	UNMATCHED	1000002	11332.0	11332.0	66006224.3	3.381	206.2	6.58	12.8	nan	2.2	56.9	18.2	244.5	1769.0	19522744.2	nan	nan	nan	nan	nan
mcp1k	402880	UNHELD-WIDE	UNHELD	0	-1	OWN	0	360.0	0.0	2175267.5	0.1691	19.5	3.52	5.1	3.0	0.0	167.0	39.5	93.1	2233.0	12864474.4	1.0	3.0	15.1	12.3	0.117
mcp1k	409634	NEARBY-OTHER	NEARBY	-1	9	OTHER	10	136.0	136.0	709638.0	0.0823	10.4	1.6	0.9	nan	0.3	-0.3	177.2	226.4	1219.0	8624289.2	nan	nan	nan	nan	nan
mcp1k	491483	NEARBY-UNMATCHED	NEARBY	-1	11	UNMATCHED	1000004	4382.0	4382.0	30377577.5	5.2745	282.3	2.61	3.8	nan	2.4	71.6	9.8	305.3	587.0	5759356.6	nan	nan	nan	nan	nan
mcp2k	48488	NEARBY-OTHER	NEARBY	-1	18	OTHER	1	13208.0	13208.0	203606476.8	14.0379	225.4	7.89	28.8	nan	2.6	-154.1	16.7	261.9	2302.0	14504045.5	nan	nan	nan	nan	nan
mcp2k	49742	NEARBY-UNMATCHED	NEARBY	-1	19	UNMATCHED	1000000	4155.0	4155.0	42718866.1	5.279	168.6	1.68	5.9	nan	4.4	145.5	-61.3	72.2	981.0	8092172.1	nan	nan	nan	nan	nan
mcp2k	51260	NEARBY-COMPANION	NEARBY	-1	6	COMPANION	1	59.0	59.0	327742.0	0.127	2.3	0.94	0.2	nan	0.3	-201.7	97.5	28.5	375.0	2579805.9	nan	nan	nan	nan	nan
mcp2k	68308	NEARBY-OTHER	NEARBY	-1	14	OTHER	2	4205.0	4205.0	87599350.6	5.5633	249.7	4.46	25.2	nan	4.9	-141.8	20.1	95.9	2225.0	15745879.5	nan	nan	nan	nan	nan
mcp2k	70472	UNHELD-WIDE	UNHELD	3	-1	OWN	0	3905.0	0.0	70887116.6	0.2198	126.2	6.49	4.1	3.0	0.0	-84.5	-34.0	426.5	16741.0	322546437.4	0.993	3.0	27.6	17.7	0.252
mcp2k	75052	UNHELD-WIDE	UNHELD	0	-1	OWN	0	1148.0	0.0	9866916.3	0.3583	22.9	3.11	3.4	3.0	0.0	-173.4	118.4	249.9	3302.0	27538786.7	1.0	3.0	16.2	12.3	0.111
mcp2k	75206	UNHELD-WIDE	UNHELD	8	-1	OWN	0	4315.0	0.0	16783751.8	0.2959	120.8	12.0	6.5	3.0	0.0	-121.4	46.3	330.2	14677.0	56718681.3	1.0	3.0	54.5	40.9	0.559
mcp2k	75206	UNHELD-WIDE	UNHELD	9	-1	OWN	0	2647.0	0.0	12250355.4	0.216	92.0	5.82	6.2	3.0	0.0	-121.8	69.2	284.4	14677.0	56718681.3	1.0	3.0	29.7	18.5	0.24
mcp2k	75795	UNHELD-WIDE	UNHELD	0	-1	OWN	0	3097.0	0.0	21989832.6	0.414	36.0	5.81	3.3	3.0	0.0	-195.7	153.9	194.6	7071.0	53115986.9	1.0	3.0	28.9	20.6	0.406
mcp2k	75795	UNHELD-WIDE	UNHELD	1	-1	OWN	0	1583.0	0.0	12027433.6	0.2264	42.2	5.58	11.8	3.0	0.0	-195.6	153.1	220.4	7071.0	53115986.9	1.0	3.0	23.6	18.1	0.268
mcp2k	94678	UNHELD-WIDE	UNHELD	1	-1	OWN	0	1089.0	0.0	4819192.1	0.3281	44.6	3.06	5.5	3.0	0.0	57.4	86.6	448.2	3531.0	14689053.9	1.0	3.0	18.0	12.2	0.107
mcp2k	94678	UNHELD-WIDE	UNHELD	0	-1	OWN	0	768.0	0.0	3059162.2	0.2083	44.6	3.06	10.7	3.0	0.0	57.6	101.5	459.8	3531.0	14689053.9	1.0	3.0	18.8	12.2	0.108
mcp2k	94942	NEARBY-UNMATCHED	NEARBY	-1	8	UNMATCHED	1000003	1456.0	1456.0	16287377.6	1.6418	87.6	0.5	2.8	nan	0.6	157.0	68.0	406.1	1362.0	9920331.1	nan	nan	nan	nan	nan
mcp2k	97033	NEARBY-COMPANION	NEARBY	-1	4	COMPANION	7	43.0	43.0	676545.0	0.0891	4.7	0.84	17.9	nan	0.3	-0.3	176.9	87.1	559.0	7590517.3	nan	nan	nan	nan	nan
mcp2k	98947	NEARBY-UNMATCHED	NEARBY	-1	19	UNMATCHED	1000000	151.0	151.0	1127018.8	0.131	60.5	13.9	24.3	nan	0.5	207.1	171.2	304.2	844.0	8600055.3	nan	nan	nan	nan	nan
mcp2k	100245	NEARBY-UNMATCHED	NEARBY	-1	13	UNMATCHED	1000000	3433.0	3433.0	24454224.9	1.7974	208.9	0.93	0.7	nan	0.0	108.2	78.6	255.3	1158.0	13605069.1	nan	nan	nan	nan	nan
