sample	event	kind	gid	npts	Q	Qfrac	ext	rms	dvtx	dheld	cx	cy	cz	cluster	cl_class	cl_npts	cl_gid	dcand	n_cand_pts	Qcand
mcp2k	47916	NEARBY	-1	13	112968.1	0.0456	41.8	0.39	18.4	nan	3.4	148.7	306.2	9	UNMATCHED	13	1000006	0.6	304	2479394.2
mcp2k	48488	NEARBY	-1	13208	203606476.8	14.0379	225.4	7.89	28.8	nan	-154.1	16.7	261.9	18	OTHER	13208	1	2.6	2302	14504045.5
mcp2k	48488	NEARBY	-1	11	68157.7	0.0047	0.7	0.33	44.9	nan	-163.3	166.0	238.8	58	OTHER	11	1	1.0	2302	14504045.5
mcp2k	49742	NEARBY	-1	4155	42718866.1	5.279	168.6	1.68	5.9	nan	145.5	-61.3	72.2	19	UNMATCHED	4155	1000000	4.4	981	8092172.1
mcp2k	49987	NEARBY	-1	3561	48093598.9	4.447	172.6	4.28	115.7	nan	-55.9	81.8	436.3	4	OTHER	3561	2	0.2	1926	10814795.8
mcp2k	50801	NEARBY	-1	5576	62488852.2	5.8249	289.4	1.48	319.8	nan	41.9	18.7	29.8	14	COMPANION	5576	3	2.0	1002	10727798.0
mcp2k	51128	NEARBY	-1	5	6592.3	0.0006	0.5	0.21	315.6	nan	0.1	197.9	39.4	4	UNMATCHED	5	1000004	0.4	1097	11779480.7
mcp2k	51128	NEARBY	-1	2919	22080736.3	1.8745	160.0	1.89	314.0	nan	-95.7	115.0	81.6	19	OTHER	2919	2	3.0	1097	11779480.7
mcp2k	51219	NEARBY	-1	21	145954.3	0.0057	1.3	0.48	159.4	nan	-108.3	0.0	129.2	42	COMPANION	21	1	2.6	3499	25723054.2
mcp2k	51260	NEARBY	-1	59	327742.0	0.127	2.3	0.94	0.2	nan	-201.7	97.5	28.5	6	COMPANION	59	1	0.3	375	2579805.9
mcp2k	51546	NEARBY	-1	3	13408.0	0.0006	0.5	0.0	399.5	nan	0.1	62.9	71.1	2	COMPANION	3	2	0.3	2628	22133871.6
mcp2k	51722	NEARBY	-1	13	95993.3	0.0166	1.1	0.39	116.7	nan	-201.9	27.4	102.3	7	COMPANION	13	10	0.3	596	5778228.0
mcp2k	51964	NEARBY	-1	5	14093.0	0.0012	1.0	0.25	194.6	nan	-201.8	-9.8	462.4	1	COMPANION	5	0	0.4	2095	12141029.4
mcp2k	52044	NEARBY	-1	18	73537.5	0.005	0.9	0.45	69.3	nan	-38.3	-100.3	288.7	59	COMPANION	18	3	0.7	2104	14727385.2
mcp2k	52220	NEARBY	-1	7	22505.0	0.0024	1.2	0.24	170.7	nan	-201.8	-1.2	256.4	5	COMPANION	7	3	0.4	1564	9377201.7
mcp2k	52220	NEARBY	-1	4	14132.3	0.0015	0.6	0.15	165.5	nan	-198.6	-3.9	251.9	50	COMPANION	4	3	1.4	1564	9377201.7
mcp2k	52693	NEARBY	-1	1229	9767088.8	0.3276	70.5	0.79	63.5	nan	152.8	-15.5	29.4	15	UNMATCHED	1229	1000003	2.1	2833	29811866.6
mcp2k	53130	UNHELD	0	6	16183.0	0.0027	0.6	0.29	9.9	3.2	-107.4	-45.6	483.5	-1	OWN	0	0	0.0	829	6092729.1
