direction	kind	run	subrun	event	idx	cls	Edep	vx	vy	vz	klass	d_other	d_main	d_main_candidate	d_any_vertex	route_own	route_other	flav	cut	stage	score_own	score_other	dEnu	tagger_changed
LOST	vertex	712	12	35	1	numuCC	405.5	-184.5	131.0	417.9	no candidate	-1.0	-1.0	-1.0	-1.0	dl-dual-snap-reject-accept/dl	-							
LOST	vertex	712	25	11	1	NC	256.7	126.3	-159.1	192.0	CHOICE	7.6	7.6	0.9	0.9	dl-veto-protected/nodl	dl-dual-snap-accept/dl							
LOST	vertex	712	25	5	0	NC	426.1	-129.3	165.6	44.2	STRUCTURE	7.2	7.2	7.2	7.2	dl-dual-snap-reject/nodl	dl-dual-snap-reject/nodl							
LOST	vertex	712	43	32	1	NC	306.9	11.4	-53.0	29.1	CHOICE	25.2	25.2	2.6	2.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	713	30	37	0	NC	273.3	88.9	90.1	115.5	CHOICE	19.8	19.8	0.8	0.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	713	38	9	0	numuCC	1425.8	36.1	-156.4	371.2	STRUCTURE	7.7	7.7	7.7	6.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	713	48	22	0	NC	344.5	-177.1	165.2	440.3	CHOICE	18.3	18.3	0.4	0.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	713	48	42	0	numuCC	577.3	-104.5	-80.5	212.7	CHOICE	5.0	5.0	0.9	0.9	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	713	51	21	0	numuCC	432.0	88.3	-8.0	24.9	CHOICE	9.2	9.2	2.0	2.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	713	67	34	0	numuCC	392.6	181.0	121.5	173.0	no candidate	-1.0	-1.0	-1.0	-1.0	dl-dual-snap-accept/dl	-							
LOST	vertex	713	7	2	1	numuCC	494.6	-50.3	-99.3	237.6	STRUCTURE	7.2	7.2	12.3	7.2	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
