run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
719	45	10	work-r3cv-d116cs/f000/pr_evt10	1	23	16	847	1852.6	0.27053	0.37371	0.057851	0.0070838	0.1771	0.040142	1.0796	2	0.55063	6244	0.035419	0.09209	0.046373	0.03805	0.25238	0	0.0070838	841	0.0070922	0.0035461	0.23405	0	0.0011806	846	0.01182	0.0047281	0.24671	0	0.0011806	846
719	45	12	work-r3cv-d116cs/f000/pr_evt12	0																																		
719	45	17	work-r3cv-d116cs/f000/pr_evt17	1	20	6	418	1392.6	0.12477	0.42112	0.0095694	0.0095694	0.067631	0.014354	1.4362	2	0.99586	2305	0.023923	0.026316	0.0095694	0.0047847	0.25897	0.0095694	0	418	0	0	0.24882	0.0095694	0	418	0.005277	0	0.25168	0.010554	0.093301	379
719	45	19	work-r3cv-d116cs/f000/pr_evt19	1	32	20	439	1345	0.27817	0.20002	0.015945	0	0.17874	0.0045558	0	0	0.9222	2497	0.0091116	0.14351	0.0022779	0.0022779	0.24838	0	0	439	0.0045558	0.0022779	0.25067	0	0	439	0.0022936	0.0022936	0.24908	0	0.0068337	436
719	45	22	work-r3cv-d116cs/f000/pr_evt22	1	17	22	303	1469.6	0.63061	0.60209	0.036304	0	0.28227	0.09571	2.7218	4	0.92095	1493	0.13861	0.27063	0.059406	0.023102	0.31082	0	0	303	0.046205	0.033003	0.27759	0	0	303	0.053333	0.04	0.27941	0	0.009901	300
719	45	25	work-r3cv-d116cs/f000/pr_evt25	1	9	2	41	68.447	0.020806	0.21187	0	0	0.080883	0	0	0	1	203	0	0.073171	0	0	0.24603	0	0	41	0	0	0.24423	0	0	41	0	0	0.23937	0	0	41
719	45	3	work-r3cv-d116cs/f000/pr_evt3	0																																		
719	45	30	work-r3cv-d116cs/f000/pr_evt30	1	12	4	21	143.68	0.04035	0.089497	0	0	0.088021	0	6.9597	1	1	77	0.19048	0.2381	0	0	0.19628	0	0	21	0	0	0.31314	0	0	21	0	0	0.26887	0	0	21
719	45	32	work-r3cv-d116cs/f000/pr_evt32	1	5	15	141	664.88	0.047849	0.10787	0	0	0.094452	0.0070922	1.504	1	1	528	0.056738	0.21277	0	0	0.20533	0	0	141	0.0070922	0.0070922	0.28729	0	0	141	0.0070922	0	0.11552	0	0	141
719	45	33	work-r3cv-d116cs/f000/pr_evt33	0																																		
719	45	34	work-r3cv-d116cs/f000/pr_evt34	0																																		
719	45	35	work-r3cv-d116cs/f000/pr_evt35	0																																		
719	45	37	work-r3cv-d116cs/f000/pr_evt37	0																																		
719	45	40	work-r3cv-d116cs/f000/pr_evt40	0																																		
719	45	41	work-r3cv-d116cs/f000/pr_evt41	1	9	2	8	31.204	0.11431	0.091892	0	0	0.20047	0	0	0	1	24	0	0	0	0	0.21562	0	0	8	0	0	0.27545	0	0	8	0	0	0.018845	0	0	8
719	45	42	work-r3cv-d116cs/f000/pr_evt42	1	3	6	120	297.1	0.039598	0.10858	0	0	0.28069	0	3.3659	1	0.53698	1225	0.05	0.066667	0	0	0.25649	0	0	120	0	0	0.27483	0	0	120	0	0	0.23744	0	0	120
719	45	45	work-r3cv-d116cs/f000/pr_evt45	0																																		
719	45	48	work-r3cv-d116cs/f000/pr_evt48	1	21	4	253	828.99	0.019147	0.0047867	0.051383	0	0.10433	0.0039526	0	0	0.95365	1660	0.0039526	0.071146	0	0	0.25976	0	0	253	0.0081633	0.0040816	0.25366	0	0.031621	245	0	0	0.26073	0	0	253
713	45	1	work-r3cv-d116cs/f001/pr_evt1	1	16	18	657	2280.9	0.38411	0.20113	0.035008	0	0.12175	0.0076104	0.43843	1	0.80341	4477	0.010654	0.11111	0.0045662	0.0030441	0.2418	0	0	657	0.0047695	0.0015898	0.26297	0	0.042618	629	0.0060883	0.0030441	0.25016	0	0	657
713	45	10	work-r3cv-d116cs/f001/pr_evt10	1	15	7	151	871.32	0.15776	0.19271	0.07947	0	0.17919	0.10596	3.443	3	0.94379	1010	0.092715	0.092715	0.092715	0.066225	0.27955	0.02649	0	151	0	0	0.2592	0.02649	0	151	0.013333	0.013333	0.24981	0.026667	0.0066225	150
713	45	12	work-r3cv-d116cs/f001/pr_evt12	0																																		
713	45	15	work-r3cv-d116cs/f001/pr_evt15	0																																		
713	45	25	work-r3cv-d116cs/f001/pr_evt25	1	9	6	389	932.76	0.072216	0.22875	0	0	0.097011	0.0025707	0	0	0.99581	2264	0	0.025707	0.002584	0	0.2734	0	0.0051414	387	0	0	0.24953	0	0.0025707	388	0.0025707	0.0025707	0.25032	0	0	389
713	45	26	work-r3cv-d116cs/f001/pr_evt26	0																																		
713	45	28	work-r3cv-d116cs/f001/pr_evt28	0																																		
713	45	30	work-r3cv-d116cs/f001/pr_evt30	0																																		
713	45	31	work-r3cv-d116cs/f001/pr_evt31	1	21	6	121	864.49	0.10658	0.16928	0	0	0.10845	0	0	0	1	598	0.016529	0.090909	0	0	0.23905	0	0	121	0	0	0.22465	0	0.0082645	120	0	0	0.20516	0	0	121
