run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
719	45	10	work-r3cv-d116p3bw/f000/pr_evt10	1	79	16	855	2034	0.64667	0.36103	0.05848	0.012865	0.18874	0.046784	1.4749	3	0.55039	6244	0.033918	0.098246	0.044549	0.039859	0.25343	0	0.0023392	853	0.019906	0.0058548	0.25151	0	0.0011696	854	0.012881	0.0070258	0.23778	0	0.0011696	854
719	45	12	work-r3cv-d116p3bw/f000/pr_evt12	0																																		
719	45	17	work-r3cv-d116p3bw/f000/pr_evt17	1	20	6	420	1780.3	0.12249	0.44489	0.0095238	0.0095238	0.074368	0.011905	1.1234	2	0.9953	2305	0.019048	0.040476	0.002381	0.002381	0.25688	0.0095238	0	420	0	0	0.25492	0.0095238	0	420	0	0	0.24679	0.010499	0.092857	381
719	45	19	work-r3cv-d116p3bw/f000/pr_evt19	1	32	20	434	1320.8	0.27476	0.20315	0.013825	0	0.1571	0.0046083	0	0	0.91428	2497	0.0069124	0.12442	0.0023041	0.0023041	0.26387	0	0	434	0.0023041	0.0023041	0.24817	0	0	434	0.0023148	0.0023148	0.22869	0	0.0046083	432
719	45	22	work-r3cv-d116p3bw/f000/pr_evt22	1	196	23	313	1489.9	0.72897	0.60776	0.063898	0	0.31157	0.089457	4.0271	6	0.94993	1497	0.13419	0.23003	0.051118	0.028754	0.27153	0	0	313	0.083067	0.038339	0.27988	0	0	313	0.048387	0.025806	0.2895	0	0.0095847	310
719	45	25	work-r3cv-d116p3bw/f000/pr_evt25	1	9	2	43	69.797	0.01963	0.22358	0	0	0.087861	0	0	0	1	203	0	0.069767	0.023256	0	0.23507	0	0	43	0.023256	0	0.27481	0	0	43	0	0	0.2323	0	0	43
719	45	3	work-r3cv-d116p3bw/f000/pr_evt3	0																																		
719	45	30	work-r3cv-d116p3bw/f000/pr_evt30	1	12	4	21	142.1	0.03626	0.10497	0	0	0.053436	0	7.0371	1	1	77	0.19048	0.19048	0	0	0.19628	0	0	21	0	0	0.28345	0	0	21	0	0	0.26891	0	0	21
719	45	32	work-r3cv-d116p3bw/f000/pr_evt32	1	5	15	139	663.54	0.065203	0.099942	0	0	0.086854	0.021583	1.5071	1	1	528	0.086331	0.22302	0.0071942	0	0.22856	0.0071942	0	139	0.014388	0.014388	0.29069	0.0071942	0	139	0	0	0.18269	0.0071942	0	139
719	45	33	work-r3cv-d116p3bw/f000/pr_evt33	0																																		
719	45	34	work-r3cv-d116p3bw/f000/pr_evt34	0																																		
719	45	35	work-r3cv-d116p3bw/f000/pr_evt35	0																																		
719	45	37	work-r3cv-d116p3bw/f000/pr_evt37	0																																		
719	45	40	work-r3cv-d116p3bw/f000/pr_evt40	0																																		
719	45	41	work-r3cv-d116p3bw/f000/pr_evt41	1	9	2	8	31.002	0.15673	0.1131	0	0	0.13347	0	0	0	1	24	0	0	0	0	0.20511	0	0	8	0	0	0.30321	0	0	8	0	0	0.051109	0	0	8
719	45	42	work-r3cv-d116p3bw/f000/pr_evt42	1	3	6	121	295.74	0.070025	0.030387	0.0082645	0	0.27304	0	0	0	0.52514	1225	0	0.07438	0	0	0.19126	0	0	121	0	0	0.29668	0	0	121	0	0	0.22846	0	0	121
719	45	45	work-r3cv-d116p3bw/f000/pr_evt45	0																																		
719	45	48	work-r3cv-d116p3bw/f000/pr_evt48	1	21	4	246	785.26	0.064595	0.016149	0.036585	0	0.10462	0.0081301	0	0	0.94059	1660	0.004065	0.081301	0.004065	0.004065	0.25951	0	0	246	0.0041841	0.0041841	0.27472	0	0.028455	239	0.0040984	0	0.22687	0	0.0081301	244
713	45	1	work-r3cv-d116p3bw/f001/pr_evt1	1	16	18	633	2279.7	0.38577	0.22774	0.012638	0	0.11041	0.0047393	0	0	0.78507	4477	0.0031596	0.10427	0.0031596	0.0015798	0.23356	0	0	633	0	0	0.25411	0	0.044234	605	0.0079114	0.0031646	0.26245	0	0.0015798	632
713	45	10	work-r3cv-d116p3bw/f001/pr_evt10	1	15	7	152	875.96	0.16807	0.19778	0.059211	0	0.15124	0.046053	3.4248	3	0.91411	1010	0.085526	0.14474	0.019737	0.019737	0.26717	0.026316	0	152	0	0	0.28154	0.026316	0	152	0.0066225	0.0066225	0.25352	0.02649	0.0065789	151
713	45	12	work-r3cv-d116p3bw/f001/pr_evt12	0																																		
713	45	15	work-r3cv-d116p3bw/f001/pr_evt15	0																																		
713	45	25	work-r3cv-d116p3bw/f001/pr_evt25	1	9	6	394	936.69	0.060244	0.22422	0	0	0.10753	0.0025381	0	0	0.9965	2264	0	0.025381	0.0025575	0	0.25677	0	0.0076142	391	0	0	0.25268	0	0.0050761	392	0.0025381	0.0025381	0.24725	0	0	394
713	45	26	work-r3cv-d116p3bw/f001/pr_evt26	0																																		
713	45	28	work-r3cv-d116p3bw/f001/pr_evt28	0																																		
713	45	30	work-r3cv-d116p3bw/f001/pr_evt30	0																																		
713	45	31	work-r3cv-d116p3bw/f001/pr_evt31	1	21	6	121	865.27	0.1076	0.17046	0.024793	0	0.11626	0.0082645	0	0	1	598	0.024793	0.10744	0	0	0.25742	0	0	121	0.0084034	0.0084034	0.21174	0	0.016529	119	0	0	0.23039	0	0	121
713	45	33	work-r3cv-d116p3bw/f001/pr_evt33	1	14	13	419	1550	0.10176	0.1713	0.0095465	0	0.11992	0.023866	0	0	0.99235	2382	0.0071599	0.081146	0.0023866	0.0023866	0.25806	0	0	419	0.022901	0.022901	0.24978	0	0.062053	393	0.016867	0.014458	0.23627	0	0.0095465	415
713	45	38	work-r3cv-d116p3bw/f001/pr_evt38	1	30	3	299	573.36	0.27413	0.091376	0.010033	0	0.12167	0	0	0	0.96533	1972	0.006689	0.020067	0	0	0.26696	0	0	299	0	0	0.25437	0	0.063545	280	0	0	0.21694	0	0.063545	280
713	45	45	work-r3cv-d116p3bw/f001/pr_evt45	1	12	3	29	102.31	0.014542	0.0048474	0	0	0.096446	0	0	0	1	120	0	0.17241	0	0	0.24246	0	0	29	0	0	0.18931	0	0	29	0	0	0.27981	0	0	29
713	45	47	work-r3cv-d116p3bw/f001/pr_evt47	0																																		
713	45	6	work-r3cv-d116p3bw/f001/pr_evt6	0																																		
713	58	11	work-r3cv-d116p3bw/f002/pr_evt11	0																																		
713	58	19	work-r3cv-d116p3bw/f002/pr_evt19	1	5	9	627	1501.5	0.067782	0.15244	0.0063796	0	0.19286	0	0	0	0.57967	6911	0.0031898	0.030303	0	0	0.2441	0	0	627	0	0	0.24531	0	0	627	0	0	0.26079	0	0.0047847	624
713	58	2	work-r3cv-d116p3bw/f002/pr_evt2	0																																		
713	58	20	work-r3cv-d116p3bw/f002/pr_evt20	1	13	6	55	158.15	0.095244	0.19565	0.036364	0	0.18779	0	0	0	0.90507	354	0	0.2	0	0	0.17496	0	0	55	0	0	0.23722	0	0	55	0	0	0.22248	0	0	55
713	58	23	work-r3cv-d116p3bw/f002/pr_evt23	1	31	18	163	914.96	0.76755	0.17889	0.055215	0	0.21661	0.055215	0	0	0.87362	1016	0.02454	0.33129	0.04908	0.01227	0.24869	0.006135	0	163	0.067485	0.018405	0.27009	0.006135	0	163	0.06135	0.02454	0.22454	0.006135	0	163
713	58	28	work-r3cv-d116p3bw/f002/pr_evt28	0																																		
713	58	34	work-r3cv-d116p3bw/f002/pr_evt34	0																																		
713	58	4	work-r3cv-d116p3bw/f002/pr_evt4	0																																		
713	58	47	work-r3cv-d116p3bw/f002/pr_evt47	0																																		
713	58	5	work-r3cv-d116p3bw/f002/pr_evt5	0																																		
713	58	9	work-r3cv-d116p3bw/f002/pr_evt9	0																																		
713	97	10	work-r3cv-d116p3bw/f003/pr_evt10	1	16	7	342	987.96	0.4493	0.14683	0.011696	0	0.10249	0.011696	0	0	0.99962	1836	0.011696	0.049708	0.005848	0.005848	0.23503	0	0	342	0	0	0.24977	0.002924	0	342	0.0029499	0.0058997	0.23355	0.0029499	0.0087719	339
713	97	11	work-r3cv-d116p3bw/f003/pr_evt11	0																																		
713	97	15	work-r3cv-d116p3bw/f003/pr_evt15	0																																		
713	97	18	work-r3cv-d116p3bw/f003/pr_evt18	1	10	6	235	621.31	0.030785	0.016772	0	0	0.12235	0	0	0	0.6117	2406	0.0085106	0.06383	0	0	0.23954	0	0	235	0	0	0.26202	0	0	235	0	0	0.25468	0	0	235
713	97	25	work-r3cv-d116p3bw/f003/pr_evt25	0																																		
