run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
296	86	10992	work-r3nue-d115pr/f000/pr_evt10992	1	14	45	483	3646.1	0.26157	0.31161	0.041408	0.0062112	0.14672	0.057971	0.27427	1	0.79218	2430	0.060041	0.21739	0.012422	0.0062112	0.25011	0.0020704	0	483	0.058568	0.05423	0.23372	0	0.045549	461	0.035343	0.018711	0.21032	0	0.0041408	481
296	86	1150	work-r3nue-d115pr/f000/pr_evt1150	1	9	8	87	277.81	0.19282	0.16023	0	0	0.14728	0.011494	0	0	0.87951	462	0	0.22989	0	0	0.24303	0	0	87	0.011494	0.011494	0.27599	0	0	87	0	0	0.15688	0	0	87
296	86	1154	work-r3nue-d115pr/f000/pr_evt1154	1	12	37	970	3175.9	0.2957	0.26307	0.083505	0	0.36942	0.019588	3.1487	10	0.73355	9390	0.071134	0.26598	0.016495	0.0061856	0.23057	0	0	970	0.027921	0.01241	0.27965	0	0.0030928	967	0.019628	0.0061983	0.24952	0	0.0020619	968
296	86	2935	work-r3nue-d115pr/f000/pr_evt2935	1	3	44	1087	4119.4	0.29385	0.43744	0.13983	0.0082797	0.45535	0.031279	4.3696	18	0.34998	17584	0.14995	0.25483	0.030359	0.01104	0.25828	0	0	1087	0.03491	0.019144	0.27511	0	0.18307	888	0.035185	0.0083333	0.24606	0	0.0064397	1080
296	86	7158	work-r3nue-d115pr/f000/pr_evt7158	1	18	26	1089	3350.6	0.44561	0.26936	0.02663	0	0.1236	0.0091827	0.59691	2	0.92264	6906	0.012856	0.089991	0.0073937	0.0046211	0.23857	0	0.0064279	1082	0.022451	0.0065482	0.26055	0	0.018365	1069	0.00092678	0	0.24063	0	0.0091827	1079
296	86	9621	work-r3nue-d115pr/f000/pr_evt9621	1	14	14	310	909.72	0.17612	0.20063	0.12258	0.0032258	0.28649	0.019355	3.2977	3	0.88955	2151	0.051613	0.24516	0.0096774	0.0064516	0.27375	0	0	310	0.029032	0.012903	0.23789	0	0	310	0.0032362	0.0032362	0.2441	0	0.0032258	309
300	20	10603	work-r3nue-d115pr/f001/pr_evt10603	1	13	14	617	1804.8	0.19789	0.25572	0.029173	0	0.18247	0.012966	0.55407	1	0.80062	5287	0.017828	0.11507	0.0097245	0.0048622	0.24934	0	0	617	0.012966	0.0081037	0.26213	0	0	617	0.0048701	0	0.23921	0	0.0016207	616
300	20	11199	work-r3nue-d115pr/f001/pr_evt11199	1	15	35	401	1805.7	0.21106	0.22386	0.062344	0.0049875	0.24101	0.037406	1.6614	3	0.95401	2284	0.054863	0.29676	0.012626	0.010101	0.24866	0	0.012469	396	0.042394	0.032419	0.26671	0	0	401	0.010076	0.0050378	0.24357	0	0.0099751	397
300	20	11515	work-r3nue-d115pr/f001/pr_evt11515	1	6	63	951	4120.7	0.20576	0.45839	0.12093	0.0052576	0.39325	0.030494	1.9414	8	0.57211	10196	0.059937	0.28076	0.025237	0.01367	0.25624	0	0	951	0.02734	0.015773	0.26645	0	0	951	0.016112	0.0064447	0.23516	0	0.02103	931
300	20	4427	work-r3nue-d115pr/f001/pr_evt4427	1	6	25	421	1448	0.22162	0.32436	0.073634	0	0.34848	0.023753	2.7623	4	0.79736	3324	0.090261	0.21378	0.019002	0.011876	0.24502	0	0	421	0.014388	0.01199	0.26531	0	0.0095012	417	0.002381	0	0.20354	0	0.0023753	420
300	20	4754	work-r3nue-d115pr/f001/pr_evt4754	1	20	45	711	3734.1	0.25742	0.3797	0.12236	0.0028129	0.33511	0.042194	3.2136	12	0.74014	6401	0.092827	0.25176	0.025316	0.015471	0.2474	0	0	711	0.044349	0.028612	0.27361	0	0.016878	699	0.02546	0.0042433	0.24668	0	0.0056259	707
300	20	6354	work-r3nue-d115pr/f001/pr_evt6354	1	19	26	379	1924.4	0.38156	0.3006	0.034301	0	0.27552	0.029024	2.0785	4	0.80254	2351	0.092348	0.24274	0.0079787	0.0026596	0.25836	0.0053191	0.0079156	376	0.026385	0.021108	0.2782	0.0079156	0	379	0.0026385	0	0.24133	0	0	379
300	20	7096	work-r3nue-d115pr/f001/pr_evt7096	1	18	17	245	2349.8	0.3081	0.16924	0.028571	0	0.24334	0.028571	1.2767	3	0.82264	1722	0.077551	0.16735	0.02449	0.0081633	0.26547	0	0	245	0.044898	0.020408	0.24289	0	0	245	0.028571	0.0040816	0.24377	0	0	245
300	20	7361	work-r3nue-d115pr/f001/pr_evt7361	1	6	29	399	1477.5	0.19751	0.42708	0.082707	0	0.27919	0.037594	1.3537	2	0.84977	2701	0.052632	0.27068	0.030075	0.025063	0.23373	0.0025063	0	399	0.027569	0.010025	0.25844	0.0025063	0	399	0.015267	0.0050891	0.18836	0.0025445	0.015038	393
300	20	807	work-r3nue-d115pr/f001/pr_evt807	1	3	82	1239	5304.7	0.30894	0.48313	0.1025	0.0032284	0.39567	0.059726	2.8277	15	0.48715	14249	0.099274	0.29217	0.032284	0.020178	0.26469	0	0	1239	0.044335	0.027094	0.27042	0	0.016949	1218	0.025306	0.01551	0.23155	0	0.011299	1225
300	20	9269	work-r3nue-d115pr/f001/pr_evt9269	1	9	43	474	2554.9	0.18498	0.23568	0.0042194	0	0.20599	0.018987	1.5656	4	0.96256	2315	0.07173	0.25105	0.016878	0.010549	0.238	0	0	474	0.012658	0.0063291	0.25267	0	0	474	0.016878	0.0042194	0.21589	0	0	474
295	70	10348	work-r3nue-d115pr/f002/pr_evt10348	1	14	11	66	612.03	0.19346	0.27474	0	0	0.20673	0.045455	0	0	0.93365	315	0	0.36364	0.030303	0.030303	0.32234	0	0	66	0.030303	0.030303	0.24184	0	0	66	0	0	0.16921	0	0	66
295	70	10608	work-r3nue-d115pr/f002/pr_evt10608	1	7	7	244	509.89	0.26577	0.39984	0.057377	0	0.23759	0.016393	1.9612	1	0.94105	1647	0.032787	0.18033	0.012295	0.012295	0.2609	0	0	244	0.0081967	0.0040984	0.24417	0	0	244	0.0040984	0	0.21999	0	0	244
295	70	10953	work-r3nue-d115pr/f002/pr_evt10953	1	3	13	276	1108.3	0.28622	0.4914	0.094203	0.0036232	0.43974	0.086957	1.8045	2	0.67752	2813	0.068841	0.25362	0.061594	0.054348	0.27119	0	0	276	0.048507	0.033582	0.26207	0	0.028986	268	0.019608	0.0039216	0.23092	0	0.076087	255
