run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
296	86	10992	work-r3nue-d116cs/f000/pr_evt10992	1	14	45	461	3587.7	0.21814	0.30801	0.030369	0.0043384	0.12447	0.039046	0.8362	3	0.79796	2430	0.043384	0.19957	0.019523	0.010846	0.26088	0	0	461	0.036364	0.029545	0.2544	0	0.045553	440	0.0065359	0	0.22461	0	0.0043384	459
296	86	1150	work-r3nue-d116cs/f000/pr_evt1150	1	9	8	118	303.9	0.087574	0.14005	0.016949	0	0.17478	0.0084746	6.5812	2	0.99719	462	0.084746	0.25424	0.0084746	0.0084746	0.24881	0	0	118	0	0	0.26167	0	0	118	0	0	0.17614	0	0	118
296	86	1154	work-r3nue-d116cs/f000/pr_evt1154	1	12	37	965	3411.3	0.32261	0.25049	0.10363	0	0.39387	0.014508	3.2246	11	0.734	9390	0.075648	0.26321	0.011399	0.0051813	0.23985	0	0	965	0.016615	0.0083074	0.25297	0	0.0020725	963	0.022989	0.0031348	0.25548	0	0.0082902	957
296	86	2935	work-r3nue-d116cs/f000/pr_evt2935	1	3	45	1234	4353	0.29346	0.44123	0.1329	0.011345	0.549	0.049433	5.7432	25	0.42236	17616	0.15883	0.24311	0.046191	0.02269	0.27419	0	0	1234	0.05	0.02451	0.2836	0	0.17342	1020	0.033469	0.0097959	0.2435	0	0.0072934	1225
296	86	7158	work-r3nue-d116cs/f000/pr_evt7158	1	18	26	1044	3566.3	0.45887	0.28857	0.014368	0	0.11734	0.0028736	0.2804	1	0.88236	6906	0.012452	0.086207	0.0067308	0	0.25395	0	0.0038314	1040	0.0078201	0.0029326	0.24924	0	0.020115	1023	0	0	0.24561	0	0.0047893	1039
296	86	9621	work-r3nue-d116cs/f000/pr_evt9621	1	14	15	314	883.8	0.11859	0.24875	0.14331	0.0063694	0.31393	0.044586	1.1315	1	0.85516	2163	0.025478	0.24204	0.022293	0.0095541	0.25495	0	0	314	0.031847	0.0095541	0.27608	0	0	314	0.041534	0.028754	0.25522	0	0.0031847	313
300	20	10603	work-r3nue-d116cs/f001/pr_evt10603	1	13	15	673	2114.5	0.19394	0.24307	0.066865	0	0.21599	0.011887	1.8917	4	0.79943	5301	0.041605	0.1367	0.010401	0.0089153	0.23752	0	0	673	0.011887	0.0044577	0.24528	0	0	673	0.0044577	0.0014859	0.24644	0	0	673
300	20	11199	work-r3nue-d116cs/f001/pr_evt11199	1	15	35	389	1759.7	0.20213	0.22284	0.048843	0.0051414	0.19696	0.023136	1.7049	3	0.93895	2284	0.053985	0.26992	0.007772	0.0051813	0.24811	0	0.0077121	386	0.025707	0.023136	0.25502	0	0	389	0.0025974	0.0025974	0.20799	0	0.010283	385
300	20	11515	work-r3nue-d116cs/f001/pr_evt11515	1	6	62	918	4084.8	0.23357	0.44689	0.10675	0.003268	0.34437	0.027233	0.24481	1	0.56767	10523	0.040305	0.31264	0.01634	0.0076253	0.2616	0	0	918	0.026144	0.01634	0.27604	0	0	918	0.0089385	0.0044693	0.2397	0	0.025054	895
300	20	4427	work-r3nue-d116cs/f001/pr_evt4427	1	6	25	402	1502.3	0.23147	0.32825	0.072139	0	0.36075	0.0199	3.3283	5	0.72444	3324	0.10697	0.30597	0.0099502	0.0074627	0.21273	0	0	402	0.017456	0.014963	0.2781	0	0.0024876	401	0.0049875	0.0024938	0.21011	0	0.0024876	401
300	20	4754	work-r3nue-d116cs/f001/pr_evt4754	1	20	45	734	3968.8	0.28068	0.36617	0.11035	0.0027248	0.3124	0.044959	2.2677	9	0.73804	6401	0.077657	0.25068	0.017711	0.014986	0.2417	0	0	734	0.037241	0.01931	0.28174	0.0013793	0.012262	725	0.045082	0.010929	0.24027	0	0.0027248	732
300	20	6354	work-r3nue-d116cs/f001/pr_evt6354	1	19	26	382	2077.2	0.2882	0.27933	0.036649	0	0.2809	0.052356	0.48142	1	0.83758	2351	0.041885	0.26963	0.031496	0.018373	0.23102	0.0052493	0.0026178	381	0.028796	0.028796	0.27482	0.0078534	0	382	0.0026178	0.0026178	0.20324	0	0	382
300	20	7096	work-r3nue-d116cs/f001/pr_evt7096	1	22	17	244	2358.8	0.0078622	0.15783	0.061475	0.0040984	0.27019	0.02459	0.8479	2	0.80984	1722	0.081967	0.22951	0.028689	0.020492	0.27217	0	0	244	0.012295	0.0040984	0.24894	0	0	244	0.0081967	0.0040984	0.26483	0	0	244
300	20	7361	work-r3nue-d116cs/f001/pr_evt7361	1	6	29	390	1523.8	0.20871	0.43968	0.058974	0	0.28585	0.012821	0.65624	1	0.86777	2701	0.048718	0.28974	0.017949	0.0051282	0.21497	0.0025641	0	390	0.0076923	0.0051282	0.24889	0.0025641	0	390	0.013021	0	0.18518	0.0026042	0.015385	384
300	20	807	work-r3nue-d116cs/f001/pr_evt807	1	3	82	1378	5363.1	0.26224	0.48015	0.127	0.0050798	0.41954	0.052975	3.7292	20	0.52319	14271	0.11248	0.27576	0.036284	0.016691	0.24866	0	0	1378	0.04912	0.027859	0.26444	0	0.01016	1364	0.031525	0.013196	0.23833	0	0.01016	1364
300	20	9269	work-r3nue-d116cs/f001/pr_evt9269	1	9	43	483	2530.2	0.17367	0.23541	0.014493	0	0.19015	0.0041408	0	0	0.97553	2315	0.018634	0.2588	0.0062112	0.0041408	0.25536	0	0	483	0	0	0.25684	0.0020704	0	483	0.0041494	0	0.20247	0	0.0020704	482
295	70	10348	work-r3nue-d116cs/f002/pr_evt10348	1	14	10	60	591.05	0.24554	0.21743	0.016667	0	0.16387	0.033333	0	0	0.90224	297	0	0.38333	0.033333	0.033333	0.27054	0	0	60	0.05	0.033333	0.27564	0	0	60	0	0	0.12562	0	0	60
295	70	10608	work-r3nue-d116cs/f002/pr_evt10608	1	7	7	275	615.32	0.24504	0.39992	0.054545	0	0.26964	0.0072727	3.2503	2	0.97872	1647	0.032727	0.14909	0.010909	0.0072727	0.27211	0	0	275	0.0072727	0	0.24584	0	0	275	0.0036496	0	0.19277	0	0.0036364	274
295	70	10953	work-r3nue-d116cs/f002/pr_evt10953	1	3	13	359	1091.8	0.31471	0.49694	0.16992	0.0027855	0.55251	0.077994	5.4956	6	0.7456	2813	0.12256	0.1727	0.036212	0.013928	0.26016	0.0027855	0	359	0.1108	0.056818	0.30841	0.0028409	0.019499	352	0.029326	0.017595	0.24739	0.0029326	0.050139	341
295	70	12474	work-r3nue-d116cs/f002/pr_evt12474	1	6	9	274	830.76	0.27848	0.38023	0.072993	0	0.2379	0.029197	2.4074	2	0.95262	1563	0.065693	0.20073	0.043796	0.029197	0.26308	0	0	274	0.029197	0.018248	0.25272	0	0	274	0.014599	0	0.20413	0	0	274
295	70	1855	work-r3nue-d116cs/f002/pr_evt1855	1	17	10	210	594.42	0.11184	0.49446	0.019048	0	0.17339	0.014286	1.6823	1	0.96638	1357	0.057143	0.15238	0.0047619	0	0.27767	0	0	210	0.019048	0.0095238	0.27442	0	0	210	0.0095238	0.0047619	0.22516	0	0	210
295	70	2925	work-r3nue-d116cs/f002/pr_evt2925	1	14	46	1167	5783.7	0.07198	0.3383	0.13111	0.0034276	0.47477	0.035133	1.729	10	0.22868	25734	0.067695	0.21937	0.033419	0.021422	0.26321	0	0	1167	0.022279	0.012853	0.26213	0	0	1167	0.0085911	0.0025773	0.24986	0	0.0025707	1164
295	70	4226	work-r3nue-d116cs/f002/pr_evt4226	1	6	31	653	3343.2	0.28937	0.32395	0.087289	0	0.28987	0.032159	1.7947	6	0.92468	4442	0.056662	0.22205	0.030628	0.022971	0.28745	0	0	653	0.030628	0.022971	0.2412	0	0	653	0.0045942	0.0015314	0.25782	0	0	653
295	70	5418	work-r3nue-d116cs/f002/pr_evt5418	1	18	39	639	3139.4	0.13516	0.3269	0.10329	0.0015649	0.3835	0.051643	1.5927	5	0.83861	4408	0.073552	0.35055	0.045383	0.035994	0.2603	0	0	639	0.025039	0.014085	0.26101	0	0	639	0.026604	0.0093897	0.24441	0	0	639
293	43	10202	work-r3nue-d116cs/f003/pr_evt10202	1	88	51	1240	4224.6	0.46748	0.33882	0.12661	0.00080645	0.36073	0.045968	3.0772	13	0.74025	10281	0.085484	0.25	0.029056	0.014528	0.25032	0	0.00080645	1239	0.034705	0.020985	0.26935	0	0.00080645	1239	0.033118	0.015347	0.24914	0	0.0016129	1238
293	43	4013	work-r3nue-d116cs/f003/pr_evt4013	1	32	22	423	1684.8	0.2093	0.41007	0.068558	0	0.35137	0.021277	1.1871	2	0.9278	2465	0.052009	0.28132	0.028369	0.0094563	0.23952	0.0094563	0	423	0.016548	0.0070922	0.24561	0	0	423	0.0047281	0.0023641	0.21663	0	0	423
