run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
719	45	10	work-r3cv-d117t1x/f000/pr_evt10	1	23	16	845	1896.8	0.2728	0.36019	0.046154	0.011834	0.16331	0.048521	1.5816	3	0.5487	6244	0.018935	0.10533	0.048751	0.045184	0.2543	0	0.0047337	841	0.0059242	0.0035545	0.24612	0	0.0011834	844	0.011862	0.0071174	0.25043	0	0.0023669	843
719	45	12	work-r3cv-d117t1x/f000/pr_evt12	0																																		
719	45	17	work-r3cv-d117t1x/f000/pr_evt17	1	20	6	419	1392.6	0.11982	0.45779	0.016706	0.0095465	0.068266	0.011933	1.4361	2	0.99539	2305	0.019093	0.031026	0.0023866	0.0023866	0.25478	0.0095465	0	419	0	0	0.23831	0.0095465	0	419	0.0026316	0	0.22646	0.010526	0.093079	380
719	45	19	work-r3cv-d117t1x/f000/pr_evt19	1	32	20	431	1303.7	0.27561	0.19964	0.0092807	0	0.14148	0.0046404	0.76703	1	0.92299	2497	0.013921	0.13457	0.0023202	0.0023202	0.24086	0	0	431	0.0023202	0.0023202	0.23238	0	0	431	0.0023256	0.0023256	0.22301	0	0.0023202	430
719	45	22	work-r3cv-d117t1x/f000/pr_evt22	0																																		
719	45	25	work-r3cv-d117t1x/f000/pr_evt25	1	9	2	42	68.937	0.017255	0.2101	0	0	0.075707	0	0	0	1	203	0	0.071429	0	0	0.27263	0	0	42	0	0	0.22087	0	0	42	0	0	0.26206	0	0	42
719	45	3	work-r3cv-d117t1x/f000/pr_evt3	0																																		
719	45	30	work-r3cv-d117t1x/f000/pr_evt30	1	12	4	21	143.89	0.020921	0.082776	0	0	0.064325	0	6.9498	1	1	77	0.19048	0.19048	0	0	0.16309	0	0	21	0	0	0.20901	0	0	21	0	0	0.1661	0	0	21
719	45	32	work-r3cv-d117t1x/f000/pr_evt32	1	5	15	139	663.26	0.040293	0.099587	0	0	0.087812	0.014388	1.5077	1	1	528	0.071942	0.20144	0	0	0.24273	0	0	139	0.014388	0.014388	0.26488	0	0	139	0	0	0.16573	0	0	139
719	45	33	work-r3cv-d117t1x/f000/pr_evt33	0																																		
719	45	34	work-r3cv-d117t1x/f000/pr_evt34	0																																		
719	45	35	work-r3cv-d117t1x/f000/pr_evt35	0																																		
719	45	37	work-r3cv-d117t1x/f000/pr_evt37	0																																		
719	45	40	work-r3cv-d117t1x/f000/pr_evt40	0																																		
719	45	41	work-r3cv-d117t1x/f000/pr_evt41	1	9	2	8	31.327	0.24433	0.1569	0	0	0.21439	0	0	0	1	24	0	0	0	0	0.26942	0	0	8	0	0	0.15685	0	0	8	0	0	0.16314	0	0	8
719	45	42	work-r3cv-d117t1x/f000/pr_evt42	1	3	6	120	293.41	0.014132	0.021072	0	0	0.19948	0	0	0	0.53869	1225	0.033333	0.066667	0	0	0.21936	0	0	120	0	0	0.24064	0	0	120	0	0	0.21353	0	0	120
719	45	45	work-r3cv-d117t1x/f000/pr_evt45	0																																		
719	45	48	work-r3cv-d117t1x/f000/pr_evt48	1	21	4	246	785.6	0.032115	0.0080287	0.04878	0	0.099384	0.004065	0	0	0.94947	1660	0.0081301	0.073171	0	0	0.24799	0.004065	0	246	0	0	0.26486	0.0041494	0.020325	241	0	0	0.25098	0.0040984	0.0081301	244
713	45	1	work-r3cv-d117t1x/f001/pr_evt1	1	85	18	652	2292.3	0.036948	0.17616	0.015337	0	0.10879	0.0092025	0.87247	2	0.81721	4477	0.015337	0.10583	0.0076687	0.006135	0.24861	0	0	652	0.0064103	0.0048077	0.22805	0	0.042945	624	0.0061538	0	0.24973	0	0.0030675	650
713	45	10	work-r3cv-d117t1x/f001/pr_evt10	1	15	7	148	869.64	0.31523	0.21521	0.10811	0.0067568	0.12473	0.087838	3.4497	3	0.79012	1010	0.087838	0.10135	0.054422	0.047619	0.25802	0.027211	0.0067568	147	0.0067568	0	0.19486	0.027027	0	148	0.020548	0.013699	0.26298	0.027397	0.013514	146
713	45	12	work-r3cv-d117t1x/f001/pr_evt12	0																																		
713	45	15	work-r3cv-d117t1x/f001/pr_evt15	0																																		
713	45	25	work-r3cv-d117t1x/f001/pr_evt25	1	9	6	391	935.67	0.061203	0.22947	0	0	0.084537	0.0025575	0	0	0.9965	2264	0.0051151	0.023018	0.0025707	0	0.25334	0	0.0051151	389	0	0	0.25201	0	0.0051151	389	0.0025575	0.0025575	0.23715	0	0	391
713	45	26	work-r3cv-d117t1x/f001/pr_evt26	1	16	7	385	2347	0.25048	0.32993	0.028571	0.01039	0.09288	0.012987	0.42608	1	0.99298	2109	0.01039	0.093506	0	0	0.2663	0.012987	0	385	0.0052083	0.0026042	0.23689	0.010417	0.0025974	384	0.0025974	0.0025974	0.25255	0.01039	0	385
713	45	28	work-r3cv-d117t1x/f001/pr_evt28	0																																		
713	45	30	work-r3cv-d117t1x/f001/pr_evt30	0																																		
713	45	31	work-r3cv-d117t1x/f001/pr_evt31	1	21	6	121	864.75	0.10696	0.17061	0	0	0.10767	0	1.1564	1	1	598	0.033058	0.090909	0	0	0.28112	0	0	121	0	0	0.19988	0	0.0082645	120	0	0	0.22871	0	0	121
713	45	33	work-r3cv-d117t1x/f001/pr_evt33	1	14	13	417	1873.5	0.10392	0.17386	0.021583	0	0.10651	0.021583	0	0	0.994	2382	0	0.10312	0	0	0.23592	0	0	417	0.025641	0.023077	0.24782	0	0.064748	390	0.017032	0.014599	0.26138	0	0.014388	411
