sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
cv-t1e	numu	-3.0	452	557	452	710	0.8115	0.6366
cv-t1e	numu	-2.9	452	557	452	708	0.8115	0.6384
cv-t1e	numu	-2.8	452	557	452	706	0.8115	0.6402
cv-t1e	numu	-2.7	452	557	452	705	0.8115	0.6411
cv-t1e	numu	-2.6	452	557	452	703	0.8115	0.6430
cv-t1e	numu	-2.5	451	557	451	700	0.8097	0.6443
cv-t1e	numu	-2.4	451	557	451	686	0.8097	0.6574
cv-t1e	numu	-2.3	451	557	451	684	0.8097	0.6594
cv-t1e	numu	-2.2	451	557	451	683	0.8097	0.6603
cv-t1e	numu	-2.1	451	557	451	680	0.8097	0.6632
cv-t1e	numu	-2.0	451	557	451	676	0.8097	0.6672
cv-t1e	numu	-1.9	451	557	451	669	0.8097	0.6741
cv-t1e	numu	-1.8	451	557	451	661	0.8097	0.6823
cv-t1e	numu	-1.7	451	557	451	655	0.8097	0.6885
cv-t1e	numu	-1.6	451	557	451	649	0.8097	0.6949
cv-t1e	numu	-1.5	450	557	450	639	0.8079	0.7042
cv-t1e	numu	-1.4	449	557	449	631	0.8061	0.7116
cv-t1e	numu	-1.3	449	557	449	628	0.8061	0.7150
cv-t1e	numu	-1.2	447	557	447	624	0.8025	0.7163
cv-t1e	numu	-1.1	446	557	446	610	0.8007	0.7311
cv-t1e	numu	-1.0	445	557	445	604	0.7989	0.7368
cv-t1e	numu	-0.9	445	557	445	595	0.7989	0.7479
cv-t1e	numu	-0.8	442	557	442	589	0.7935	0.7504
cv-t1e	numu	-0.7	441	557	441	578	0.7917	0.7630
cv-t1e	numu	-0.6	441	557	441	573	0.7917	0.7696
cv-t1e	numu	-0.5	434	557	434	559	0.7792	0.7764
cv-t1e	numu	-0.4	430	557	430	547	0.7720	0.7861
cv-t1e	numu	-0.3	427	557	427	540	0.7666	0.7907
cv-t1e	numu	-0.2	425	557	425	532	0.7630	0.7989
cv-t1e	numu	-0.1	423	557	423	527	0.7594	0.8027
cv-t1e	numu	0.0	421	557	421	521	0.7558	0.8081
cv-t1e	numu	0.1	418	557	418	512	0.7504	0.8164
cv-t1e	numu	0.2	413	557	413	505	0.7415	0.8178
cv-t1e	numu	0.3	409	557	409	499	0.7343	0.8196
