sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
nuecc-t1e	numu	-3.0	49	90	49	1533	0.5444	0.0320
nuecc-t1e	numu	-2.9	49	90	49	1532	0.5444	0.0320
nuecc-t1e	numu	-2.8	49	90	49	1532	0.5444	0.0320
nuecc-t1e	numu	-2.7	49	90	49	1532	0.5444	0.0320
nuecc-t1e	numu	-2.6	49	90	49	1532	0.5444	0.0320
nuecc-t1e	numu	-2.5	49	90	49	1532	0.5444	0.0320
nuecc-t1e	numu	-2.4	49	90	49	1531	0.5444	0.0320
nuecc-t1e	numu	-2.3	49	90	49	1530	0.5444	0.0320
nuecc-t1e	numu	-2.2	49	90	49	1527	0.5444	0.0321
nuecc-t1e	numu	-2.1	49	90	49	1518	0.5444	0.0323
nuecc-t1e	numu	-2.0	49	90	49	1514	0.5444	0.0324
nuecc-t1e	numu	-1.9	49	90	49	1510	0.5444	0.0325
nuecc-t1e	numu	-1.8	49	90	49	1503	0.5444	0.0326
nuecc-t1e	numu	-1.7	49	90	49	1495	0.5444	0.0328
nuecc-t1e	numu	-1.6	49	90	49	1482	0.5444	0.0331
nuecc-t1e	numu	-1.5	49	90	49	1474	0.5444	0.0332
nuecc-t1e	numu	-1.4	49	90	49	1457	0.5444	0.0336
nuecc-t1e	numu	-1.3	49	90	49	1427	0.5444	0.0343
nuecc-t1e	numu	-1.2	49	90	49	1407	0.5444	0.0348
nuecc-t1e	numu	-1.1	49	90	49	1376	0.5444	0.0356
nuecc-t1e	numu	-1.0	49	90	49	1341	0.5444	0.0365
nuecc-t1e	numu	-0.9	49	90	49	1300	0.5444	0.0377
nuecc-t1e	numu	-0.8	49	90	49	1256	0.5444	0.0390
nuecc-t1e	numu	-0.7	49	90	49	1211	0.5444	0.0405
nuecc-t1e	numu	-0.6	49	90	49	1158	0.5444	0.0423
nuecc-t1e	numu	-0.5	49	90	49	1099	0.5444	0.0446
nuecc-t1e	numu	-0.4	49	90	49	1043	0.5444	0.0470
nuecc-t1e	numu	-0.3	49	90	49	977	0.5444	0.0502
nuecc-t1e	numu	-0.2	49	90	49	916	0.5444	0.0535
nuecc-t1e	numu	-0.1	49	90	49	850	0.5444	0.0576
nuecc-t1e	numu	0.0	49	90	49	794	0.5444	0.0617
nuecc-t1e	numu	0.1	49	90	49	721	0.5444	0.0680
nuecc-t1e	numu	0.2	48	90	48	645	0.5333	0.0744
nuecc-t1e	numu	0.3	48	90	48	586	0.5333	0.0819
nuecc-t1e	numu	0.4	48	90	48	512	0.5333	0.0938
nuecc-t1e	numu	0.5	48	90	48	463	0.5333	0.1037
nuecc-t1e	numu	0.6	48	90	48	414	0.5333	0.1159
nuecc-t1e	numu	0.7	47	90	47	377	0.5222	0.1247
nuecc-t1e	numu	0.8	46	90	46	341	0.5111	0.1349
nuecc-t1e	numu	0.9	45	90	45	307	0.5000	0.1466
nuecc-t1e	numu	1.0	45	90	45	280	0.5000	0.1607
nuecc-t1e	numu	1.1	45	90	45	253	0.5000	0.1779
nuecc-t1e	numu	1.2	45	90	45	223	0.5000	0.2018
nuecc-t1e	numu	1.3	45	90	45	192	0.5000	0.2344
nuecc-t1e	numu	1.4	45	90	45	181	0.5000	0.2486
