sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
off-c1e	numu	-3.0			22	1000		0.02200
off-c1e	numu	-2.9			22	1000		0.02200
off-c1e	numu	-2.8			22	1000		0.02200
off-c1e	numu	-2.7			22	1000		0.02200
off-c1e	numu	-2.6			22	1000		0.02200
off-c1e	numu	-2.5			21	1000		0.02100
off-c1e	numu	-2.4			21	1000		0.02100
off-c1e	numu	-2.3			21	1000		0.02100
off-c1e	numu	-2.2			21	1000		0.02100
off-c1e	numu	-2.1			20	1000		0.02000
off-c1e	numu	-2.0			20	1000		0.02000
off-c1e	numu	-1.9			20	1000		0.02000
off-c1e	numu	-1.8			20	1000		0.02000
off-c1e	numu	-1.7			19	1000		0.01900
off-c1e	numu	-1.6			19	1000		0.01900
off-c1e	numu	-1.5			19	1000		0.01900
off-c1e	numu	-1.4			19	1000		0.01900
off-c1e	numu	-1.3			18	1000		0.01800
off-c1e	numu	-1.2			18	1000		0.01800
off-c1e	numu	-1.1			18	1000		0.01800
off-c1e	numu	-1.0			18	1000		0.01800
off-c1e	numu	-0.9			18	1000		0.01800
off-c1e	numu	-0.8			17	1000		0.01700
off-c1e	numu	-0.7			16	1000		0.01600
off-c1e	numu	-0.6			14	1000		0.01400
off-c1e	numu	-0.5			12	1000		0.01200
off-c1e	numu	-0.4			11	1000		0.01100
off-c1e	numu	-0.3			9	1000		0.00900
off-c1e	numu	-0.2			8	1000		0.00800
off-c1e	numu	-0.1			8	1000		0.00800
off-c1e	numu	0.0			8	1000		0.00800
off-c1e	numu	0.1			6	1000		0.00600
off-c1e	numu	0.2			6	1000		0.00600
off-c1e	numu	0.3			6	1000		0.00600
off-c1e	numu	0.4			6	1000		0.00600
off-c1e	numu	0.5			5	1000		0.00500
off-c1e	numu	0.6			5	1000		0.00500
off-c1e	numu	0.7			5	1000		0.00500
off-c1e	numu	0.8			5	1000		0.00500
off-c1e	numu	0.9			4	1000		0.00400
off-c1e	numu	1.0			4	1000		0.00400
off-c1e	numu	1.1			4	1000		0.00400
off-c1e	numu	1.2			4	1000		0.00400
off-c1e	numu	1.3			4	1000		0.00400
off-c1e	numu	1.4			4	1000		0.00400
off-c1e	numu	1.5			3	1000		0.00300
off-c1e	numu	1.6			3	1000		0.00300
off-c1e	numu	1.7			3	1000		0.00300
off-c1e	numu	1.8			3	1000		0.00300
off-c1e	numu	1.9			3	1000		0.00300
off-c1e	numu	2.0			3	1000		0.00300
off-c1e	numu	2.1			3	1000		0.00300
off-c1e	numu	2.2			3	1000		0.00300
