event	sample	entry	run	pass	rule	adopted	class	dt0_us	A_side	A_t_raw_us	A_prompt_pe	A_pre_pe	A_onset	B_side	B_t_raw_us	B_prompt_pe	B_pre_pe	B_onset	hit_level_split_expected
50801	mcp2k_p1	308	18255	unmatched_rescue			far-unmatched		1	-0.7305	110	4	1						yes
56463	mcp1k	599	18255	rescue	longer-half	far	within-8us-veto	4.561	1	-0.7339	20996	3	1	0	3.8271	5510	20	1	yes
56463	mcp1k	599	18255	unmatched_rescue			far-unmatched		1	-0.7339	20996	3	1						yes
59003	mcp1k	411	18255	rescue	beam-dominant	near	within-8us-veto	-2.328	1	1.2869	3946	147	1	0	-1.0411	91	7	0	yes
65053	mcp1k	439	18255	rescue	new-path-beam	near	far-flash->13us(geom-first)	580.839	0	-0.6597	1862	3	1	1	580.1793	0	0	0	n/a (outside the 8 us veto)
65289	mcp1k	548	18255	rescue	new-path-beam	near	within-8us-veto	-4.518	1	-0.7323	271	7	1	0	-5.2503	4734	3	1	yes
70128	mcp2k_p1	280	18255	rescue	new-path-beam	near	within-8us-veto	-0.358	1	-0.3805	825	4852	0	0	-0.7385	116	1	1	yes
70538	mcp2k_p1	862	18255	rescue	new-path-beam	near	same-time(no-light-loss)	0.002	1	1.3510	923	2	1	0	1.3530	249	5	1	n/a (both flashes exist)
72759	mcp2k_p1	460	18255	rescue	new-path-beam	near	8-13us	8.650	1	-0.7407	124	7	1	0	7.9093	140	2	1	n/a (outside the 8 us veto)
73324	mcp2k_p2	343	18255	rescue	longer-half	far	within-8us-veto	4.599	0	-0.7394	53	1	0	1	3.8596	530	15	1	yes
73727	mcp2k_p1	464	18255	rescue	new-path-beam	near	same-time(no-light-loss)	0.002	1	-0.7531	4668	4	1	0	-0.7511	393	2	1	n/a (both flashes exist)
78242	mcp2k_p1	697	18255	rescue	new-path-beam	near	far-flash->13us(geom-first)	855.317	1	-0.7408	3384	0	1	0	854.5762	0	0	0	n/a (outside the 8 us veto)
78369	mcp2k_p1	490	18255	rescue	longer-half	near	within-8us-veto	3.011	1	-0.7551	70	4	0	0	2.2559	23648	63	1	yes
79689	mcp2k_p1	496	18255	rescue	new-path-beam	near	same-time(no-light-loss)	0.003	1	-0.7458	246	5	1	0	-0.7428	1924	2	1	n/a (both flashes exist)
82608	mcp2k_p1	645	18255	rescue	beam-dominant	near	within-8us-veto	3.793	1	-0.7688	9	7	0	0	3.0242	13570	13	1	yes
99563	mcp2k_p2	924	18255	rescue	new-path-beam	near	same-time(no-light-loss)	0.011	1	-0.7448	403	3	1	0	-0.7338	16940	1	1	n/a (both flashes exist)
158601	mcp2k_p2	213	18259	rescue	longer-half	near	within-8us-veto	1.236	0	-0.7473	12	1	0	1	0.4887	7260	139	1	yes
161725	mcp2k_p2	228	18259	rescue	longer-half	near	within-8us-veto	-2.025	0	0.7464	119	78	0	1	-1.2786	13552	1	1	yes
164576	mcp2k_p2	51	18259	rescue	longer-half	near	8-13us	12.120	0	-0.7370	31	5	0	1	11.3830	6005	3	1	n/a (outside the 8 us veto)
169758	mcp1k	808	18259	rescue	new-path-beam	near	same-time(no-light-loss)	0.003	1	-0.7520	876	1	1	0	-0.7490	716	2	1	n/a (both flashes exist)
