sample	run	subrun	event	kind	class	numu_A	numu_B	Enu_base	Enu_hits	dvtx_cm	main_jacc	input_jacc	npts_in_A	npts_in_B	onlyA	onlyB	vias	mainlen_base	mainlen_hits	flash_base	flash_hits	dt01_base	dt01_hits	paired_base	paired_hits	vmoved_base	vmoved_hits	nt_base	nt_hits	vdef_base	vdef_hits	vtx_base	vtx_hits	pid_base	pid_hits	beamfl_base	beamfl_hits	bdt_changed
mcp1k	18255	1	59003	LOST	QL-main	3.1952	-999.0	820.7	0.0		0.0	0.0	3982	0	3982	0	main1,own3	298.4	0.0	1.5779/6351.8/tpc0			5	0	1	0		4		0		42.6,-15.5,210.2		mu712 e0 e1 e1		tpc0:1.578/6352/g10	tpc0:1.589/6467/g18;tpc1:1.584/9168/g18	
mcp1k	18255	1	59261	LOST	fragment	3.8452	0.1546	437.9	478.7	90.8	1.0	0.971	898	872	26	0	own2	94.5	94.5	0.8922/6468.3/tpc1	0.9017/6513.2/tpc1	10	10	1	1	0	0	4	8	0	0	43.8,184.3,216.9	99.7,126.1,175.3	mu235 p79 e2 e1 e2 e1 e3 e0	pi246 p75 e2 e1 e2 e1 e3 e0	tpc0:0.903/210/g12;tpc1:0.892/6468/g12	tpc0:0.912/189/g6;tpc1:0.902/6513/g6	cosmict_16,numu_cc_12,shw_sp_8,nu_3,numu_2,neutrino_1,sel_1
mcp1k	18255	1	59929	GAINED	fragment	-0.41	1.8964	460.1	566.8	3.3	1.0	0.996	1561	1554	7	0	own1	137.6	137.6	1.9320/13755.7/tpc1	1.9414/13826.5/tpc1	11		1	0	1	0	8	4	0	0	75.3,178.8,329.9	78.1,177.3,330.6	p99 mu331 e3 p3 e0 e2 e1 e1 e1 e1 e5 e3	mu331 e3 e1 e1 e1 e1 e5 p99 e7 e3	tpc0:1.944/221/g16;tpc1:1.932/13756/g16	tpc1:1.941/13826/g1000008	shw_sp_14,cosmict_12,numu_cc_10,nu_3,numu_2,neutrino_1,sel_1,vertex_1
mcp1k	18255	1	60933	LOST	PR-only	3.7494	0.8262	712.9	756.1	0.8	1.0	1.0	1617	1617	0	0		145.3	145.3	1.6934/15206.2/tpc0	1.7044/15262.9/tpc0	2	1	1	1	0	0	4	8	0	0	-68.7,25.4,276.5	-68.4,25.5,277.2	p84 mu344 p154 e1 e2 e2 e2 e1	p86 pi355 p150 e1 e2 e2 e2 e1	tpc0:1.693/15206/g3;tpc1:1.696/2588/g3	tpc0:1.704/15263/g7;tpc1:1.705/2770/g7	cosmict_13,numu_cc_10,nu_3,numu_2,neutrino_1,sel_1
mcp1k	18255	1	62459	LOST	fragment	3.3008	0.771	906.6	812.6	0.2	1.0	0.99	2419	2443	0	24	own2	197.1	197.1	0.7296/19423.1/tpc1	0.7339/19565.4/tpc1	554	28	0	1	0	0	4	4	0	0	65.6,197.2,405.0	65.5,197.4,405.0	mu462 pi77 p93 e16 e0 e1 e3	pi78 p92 p12 mu453 e16 e0 e1 e3	tpc0:1.284/1453/g9;tpc1:0.730/19423/g1000001	tpc0:0.761/85/g9;tpc0:1.292/1444/g10;tpc1:0.734/19565/g9	cosmict_28,shw_sp_14,numu_cc_11,numu_4,nu_3,sel_1
mcp1k	18255	1	65053	LOST	fragment	2.8771	-0.3145	512.7	608.6	9.6	1.0	0.984	1193	1212	0	19	own2	113.9	113.9	0.6432/20200.8/tpc0	0.6523/20240.5/tpc0	92	93	0	0	0	1	4	8	0	0	-143.9,45.7,300.1	-138.7,41.5,293.2	mu283 e13 e2 e3 e106	p71 pi19 e22 p42 mu283 e13 e1	tpc0:0.643/20201/g4;tpc1:0.735/2071/g1000004	tpc0:0.652/20241/g4;tpc1:0.745/2089/g1000004	ssm_223,shw_sp_162,cosmict_12,numu_cc_12,nu_3,numu_2,neutrino_1,sel_1,vertex_1
mcp1k	18255	1	65999	LOST	fragment	2.1029	-1.1383	275.6	147.6	27.4	1.0	0.95	466	472	9	15	own2	28.8	28.8	0.5840/16851.9/tpc0	0.5857/15865.5/tpc0	22	30	1	1	0	0	8	10	0	0	-175.2,-104.4,264.4	-201.3,-96.3,266.7	e88 pi49	e138 e10	tpc0:0.584/16852/g9;tpc1:0.606/253/g9	tpc0:0.586/15865/g11;tpc1:0.616/386/g11	shw_sp_161,br83,ssm_70,mip43,tro41,lol22,vis20,stw19,spt13,stem10,anc10,numu_cc_10,gap8,pio6,sig6,lem6,hol6,nu_3,mgt_3,cme3,mgo_2,cosmict_2,numu_2,neutrino_1,nue_1
mcp1k	18255	1	277298	LOST	fragment	1.2822	0.8943	686.9	555.5	5.5	1.0	0.995	1350	1343	7	0	own1	57.3	57.3	1.8540/21171.1/tpc0	1.8552/21157.5/tpc0	24	31	1	1	0	0	4	4	0	0	-167.7,-89.7,82.2	-169.7,-90.0,77.0	mu145 pi85 pi34 e18 e15 e0 e2 e1 e2	e34 mu156 pi99 e18 e2 mu1	tpc0:1.854/21171/g3;tpc1:1.878/199/g3	tpc0:1.855/21158/g6;tpc1:1.886/206/g6	shw_sp_161,numu_cc_11,cosmict_9,nu_3,numu_2,sel_1
mcp1k	18255	1	280884	GAINED	QL-main	-999.0	4.4002	0.0	675.3		0.0	0.0	0	3036	0	3036	main1,own3	0.0	147.4		1.3199/16793.1/tpc0		26	0	1		0		6		0		-132.6,75.2,428.6		mu347 pi17 mu60 e2 e3 e1		tpc0:1.320/16793/g9;tpc1:1.346/197/g9	
mcp1k	18255	1	281639	LOST	PR-only	1.3701	0.6019	437.3	436.7	0.0	1.0	1.0	1067	1067	0	0		32.7	32.7	0.7773/22140.5/tpc0	0.7807/22178.5/tpc0	23	30	1	1	1	1	8	8	0	0	-166.4,-66.8,293.0	-166.4,-66.8,293.0	e92 pi7 pi5 e39 e5 e5 e1 e2 e1 mu1	e92 pi6 pi5 e39 e5 e5 e1 e2 e1 mu1	tpc0:0.777/22140/g1;tpc1:0.800/335/g1	tpc0:0.781/22179/g8;tpc1:0.811/339/g8	shw_sp_70,ssm_59,mip31,br31,tro15,vis10,spt8,stem7,stw5,anc5,lol5,sig4,lem3,hol3,numu_cc_3,gap2,cme2,numu_2,sel_1,pio1,nue_1
mcp1k	18255	1	281808	GAINED	QL-main	-999.0	2.9613	0.0	556.7		0.0	0.0	0	2473	0	2473	main1,own3	0.0	186.0		0.8393/14217.5/tpc1		22	0	1		0		4		0		145.2,174.6,123.2		mu447 e2 p2 e1	tpc0:0.850/155/g11	tpc0:0.861/187/g6;tpc1:0.839/14217/g6	
mcp1k	18255	1	284211	GAINED	fragment	-0.5729	2.7857	204.2	639.3	21.4	1.0	0.979	1732	1695	37	0	own2	151.7	151.7	0.8410/35398.0/tpc0	0.8421/35617.8/tpc0	10	14	1	1	0	0	4	4	0	0	-173.9,29.3,468.4	-175.6,42.8,451.8	p180 e10 p2 e0 e2 e2	p182 mu337 p2 e0 e2 e2	tpc0:0.841/35398/g0;tpc1:0.851/181/g0	tpc0:0.842/35618/g5;tpc1:0.856/143/g5	cosmict_16,numu_cc_14,shw_sp_12,nu_3,numu_3,sel_1
