tag	events_fired	frac	work-mcp1k-prod0901	work-mcp2k-prod0901	work-ncpi0-prod0901	work-nuecc48-prod0901
pr55 do_rough_path:	1383	0.4509	444	872	19	48
pr93 detach_track_stem:	621	0.2025	189	384	17	31
pr125 satellite_absorb:	372	0.1213	105	205	17	45
pr123 pass4_prune:	96	0.0313	22	54	5	15
pr74 shower_in_cascade_guard:	86	0.0280	22	53	3	8
pr65 absorb_unreachable_main:	75	0.0245	15	30	4	26
pr124 pass4_prune2:	67	0.0218	19	35	4	9
pr138 shower_split:	60	0.0196	22	31	5	2
pr130 pass4_prox_guard:	41	0.0134	11	29	0	1
pr74 stem_backfill:	40	0.0130	12	13	3	12
pr74 conn3_unreachable:	28	0.0091	8	18	0	2
pr117 merge_relax:	18	0.0059	6	7	1	4
pr84 conn3_stitch:	17	0.0055	2	3	2	10
pr93 case_b_dqdx_guard:	15	0.0049	6	8	0	1
pr84 pf_id_collision:	12	0.0039	2	8	2	0
pr124 pass3_cone_guard:	10	0.0033	1	8	0	1
pr74 michel_stem_michel_check:	9	0.0029	0	0	2	7
pr130 pass3_backfill_guard:	7	0.0023	1	5	0	1
pr123 pass4_track_guard:	7	0.0023	0	7	0	0
pr120 stem_backfill_back_guard:	7	0.0023	3	3	1	0
pr93 cone_absorb_guard:	5	0.0016	0	5	0	0
pr93 accept_pid_guard:	3	0.0010	1	2	0	0
pr130 stem_backfill_back_dvtx:	3	0.0010	2	1	0	0
pr99 ghost_member:	1	0.0003	1	0	0	0
pr121 ex1_dedup_rehome:	1	0.0003	1	0	0	0
pr84 shower_dedup:	0	0.0000	0	0	0	0
pr67 remove_segment:	0	0.0000	0	0	0	0
pr67 init_first_segment:	0	0.0000	0	0	0	0
pr67 get_local_extension:	0	0.0000	0	0	0	0
pr67 fos:	0	0.0000	0	0	0	0
pr67 find_other_segments:	0	0.0000	0	0	0	0
pr67 examine_end_ps_vec:	0	0.0000	0	0	0	0
pr139 shower_split:	0	0.0000	0	0	0	0
pr125 samevtx_absorb:	0	0.0000	0	0	0	0
pr117 flank_absorb:	0	0.0000	0	0	0	0
