arm	evt	row	cid	segid	ke_mcs	amb	tracklen	ke_mcs_range	ke_range_tk	ke_dqdx_tk	sel_len	isfc	stm	tgm	lm	act_sel	cdrop	cmask	nseg14
work-mcp1k-mcs80on	166738	0	16	16001	412.3723449707031	0.2887320816516876	169.9275360107422	398.058837890625	403.6	415.4	171.1	1	0	0	0	1	2	3	12
work-mcp1k-mcs80on	166804	0	9	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	166870	0	10	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	167112	0	16	16001	145.12298583984375	0.6586328744888306	53.0875244140625	150.45179748535156	151.0	112.9	53.1	0	0	0	0	1	0	0	4
work-mcp1k-mcs80on	167684	0	10	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	168432	0	19	19031	218.06527709960938	0.31005585193634033	85.92405700683594	220.6193084716797	222.8	210.8	86.5	1	0	0	0	1	0	0	6
work-mcp1k-mcs80on	168526	0	19	19027	578.7518310546875	0.030797215178608894	243.6111297607422	559.4054565429688	565.5	562.6	244.6	1	0	0	0	1	0	0	17
work-mcp1k-mcs80on	168614	0	5	5002	518.0822143554688	0.7653018832206726	173.10482788085938	404.9499206542969	415.1	385.5	176.4	0	0	0	0	1	0	0	11
work-mcp1k-mcs80on	168658	0	12	12000	207.26171875	0.17931446433067322	90.9127426147461	231.13925170898438	232.6	241.2	91.2	1	0	0	0	1	0	0	6
work-mcp1k-mcs80on	169356	0	16	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	169488	0	8	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	169598	0	18	18002	210.07374572753906	0.30173230171203613	83.28802490234375	215.060546875	215.9	217.4	83.3	0	0	0	0	1	0	0	6
work-mcp1k-mcs80on	169620	0	13	13006	421.0206298828125	0.0367656871676445	182.2625732421875	425.011474609375	427.9	436.6	182.3	1	0	0	0	1	2	3	13
work-mcp1k-mcs80on	169626	0	22	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	169758	0	3	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	169774	0	2	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	169824	0	18	18006	450.77105712890625	0.18616223335266113	184.91246032714844	430.81646728515625	434.6	439.4	185.3	1	0	0	0	1	1	2	13
