sample	evt	shower_id	same_clus	shower_ke	mu_seg_id	mu_end_x	partner_kind	partner_key	partner_len	partner_ke	partner_x	mu_far_x	partner_far_x	gap_cm	angle_gap_deg	angle_tan_deg	gap2_cm
mcp1k	172794	20	0	533.1	20000	-4.36	bare	49004	68.6	-1.0	1.73	-82.14	21.46	13.6	40.5	38.1	13.6
mcp1k	289559	5	1	381.5	14007	-2.34	bare	14005	12.9	-1.0	1.99	38.84	-2.34	12.4	139.3	34.4	12.4
mcp1k	289559	5	1	381.5	14007	-2.34	bare	14011	5.4	-1.0	-5.65	38.84	-2.34	5.3	74.4	105.6	5.3
mcp1k	289559	5	1	381.5	14007	-2.34	bare	14011	5.4	-1.0	-2.34	38.84	-5.65	0.0	-1.0	74.4	0.0
mcp2k	347890	25	0	429.4	4000	4.95	shower	8007	8.0	64.9	-4.15	106.91	-7.24	14.3	15.4	6.2	14.3
mcp2k	347890	25	0	429.4	4000	4.95	shower	8007	0.6	64.9	-5.51	106.91	-6.05	21.2	11.8	79.4	21.2
mcp2k	392901	39	0	190.3	127030	2.10	shower	15010	8.0	106.1	-4.01	16.73	-5.41	17.8	19.7	14.0	17.8
mcp2k	407798	86	1	283.3	28020	-3.94	bare	28021	38.8	-1.0	-3.94	62.29	-18.41	0.0	-1.0	15.8	0.0
mcp2k	410680	24	0	30.1	19019	1.52	bare	11018	136.0	-1.0	-5.41	2.78	-80.82	11.4	27.9	21.1	11.4
mcp2k	410680	24	0	30.1	19019	2.78	bare	11018	136.0	-1.0	-5.41	1.52	-80.82	15.7	160.2	158.9	15.7
mcp2k	493659	0	0	112.3	29001	1.81	bare	20000	71.7	-1.0	-1.11	14.31	-68.12	4.1	25.2	41.9	4.1
mcp2k	67026	41	0	181.7	35011	1.63	bare	17001	257.9	-1.0	-1.12	33.11	-121.66	5.6	74.7	5.7	5.6
mcp2k	77978	30	0	388.2	53005	2.17	shower	48001	0.6	1.4	4.84	-7.54	4.46	11.1	26.8	158.4	11.1
mcp2k	77978	30	0	388.2	53005	2.17	shower	48001	0.6	1.4	4.46	-7.54	4.84	10.7	29.4	21.6	10.7
mcp2k	92159	18	0	421.5	4022	-3.61	shower	42020	0.9	14.7	4.10	-134.67	4.82	9.7	4.3	11.0	9.7
mcp2k	92159	18	0	421.5	4022	-3.61	shower	42020	0.9	14.7	4.82	-134.67	4.10	10.6	3.5	169.0	10.6
mcp2k	98470	25	0	269.3	11007	-4.42	shower	22014	1.7	25.3	-0.46	12.92	-1.80	14.5	171.1	69.6	14.5
mcp2k	98470	25	0	269.3	11007	-4.42	shower	22014	1.7	25.3	-1.80	12.92	-0.46	13.9	172.6	110.4	13.9
mcp2k	98470	25	0	269.3	11007	-4.42	shower	22014	4.5	25.3	-1.80	12.92	-4.72	13.9	172.6	41.3	13.9
mcp2k	98470	25	0	269.3	11007	-4.42	shower	22014	4.5	25.3	-4.72	12.92	-1.80	11.0	163.8	138.7	11.0
mcp2k	98470	25	0	269.3	11007	-4.42	shower	22014	4.5	25.3	-1.80	12.92	-1.84	13.9	172.6	26.1	13.9
mcp2k	98470	25	0	269.3	11007	-4.42	shower	22014	4.5	25.3	-1.84	12.92	-1.80	10.1	172.3	153.9	10.1
