sample	event	arm	segid	source	nseg	npoints	len_cm	ke_mcs	amb	tracklen_cm	ke_range_mcs	ke_range_toolkit	ke_dqdx_toolkit	nsegs14	bad_path	cathode_drop	cathode_mask	nseg_chain	len_chain	ke_range_chain	nseg_bridged	len_bridged
mcp1k	166738	work-d84r3-cens-mcp1k	16001	long_muon_else_pf	1	284	171.1	412.4	0.2887	169.9	398.1	403.6	415.4	12	false	2	3	0	0.0	-1.0	0	0
mcp1k	167112	work-d84r3-cens-mcp1k	16001	long_muon_else_pf	1	89	53.1	145.1	0.6586	53.1	150.5	151.0	112.9	4	false	0	0	0	0.0	-1.0	0	0
mcp1k	168432	work-d84r3-cens-mcp1k	19031	long_muon_else_pf	2	152	90.1	218.5	0.3152	85.8	220.5	230.4	222.0	6	false	0	0	2	90.1	230.4	0	0
mcp1k	168526	work-d84r3-cens-mcp1k	19027	long_muon_else_pf	2	571	341.1	748.0	0.008915	338.9	768.2	785.6	760.6	23	false	0	0	2	341.1	785.6	0	0
mcp1k	168614	work-d84r3-cens-mcp1k	5002	long_muon_else_pf	2	316	188.6	543.7	0.7236	185.0	431.0	441.8	404.5	12	false	0	0	2	188.6	441.8	0	0
mcp1k	168658	work-d84r3-cens-mcp1k	12000	long_muon_else_pf	1	153	91.2	207.3	0.1793	90.9	231.1	232.6	241.2	6	false	0	0	0	0.0	-1.0	0	0
mcp1k	169598	work-d84r3-cens-mcp1k	18002	long_muon_else_pf	1	140	83.3	210.1	0.3017	83.3	215.1	215.9	217.4	6	false	0	0	0	0.0	-1.0	0	0
mcp1k	169620	work-d84r3-cens-mcp1k	13006	long_muon_else_pf	1	304	182.3	421.0	0.03677	182.3	425.0	427.9	436.6	13	false	2	3	0	0.0	-1.0	0	0
mcp1k	169824	work-d84r3-cens-mcp1k	18006	long_muon_else_pf	1	308	185.3	450.8	0.1862	184.9	430.8	434.6	439.4	13	false	1	2	0	0.0	-1.0	0	0
mcp1k	169890	work-d84r3-cens-mcp1k	21002	long_muon_else_pf	2	262	155.8	3080.8	0.9645	155.0	366.6	370.5	353.7	10	false	0	0	2	155.8	370.5	0	0
mcp1k	170814	work-d84r3-cens-mcp1k	18012	long_muon_else_pf	1	89	52.9	128.1	0.3951	52.9	150.0	150.5	136.8	4	false	0	0	0	0.0	-1.0	0	0
mcp1k	171600	work-d84r3-cens-mcp1k	14000	long_muon_else_pf	1	593	355.2	889.9	0.2897	352.0	796.8	818.3	847.8	24	false	0	0	0	0.0	-1.0	0	0
mcp1k	172090	work-d84r3-cens-mcp1k	10002	long_muon_else_pf	1	507	303.8	637.1	0.009415	301.4	686.1	699.5	616.2	20	false	0	0	0	0.0	-1.0	0	0
mcp1k	172266	work-d84r3-cens-mcp1k	16007	long_muon_else_pf	1	190	113.7	502.0	0.7187	113.7	279.3	280.6	252.5	8	false	0	0	0	0.0	-1.0	0	0
mcp1k	172656	work-d84r3-cens-mcp1k	10003	long_muon_else_pf	1	425	255.8	602.2	0.111	255.5	585.4	590.6	571.6	18	false	2	3	0	0.0	-1.0	0	0
