# nuecc48 events NOT passing the MicroBooNE nue_score > 7.0; 17 of 48.  Round 1 could only ask this of the clamp ceiling (>= 4.30), a strict superset
bee_idx	sample	run	subrun	event	nu_evaluated	numu_score	nue_score	cosmict_flag	kine_reco_Enu_MeV	kine_energy_excluded_MeV	event_label
0	nuecc48	18342	1	30504	1	-0.9888835	-2.4965603	0.0	1197.7451	1.532194	nu-candidate
1	nuecc48	18304	1	38856	1	0.59681493	-0.2719045	0.0	1240.5883	274.36502	nu-candidate
2	nuecc48	18259	1	52672	1	-0.62284344	-10.28937	0.0	914.2605	4.692553	nu-candidate
3	nuecc48	18255	1	69314	1	3.9602425	-15.0	0.0	1496.9146	51.247173	nu-candidate
4	nuecc48	18259	1	111412	1	0.10343438	0.49182382	0.0	994.3753	171.6504	nu-candidate
5	nuecc48	18259	1	116962	1	1.4654753	-8.179392	0.0	739.1444	0.0	cosmic-tagged
6	nuecc48	18255	1	122660	1	-0.08162663	3.9100184	0.0	1376.1451	9.066094	nu-candidate
7	nuecc48	18264	1	137238	1	0.82452863	-15.0	0.0	749.0558	426.53305	nu-candidate
8	nuecc48	18255	1	138009	1	-0.44828352	5.831756	0.0	1381.3613	1.3964387	nu-candidate
9	nuecc48	18255	1	163543	1	0.33249018	1.5718127	0.0	1246.5151	3.4867973	nu-candidate
10	nuecc48	18255	1	196649	1	-1.0107433	4.2417903	0.0	1537.6411	1.0453968	nu-candidate
11	nuecc48	18255	1	235435	1	0.06465792	-15.0	0.0	415.18268	147.41434	nu-candidate
12	nuecc48	18255	1	271851	1	-0.24095096	5.549643	0.0	1476.2003	9.102179	nu-candidate
13	nuecc48	18255	1	389538	1	4.7597985	-15.0	0.0	981.2047	807.353	nu-candidate
14	nuecc48	18355	1	400474	1	-0.06853404	3.937575	0.0	1733.1586	0.48259994	nu-candidate
15	nuecc48	18253	1	444187	1	1.5660865	5.0433803	0.0	1261.2079	2.7913435	nu-candidate
16	nuecc48	18255	1	469665	1	-1.7141583	0.3608791	0.0	842.3607	0.5268945	nu-candidate
