sample	event	krow	obj	pdg	energy_MeV	info	included
nuecc48	81597	0	0	11	1362.8651123046875	2	1
nuecc48	81597	0	1	2212	139.332275390625	1	1
nuecc48	267597	0	0	2212	395.8680725097656	1	1
nuecc48	267597	0	1	11	1256.9918212890625	2	1
nuecc48	267597	0	2	11	3.175035238265991	2	1
nuecc48	267597	0	3	11	3.406968355178833	2	1
nuecc48	267597	0	4	11	8.213958740234375	2	1
nuecc48	267597	0	5	11	0.45674511790275574	2	3
nuecc48	267597	0	6	11	3.5281479358673096	2	3
nuecc48	267597	0	7	11	0.15433351695537567	2	3
nuecc48	267597	0	8	11	1.6711769104003906	2	3
nuecc48	267597	0	9	11	0.14587165415287018	2	3
nuecc48	267597	0	10	2212	2.8107213973999023	0	3
nuecc48	267597	0	11	11	2.022733211517334	2	3
nuecc48	267597	0	12	11	1.1606464385986328	2	3
nuecc48	267597	0	13	11	1.7981314659118652	2	3
nuecc48	267597	0	14	11	0.20617523789405823	2	3
nuecc48	267597	0	15	11	1.3563786745071411	2	3
nuecc48	267597	0	16	11	2.0575497150421143	2	3
nuecc48	267597	0	17	2212	89.84137725830078	1	3
mcp2k	290718	0	0	13	1138.74267578125	1	1
mcp2k	290718	0	1	11	2.1045119762420654	2	3
mcp2k	290718	0	2	2212	3.4990861415863037	0	3
mcp2k	94293	0	0	13	1067.572265625	1	1
mcp2k	94293	0	1	211	107.90331268310547	0	1
mcp2k	94293	0	2	13	37.30410385131836	1	1
mcp2k	94293	0	3	11	8.031172752380371	0	1
mcp2k	94293	0	4	11	32.2243537902832	2	1
mcp2k	94293	0	5	11	35.57065200805664	2	1
mcp2k	94293	0	6	2212	2.7510788440704346	0	1
mcp2k	94293	0	7	11	1.6269185543060303	2	3
mcp2k	94293	0	8	2212	3.1010024547576904	0	3
mcp2k	94293	0	9	11	1.5848933458328247	2	3
mcp2k	94293	0	10	11	1.1348299980163574	2	3
mcp2k	94293	0	11	11	0.9475998878479004	2	3
mcp2k	94293	0	12	11	3.392594337463379	2	3
mcp2k	94293	0	13	11	0.23939810693264008	2	3
mcp2k	94293	0	14	11	1.5099323987960815	2	3
mcp2k	283591	0	0	13	621.2503051757812	1	1
mcp2k	283591	0	1	2212	100.62578582763672	1	1
mcp1k	313979	0	0	13	607.2051391601562	1	1
mcp1k	313979	0	1	2212	197.53965759277344	1	1
mcp2k	99838	0	0	2212	76.38549041748047	1	1
mcp2k	99838	0	1	13	1046.5242919921875	1	1
mcp2k	99838	0	2	11	103.59728240966797	2	1
mcp2k	99838	0	3	11	125.2723159790039	2	1
mcp2k	99838	0	4	11	41.48439407348633	2	1
mcp2k	99838	0	5	11	0.0915345773100853	2	1
mcp2k	242726	0	0	13	394.0913391113281	1	1
mcp2k	242726	0	1	2212	355.2413330078125	1	1
mcp2k	242726	0	2	11	64.58181762695312	2	1
mcp2k	242726	0	3	11	110.60187530517578	2	1
mcp2k	242726	0	4	11	1.1710606813430786	2	3
mcp2k	242726	0	5	11	1.591862678527832	2	3
mcp2k	242726	0	6	11	0.9993733763694763	2	3
mcp2k	242726	0	7	2212	3.132387638092041	0	3
mcp2k	57709	0	0	2212	420.5087890625	1	1
mcp2k	57709	0	1	11	185.77175903320312	2	1
mcp2k	57709	0	2	11	93.82630157470703	2	1
mcp2k	57709	0	3	11	27.024795532226562	2	1
mcp2k	57709	0	4	11	0.620292603969574	2	1
mcp2k	57709	0	5	11	8.984041213989258	2	1
mcp2k	57709	0	6	11	0.8675365447998047	2	3
mcp2k	57709	0	7	11	0.3351772427558899	2	3
mcp2k	57709	0	8	11	3.3024349212646484	2	3
mcp2k	57709	0	9	11	4.338128089904785	2	3
mcp2k	176986	0	0	2212	9.792229652404785	0	1
mcp2k	176986	0	1	11	114.41264343261719	2	1
mcp2k	176986	0	2	11	168.1211395263672	2	1
mcp2k	176986	0	3	11	48.439151763916016	2	1
mcp2k	176986	0	4	11	1.2867711782455444	2	3
mcp2k	176986	0	5	2212	1.547785758972168	0	3
ncpi0	180801	0	0	211	129.81109619140625	1	1
ncpi0	180801	0	1	211	74.0614242553711	1	1
ncpi0	180801	0	2	11	162.03677368164062	2	1
ncpi0	180801	0	3	11	292.5599060058594	2	1
ncpi0	180801	0	4	11	10.288065910339355	1	1
ncpi0	180801	0	5	11	61.63421630859375	2	1
ncpi0	180801	0	6	11	1.3722292184829712	2	1
ncpi0	180801	0	7	11	9.663860321044922	2	1
ncpi0	180801	0	8	11	164.14639282226562	2	1
ncpi0	180801	0	9	11	5.337996959686279	2	1
ncpi0	180801	0	10	11	96.15118408203125	2	1
ncpi0	180801	0	11	11	9.897971153259277	2	3
ncpi0	180801	0	12	11	4.015115261077881	2	3
ncpi0	180801	0	13	11	2.8875532150268555	2	3
ncpi0	180801	0	14	11	2.627443552017212	2	3
ncpi0	180801	0	15	2212	3.7745871543884277	0	3
ncpi0	180801	0	16	2212	3.374574899673462	0	3
ncpi0	180801	0	17	11	0.9103282690048218	2	3
ncpi0	180801	0	18	11	11.418035507202148	2	3
ncpi0	180801	0	19	2212	4.328901290893555	0	3
mcp2k	180698	0	0	13	617.9732666015625	1	1
mcp2k	180698	0	1	11	8.342354774475098	2	3
mcp2k	99563	0	0	13	1159.091552734375	1	1
mcp2k	99563	0	1	11	10.313802719116211	2	1
mcp2k	99563	0	2	11	14.821732521057129	2	1
mcp2k	99563	0	3	11	0.7505510449409485	2	1
mcp2k	99563	0	4	11	8.057491302490234	2	1
mcp2k	99563	0	5	11	13.593722343444824	2	3
mcp2k	99563	0	6	2212	4.533905029296875	0	3
mcp2k	99563	0	7	11	22.026813507080078	2	3
mcp2k	99563	0	8	2212	4.351447582244873	0	3
mcp2k	99563	0	9	2212	2.2880542278289795	0	1
mcp2k	99563	0	10	13	0.6421213150024414	0	3
mcp1k	487303	0	0	13	298.4698791503906	1	1
mcp1k	487303	0	1	2212	84.49422454833984	1	1
mcp1k	487303	0	2	11	1.2486990690231323	2	3
mcp1k	487303	0	3	11	1.8082774877548218	2	3
mcp1k	487303	0	4	11	1.3619558811187744	2	3
mcp1k	487303	0	5	11	1.2350590229034424	2	3
mcp1k	487303	1	0	2212	161.5068359375	1	1
mcp1k	487303	1	1	11	99.10372161865234	2	1
mcp1k	487303	1	2	2212	1.8716826438903809	0	3
mcp1k	487303	1	3	11	2.2439687252044678	2	3
mcp2k	174661	0	0	13	304.4294738769531	1	1
mcp2k	174661	0	1	2212	200.62478637695312	1	1
mcp2k	174661	1	0	13	335.0688781738281	1	1
mcp2k	174661	1	1	11	4.128533840179443	2	1
mcp2k	174661	1	2	11	1.0363937616348267	2	3
mcp2k	174661	1	3	11	0.9424133896827698	2	3
mcp2k	174661	1	4	11	1.0843933820724487	2	3
mcp2k	174661	1	5	11	1.3223761320114136	2	3
mcp2k	174661	1	6	11	4.074822902679443	2	3
mcp2k	174661	1	7	11	2.4608564376831055	2	3
mcp2k	174661	1	8	11	1.0895661115646362	2	3
nuecc48	389538	0	0	13	388.18572998046875	1	1
nuecc48	389538	0	1	2212	69.69978332519531	1	1
nuecc48	389538	0	2	211	142.52670288085938	1	1
nuecc48	389538	0	3	11	23.27838706970215	2	1
nuecc48	389538	0	4	11	8.433024406433105	2	1
nuecc48	389538	0	5	11	17.79244613647461	2	1
nuecc48	389538	0	6	11	43.62406921386719	2	1
nuecc48	389538	0	7	11	2.605147123336792	2	3
nuecc48	389538	0	8	11	2.5584373474121094	2	3
nuecc48	389538	0	9	11	1.539270043373108	2	3
nuecc48	389538	0	10	2212	4.544497489929199	0	3
nuecc48	389538	0	11	11	1.8417773246765137	2	3
nuecc48	389538	0	12	11	4.894498348236084	2	3
nuecc48	389538	0	13	2212	1.1219793558120728	0	3
nuecc48	389538	0	14	11	2.376330852508545	2	3
nuecc48	389538	0	15	11	4.707592487335205	2	3
nuecc48	389538	0	16	11	2.8684070110321045	2	3
nuecc48	389538	0	17	13	4.777847766876221	0	3
mcp2k	67868	0	0	2212	21.427350997924805	0	1
mcp2k	67868	0	1	2212	81.5859146118164	1	1
mcp2k	67868	0	2	2212	70.12635040283203	1	1
mcp2k	67868	0	3	13	261.8774719238281	1	1
mcp2k	67868	0	4	2212	297.6785583496094	1	1
mcp2k	67868	0	5	11	32.631282806396484	2	1
mcp2k	67868	0	6	11	0.13742506504058838	2	3
mcp2k	67868	0	7	11	1.0284496545791626	2	3
mcp2k	67868	0	8	11	1.2372053861618042	2	3
mcp2k	67868	0	9	11	1.8246608972549438	2	3
mcp2k	67868	0	10	2212	9.62176513671875	0	3
mcp2k	67868	0	11	2212	1.3915096521377563	0	3
nuecc48	69314	0	0	13	362.1710205078125	0	1
nuecc48	69314	0	1	2212	252.42445373535156	1	1
nuecc48	69314	0	2	211	128.24652099609375	1	1
nuecc48	69314	0	3	2212	227.96096801757812	1	1
nuecc48	69314	0	4	0	0.0	0	1
nuecc48	69314	0	5	11	62.61981201171875	1	1
nuecc48	69314	0	6	11	0.0	0	1
nuecc48	69314	0	7	11	8.079261779785156	0	1
nuecc48	69314	0	8	11	0.0	0	1
nuecc48	69314	0	9	11	12.825693130493164	0	1
nuecc48	69314	0	10	11	0.0	0	1
nuecc48	69314	0	11	11	9.491462707519531	0	1
nuecc48	69314	0	12	11	4.878306865692139	0	1
nuecc48	69314	0	13	11	17.228261947631836	0	1
nuecc48	69314	0	14	0	0.0	0	1
nuecc48	69314	0	15	11	6.614523887634277	0	1
nuecc48	69314	0	16	11	2.793654203414917	0	1
nuecc48	69314	0	17	11	3.4511327743530273	0	1
nuecc48	69314	0	18	11	12.178171157836914	0	1
nuecc48	69314	0	19	11	5.334715843200684	0	1
nuecc48	69314	0	20	11	71.14677429199219	2	1
nuecc48	69314	0	21	11	21.935688018798828	2	1
nuecc48	69314	0	22	11	0.6185106635093689	2	1
nuecc48	69314	0	23	11	4.314979553222656	2	1
nuecc48	69314	0	24	11	1.8423670530319214	2	3
nuecc48	69314	0	25	11	1.8510966300964355	2	3
nuecc48	69314	0	26	11	1.0955394506454468	2	3
nuecc48	69314	0	27	11	0.8975915312767029	2	3
nuecc48	69314	0	28	11	1.0415772199630737	2	3
nuecc48	69314	0	29	11	2.021320104598999	2	3
nuecc48	69314	0	30	11	3.137058973312378	2	3
nuecc48	69314	0	31	11	0.6405391097068787	2	3
nuecc48	69314	0	32	11	0.21923598647117615	2	3
nuecc48	69314	0	33	11	0.8410131931304932	2	3
nuecc48	69314	0	34	11	1.5438032150268555	2	3
nuecc48	69314	0	35	11	3.4365406036376953	2	3
nuecc48	69314	0	36	11	1.6040318012237549	2	3
nuecc48	138009	0	0	2212	222.99807739257812	1	1
nuecc48	138009	0	1	2212	6.824064254760742	0	1
nuecc48	138009	0	2	11	1127.0657958984375	2	1
nuecc48	138009	0	3	2212	4.396561622619629	0	3
nuecc48	138009	0	4	2212	2.87680721282959	0	3
nuecc48	271851	0	0	11	1211.2193603515625	2	1
nuecc48	271851	0	1	11	1.4256410598754883	2	3
nuecc48	271851	0	2	11	0.9697720408439636	2	3
nuecc48	271851	0	3	13	156.9272918701172	1	1
mcp2k	179054	0	0	2212	496.1883544921875	1	1
mcp2k	179054	0	1	211	185.74827575683594	0	1
mcp2k	179054	0	2	11	23.24449348449707	1	1
mcp2k	179054	0	3	13	205.47195434570312	1	1
mcp2k	179054	0	4	11	0.5913865566253662	2	1
mcp2k	179054	0	5	11	0.9703596830368042	2	3
mcp2k	179054	0	6	2212	3.58876895904541	0	3
mcp2k	179054	0	7	11	1.3321514129638672	2	3
