# doc 99 round 2 -- per-event T_cluster flash resolution, 308-event manifest.
# Classes from scripts/analysis/d99_tcluster_flash_check.py, against the
# within-file identity flash_time_us == cluster_t0_us.  Never-matched clusters
# (the cluster_t0 = -1e9 us sentinel, QLMatching.cxx:1351) are excluded, so the
# three CORRECT+WRONG+MISSING sums are the same 20156-row denominator.
# Totals: off 10219/9779/158 = 50.7%; read 20156/0/0 and write 20156/0/0 = 100.0%.
sample	event	off_correct	off_wrong	off_missing	rd_correct	rd_wrong	rd_missing	wr_correct	wr_wrong	wr_missing
mcp1k	48301	24	12	0	36	0	0	36	0	0
mcp1k	48367	51	32	0	83	0	0	83	0	0
mcp1k	48565	21	15	0	36	0	0	36	0	0
mcp1k	48895	33	19	0	52	0	0	52	0	0
mcp1k	49445	42	20	0	62	0	0	62	0	0
mcp1k	49467	17	37	1	55	0	0	55	0	0
mcp1k	49511	23	13	1	37	0	0	37	0	0
mcp1k	49709	32	11	0	43	0	0	43	0	0
mcp1k	49885	17	28	0	45	0	0	45	0	0
mcp1k	49951	21	19	0	40	0	0	40	0	0
mcp1k	50017	32	32	0	64	0	0	64	0	0
mcp1k	50303	21	43	3	67	0	0	67	0	0
mcp1k	50523	19	29	1	49	0	0	49	0	0
mcp1k	50743	26	33	5	64	0	0	64	0	0
mcp1k	50765	37	12	0	49	0	0	49	0	0
mcp1k	50787	18	14	0	32	0	0	32	0	0
mcp1k	50809	34	28	0	62	0	0	62	0	0
mcp1k	50831	29	32	0	61	0	0	61	0	0
mcp1k	50919	26	19	0	45	0	0	45	0	0
mcp1k	51051	60	35	0	95	0	0	95	0	0
mcp1k	51469	45	28	0	73	0	0	73	0	0
mcp1k	51513	10	48	0	58	0	0	58	0	0
mcp1k	51865	20	24	10	54	0	0	54	0	0
mcp1k	52085	41	13	0	54	0	0	54	0	0
mcp1k	52195	39	12	0	51	0	0	51	0	0
mcp1k	52613	46	18	0	64	0	0	64	0	0
mcp1k	52657	48	28	0	76	0	0	76	0	0
mcp1k	52723	17	14	0	31	0	0	31	0	0
mcp1k	53361	31	47	0	78	0	0	78	0	0
mcp1k	53427	20	22	0	42	0	0	42	0	0
mcp1k	53493	32	18	0	50	0	0	50	0	0
mcp1k	53581	11	18	2	31	0	0	31	0	0
mcp1k	53713	45	31	0	76	0	0	76	0	0
mcp1k	53779	40	20	0	60	0	0	60	0	0
mcp1k	53955	57	20	0	77	0	0	77	0	0
mcp1k	54175	37	32	0	69	0	0	69	0	0
mcp1k	54209	21	18	0	39	0	0	39	0	0
mcp1k	54285	13	27	0	40	0	0	40	0	0
mcp1k	54341	20	87	0	107	0	0	107	0	0
mcp1k	54351	35	24	0	59	0	0	59	0	0
mcp1k	54505	14	33	1	48	0	0	48	0	0
mcp1k	54527	38	10	0	48	0	0	48	0	0
mcp1k	55231	35	29	0	64	0	0	64	0	0
mcp1k	55539	11	30	0	41	0	0	41	0	0
mcp1k	55583	28	3	0	31	0	0	31	0	0
mcp1k	55595	25	13	0	38	0	0	38	0	0
mcp1k	55627	59	19	0	78	0	0	78	0	0
mcp1k	55693	17	25	0	42	0	0	42	0	0
mcp1k	55715	43	14	1	58	0	0	58	0	0
mcp1k	55925	29	12	0	41	0	0	41	0	0
mcp1k	55957	40	21	0	61	0	0	61	0	0
mcp1k	56211	40	59	2	101	0	0	101	0	0
mcp1k	56243	17	54	0	71	0	0	71	0	0
mcp1k	56299	24	13	1	38	0	0	38	0	0
mcp1k	56353	23	16	1	40	0	0	40	0	0
mcp1k	56387	6	59	0	65	0	0	65	0	0
mcp1k	56463	38	80	0	118	0	0	118	0	0
mcp1k	56519	22	17	1	40	0	0	40	0	0
mcp1k	57245	27	21	0	48	0	0	48	0	0
mcp1k	57311	28	17	0	45	0	0	45	0	0
mcp1k	57333	26	11	0	37	0	0	37	0	0
mcp1k	57355	17	42	0	59	0	0	59	0	0
mcp1k	57441	37	23	0	60	0	0	60	0	0
mcp1k	57485	23	17	2	42	0	0	42	0	0
mcp1k	57487	29	38	3	70	0	0	70	0	0
mcp1k	57575	20	49	2	71	0	0	71	0	0
mcp1k	57661	76	28	2	106	0	0	106	0	0
mcp1k	57883	31	33	0	64	0	0	64	0	0
mcp1k	57903	22	48	0	70	0	0	70	0	0
mcp1k	57949	58	25	0	83	0	0	83	0	0
mcp1k	58169	20	29	0	49	0	0	49	0	0
mcp1k	58211	10	18	0	28	0	0	28	0	0
mcp1k	58255	33	33	0	66	0	0	66	0	0
mcp1k	58321	23	33	0	56	0	0	56	0	0
mcp1k	58343	21	21	2	44	0	0	44	0	0
mcp1k	58345	16	11	0	27	0	0	27	0	0
mcp1k	58433	13	16	0	29	0	0	29	0	0
mcp1k	58519	26	19	0	45	0	0	45	0	0
mcp1k	58543	21	37	0	58	0	0	58	0	0
mcp1k	58607	39	37	2	78	0	0	78	0	0
mcp1k	58653	28	57	0	85	0	0	85	0	0
mcp1k	58667	10	32	1	43	0	0	43	0	0
mcp1k	58711	15	26	0	41	0	0	41	0	0
mcp1k	58717	36	48	0	84	0	0	84	0	0
mcp1k	58755	82	19	0	101	0	0	101	0	0
mcp1k	58777	22	20	0	42	0	0	42	0	0
mcp1k	58821	17	41	2	60	0	0	60	0	0
mcp1k	58997	30	17	0	47	0	0	47	0	0
mcp1k	59003	46	12	0	58	0	0	58	0	0
mcp1k	59019	39	30	2	71	0	0	71	0	0
mcp1k	59025	19	20	2	41	0	0	41	0	0
mcp1k	59047	2	30	0	32	0	0	32	0	0
mcp1k	59063	28	16	0	44	0	0	44	0	0
mcp1k	59069	9	49	0	58	0	0	58	0	0
mcp1k	59085	22	62	0	84	0	0	84	0	0
mcp1k	59093	36	18	0	54	0	0	54	0	0
mcp1k	59179	22	19	0	41	0	0	41	0	0
