evt	cid	grp	npts	qfrac	plen	prms	maxd	dvtx	seg	ang	cls	sev	flag	f_m	f_em	f_trk	own_pdg	d_had	hadseg	d_a5	d_sec	xcd	xcn	hit54	a5	cen
166738	16	0	1	2.364122956440304e-05	0.0	0.0	3.052171812005348	34.04745225784155	16004	66.40469392515372	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	87.7	0			38.5,56.8,206.8
166870	10	0	214	0.05432155436309225	12.882147602012575	0.5564117497714228	6.301869643209071	9.527265819740721	10074	22.619257535855322	NEARVTX	1	1	0.85	0.12	1.0	211:112;2212:48;11:22	3.0	10074	-1.0	3.9	26.4	0			-142.8,157.0,147.7
166870	10	1	22	0.007391050754479917	5.2367427945906435	0.18375962868583812	3.876368661518149	3.4435285681986008	10075	6.203898952794884	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	17.0	0			-140.5,143.0,141.9
166870	10	3	22	0.0019921880639743343	2.9975011538461795	0.2231833729921831	4.761076138857672	21.357140749641545	10003	60.18407517718165	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	36.6	0			-137.1,153.4,156.7
166870	10	2	1	0.0007164521193976228	0.0	0.0	3.001030656291263	4.480331349353524	10075	86.23318197775244	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	21.1	0			-141.7,148.2,138.1
167112	16	1	25	0.03395939027336943	5.426787331561629	0.21818163780257802	4.3734785926079365	4.385207520745176	16008	72.47947546017261	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	30.3	0	pr54drop(cid16,npts11,4.7cm,d0.3)		-106.7,173.3,227.0
167112	16	0	6	0.0036717949538141044	1.374850739860033	0.17902699585995718	3.91356078271439	4.836468236223617	16008	59.47120961056218	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	35.5	0			-109.2,175.1,228.7
167684	10	0	7	0.006625750533839899	1.2139502052542022	0.10022844183522293	3.664191703500234	11.783234234810084	10000	39.61196825153227	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	40.0	0		a5(seg10000,d3.2,g1.06,b0.64,v0)	14.3,-175.5,249.5
168432	19	0	41	0.04347870023680961	5.247403536022676	0.18178324427555773	4.621585334060163	3.388833315464158	19033	3.237412071406055	NEARVTX	1	1	1.0	0.12	1.0	211:36;11:5	3.1	19033	-1.0	24.4	31.1	0			-97.2,-186.5,445.9
168432	19	1	24	0.014946508062607495	5.868680935791407	0.2920641874059293	4.818218227726909	7.930956698910929	19032	2.4212552628107598	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	36.5	0			-96.6,-173.0,446.6
168432	19	2	1	3.5076628212945505e-05	0.0	0.0	3.1576390800723177	62.794235283503546	19032	77.25374317173342	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	76.1	0			-86.7,-123.7,467.0
168526	19	2	429	0.07367987613840364	23.925518146585574	1.3062929175524884	10.27291141789902	5.943622064869198	19024	0.8477816557142192	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	8.5	0			-156.4,-97.5,55.0
168526	19	0	45	0.010914247269105297	7.207347816928438	0.6039525309379982	5.070544764618501	29.20627132672022	19023	10.82635932424544	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	5.1	0			-156.6,-108.7,70.6
168526	19	3	43	0.012126289165897697	4.934607089445702	0.2182431719598291	4.888221930313731	28.33132068224141	19013	73.82358688042736	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	1.9	43			-155.5,-113.4,65.9
168526	19	1	23	0.004157132709972599	6.92252711131299	0.17939879341905865	3.6556371387215147	15.869875166490756	19025	4.195084076286266	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	4.1	7			-156.4,-108.8,55.8
168526	19	8	22	0.0014452462282013392	2.240396506719395	0.10300459211640563	5.351360538218291	328.6212873433795	19032	39.49958182348431	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	46.9	0			-65.4,136.4,250.5
168526	19	7	5	0.00011273061800018	2.2887889347872825	0.06384863453786171	3.543648543521193	209.22075034312442	19027	15.50850446527216	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	109.2	0			-111.2,43.7,186.9
168526	19	4	1	5.638105953842008e-05	0.0	0.0	3.1959952503093874	178.07115247703655	19027	76.72001833397941	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	118.1	0			-117.1,24.3,161.2
168526	19	5	1	4.662863467692795e-05	0.0	0.0	3.508494406437058	201.44949930940507	19027	79.60790495739504	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	119.4	0			-113.3,42.0,176.2
168526	19	6	1	2.4856009200979992e-05	0.0	0.0	3.3498658182082486	202.17811124120234	19027	79.59888628589336	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	112.8	0			-113.0,37.5,181.6
168614	5	1	1089	0.2549955113954978	37.20435484275672	2.3983482172734374	20.632568671883792	5.956159413581874	5002	12.442515461206204	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	60.3	0			107.6,92.3,245.7
168614	5	19	630	0.12327020740081364	52.64116356466582	2.1334537701263043	20.888412792742304	90.64697683458616	5002	1.436392533340964	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	84.7	0			105.8,160.5,307.3
168614	5	10	304	0.058439565089863296	55.0949211425995	1.6285242438921856	15.073648695654308	80.56789100659144	5002	6.80689420623048	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	91.6	0			106.2,147.5,318.8
168614	5	22	237	0.04852743427635222	34.76388140288418	1.8331977918844353	17.23114531886959	136.58548660179824	5002	7.899939095752088	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	105.1	0			105.4,175.7,341.4
168614	5	3	129	0.029531409469130084	23.883099616626403	1.7210906953067187	16.23094289466878	42.74551135791921	5002	8.515856344595653	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	64.6	0			107.2,111.2,266.9
168614	5	5	89	0.018062110959501398	17.137157967778663	1.1563221967343817	12.487531821781253	47.28371099014967	5002	10.007074604805045	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	84.4	0			107.3,101.8,279.2
168614	5	32	33	0.005594333738426493	9.350896500914821	0.7767438986833181	12.717798079856472	142.8600133636071	5002	40.69132289862519	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	102.8	0			105.3,184.9,325.9
168614	5	25	26	0.004095200462600921	7.973325469008552	0.3849801787943483	5.739322346758382	120.59405638027938	5002	9.025391345802298	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	99.2	0			105.4,162.4,316.1
168614	5	4	21	0.005002596627116335	11.218991806419558	0.46932338328663437	14.356355596041798	65.04946325873871	5002	83.39774360840141	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	86.8	0			107.2,110.3,287.2
168614	5	13	19	0.003479427290759597	6.989136778429854	0.4005240553077651	9.276023878796307	77.69674480472138	5002	46.89227195035982	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	81.4	0			106.5,131.2,285.0
168614	5	11	18	0.004600159420515159	10.361869999020191	0.784457298882509	13.813984001728116	74.22677675374298	5002	80.61479348081538	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	89.8	0			106.9,118.7,293.1
168614	5	12	18	0.004462516080477243	11.605658844594284	0.5151987112434866	14.795115207391914	70.59716378332774	5002	79.5933260816233	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	88.6	0			107.0,113.9,290.8
