run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	57883	1.9417249	2.3450286						
18255	1	281837	1.1442345	0.76184916			1048.7305	1396.949	0.0	1.0885889579634656
18255	1	284794	-1.2791044	3.3015637			198.14061	884.06964		
18255	1	287517	2.9858568	3.0595348			685.0007	702.71765		
18255	1	292533	2.474131	4.301008			1254.6826	1120.4381		
18255	1	313781	-2.8069446	-3.1673007						
18255	1	315167	2.642466	2.8047507			1571.832	1425.9111		
18255	1	316025	2.39714	2.9184341			831.3926	839.1819		
18255	1	316729	1.7799388	3.9586263			702.73944	682.3154		
18255	1	349945	3.9524539	4.0449777	-4.300936	-15.0	1080.9875	994.762		
18255	1	390182	1.4415891	0.8386352			814.5346	1312.2502		
18255	1	400856	2.45183	3.8074286			459.9875	443.7115		
