evt	arm	nJ	dM	dJ	sM	sJ	degJ	tier	snap	path	rms	verdict
166738	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
166804	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.0357120669548125	None	-
166870	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	2.650754298654816	None	-
167112	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
167684	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	3.6626298150089043	None	-
168432	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
168526	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
168614	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
168658	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
169356	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
169488	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.9895495149067761	None	-
169598	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
169620	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
169626	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
169774	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
169824	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
169846	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.9415898332480884	None	-
169890	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
170792	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
170808	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
170814	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
170880	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	2.183734127994239	None	-
170924	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
171358	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
171600	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
171892	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.3936245881201623	None	-
172090	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
172266	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	2.725022598783873	None	-
172656	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
172788	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	2.6173257429791663	None	-
172794	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
172832	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
172942	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
173058	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
173146	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	1.981755370513391	None	-
173234	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
173498	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
174114	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
174224	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
174422	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
174576	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
174752	work-pr104-bare-mcp1k	2	nan	nan	0	0	1	None	0	3.6598957720209078	None	-
174928	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
175016	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	4.63701036231994	None	-
175808	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	1.6386617133716637	None	-
175896	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
276836	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
277276	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
277298	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	2.3839971770428185	None	-
278046	work-pr104-bare-mcp1k	1	nan	nan	3	0	1	None	0	2.426543062044882	None	-
278266	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
278420	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
278640	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
278684	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
