event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
276836	224.782	0.00	224.78	ADVERSE	0.00	=	4.05->0.84	=
172788	182.105	280.02	99.02	toward	280.02	=	0.88->0.53	1.0->0.0
410008	174.240	174.24	0.48	toward	174.24	=	-0.72->0.62	=
348713	90.216	90.22	0.00	toward	90.22	=	2.71->-1.84	=
390864	80.717	173.80	93.11	toward	173.80	=	-0.82->1.57	1.0->0.0
59335	66.005	0.00	66.00	ADVERSE	0.00	=	0.98->1.83	0.0->1.0
48367	56.880	56.88	0.00	toward	56.88	=	0.62->2.31	=
282231	50.736	50.74	0.00	toward	50.74	=	-0.47->-0.15	=
284235	40.857	40.86	0.00	toward	40.86	=	-0.21->-1.67	0.0->1.0
286681	40.798	68.60	33.92	toward	68.60	=	0.79->2.67	=
281485	36.902	37.58	4.04	toward	37.58	-4.30->-15.00	0.59->-0.94	=
279256	30.335	0.00	30.34	ADVERSE	0.00	=	3.61->2.22	=
62281	29.054	0.00	29.05	ADVERSE	0.00	-4.30->-15.00	3.74->3.33	=
315013	11.197	11.20	0.00	toward	11.20	=	2.04->0.68	0.0->1.0
315343	10.799	10.89	0.45	toward	10.89	=	-1.00->-0.65	=
66272	10.171	12.72	2.88	toward	12.72	=	-1.70->-0.55	=
411460	9.558	12.19	2.71	toward	12.19	=	0.14->-1.35	=
284013	8.630	0.00	8.63	ADVERSE	0.00	-15.00->-4.30	2.27->2.92	=
175808	8.527	1.62	10.03	ADVERSE	1.62	=	4.18->-0.87	=
281639	8.304	8.30	0.00	toward	8.30	-4.30->-15.00	-0.79->-1.47	=
282385	8.100	7.81	0.29	toward	7.81	=	3.70->4.19	=
283463	6.972	2.02	8.17	ADVERSE	2.02	=	-0.46->-2.08	=
59899	6.959	7.27	0.37	toward	7.27	=	-1.70->-2.13	=
400856	5.990	0.00	5.99	ADVERSE	0.00	=	3.81->1.58	=
316729	5.656	0.00	5.66	ADVERSE	0.00	=	3.96->3.73	=
282057	5.388	0.00	5.39	ADVERSE	0.00	=	2.37->0.52	=
487853	5.192	0.00	5.19	ADVERSE	0.00	=	-1.59->-0.45	=
402880	5.177	0.00	5.18	ADVERSE	0.00	=	-0.92->-0.58	=
284145	5.128	0.00	5.13	ADVERSE	0.00	=	2.74->3.34	=
491483	4.537	0.00	4.54	ADVERSE	0.00	=	-1.81->-0.49	=
283595	4.222	4.32	0.19	toward	4.32	=	-2.06->1.02	=
166870	3.846	2.59	4.81	ADVERSE	2.59	=	-0.54->0.21	=
278046	3.705	14.51	11.00	toward	14.51	=	-0.30->-0.83	=
345633	3.469	3.69	0.28	toward	3.69	=	0.52->3.22	=
280752	3.356	3.42	0.08	toward	3.42	=	-3.40->0.04	=
63359	3.287	0.00	3.29	ADVERSE	0.00	=	-0.05->-2.18	=
349087	2.764	2.70	0.08	toward	2.70	=	-1.58->-2.68	=
313781	2.679	40.94	43.43	ADVERSE	40.94	=	-3.17->-2.80	=
281837	2.623	3.08	0.55	toward	3.08	=	0.76->-0.20	=
63559	2.396	2.50	0.94	toward	2.50	=	-0.16->3.34	1.0->0.0
348515	2.263	54.21	56.18	ADVERSE	54.21	=	0.05->-0.51	1.0->0.0
65289	2.031	0.00	2.03	ADVERSE	0.00	=	1.36->0.93	=
287555	1.927	1.77	0.28	toward	1.77	=	2.53->2.74	=
286353	1.273	260.14	261.18	ADVERSE	260.14	=	2.02->2.35	=
293149	1.267	23.77	24.81	ADVERSE	23.77	=	-1.07->-1.00	=
61843	1.129	12.28	13.40	ADVERSE	12.28	=	-0.11->0.53	=
315167	0.981	0.00	0.98	on	0.00	=	2.80->2.11	=
170880	0.957	0.00	0.96	on	0.00	=	-2.47->-2.99	=
489327	0.938	0.00	0.94	on	0.00	=	=	=
282979	0.888	102.04	101.85	toward	102.04	=	-0.94->-0.75	=
72586	0.866	298.18	297.40	toward	298.18	=	1.00->0.58	=
52085	0.862	0.00	0.86	on	0.00	=	4.30->4.01	=
282072	0.858	0.00	0.86	on	0.00	=	=	=
489503	0.858	126.04	126.81	away	126.04	=	0.05->1.22	=
406796	0.847	0.00	0.85	on	0.00	=	2.52->3.45	=
289559	0.840	0.00	0.84	on	0.00	=	4.29->3.23	=
59093	0.825	0.00	0.82	on	0.00	=	2.76->2.57	=
285753	0.821	0.00	0.82	on	0.00	=	-1.30->-1.55	=
318731	0.800	0.00	0.80	on	0.00	=	3.31->3.67	=
280017	0.787	0.00	0.79	on	0.00	=	-1.39->-1.44	=
52723	0.780	0.00	0.78	on	0.00	=	3.14->3.42	=
284794	0.773	0.00	0.77	on	0.00	=	3.30->3.02	=
173498	0.759	0.00	0.76	on	0.00	=	2.90->3.04	=
321107	0.755	0.00	0.75	on	0.00	=	3.46->3.50	=
409942	0.746	0.00	0.75	on	0.00	=	-1.56->-1.67	=
394796	0.741	0.00	0.74	on	0.00	=	2.21->2.18	=
284769	0.741	0.00	0.74	on	0.00	=	=	=
288745	0.737	0.00	0.74	on	0.00	=	0.64->0.87	=
61579	0.737	0.00	0.74	on	0.00	=	=	=
62495	0.735	0.00	0.74	on	0.00	=	2.76->2.97	=
73004	0.731	0.00	0.73	on	0.00	=	3.07->2.64	=
