run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	48367	0.6168683	2.3092499			1107.0913	1071.2979	0.0	56.87956477513762
18255	1	48895	2.8101292	3.0448768						
18255	1	49951	2.3957055	2.1316936	-15.0	-4.300936	676.8356	548.75586		
18255	1	50303	0.19626637	-0.04106542			395.41873	406.8814		
18255	1	50831	-2.0377054	-2.2162342						
18255	1	51051	4.0302553	4.220379						
18255	1	51513	2.8341138	2.163083						
18255	1	52085	4.301008	4.01463						
18255	1	52723	3.1397417	3.4176095						
18255	1	53361					503.7248	510.91034		
18255	1	54175	4.301008	4.2496386	-4.300936	-15.0	700.0532	847.5433		
18255	1	54341	0.34798634	0.5786621			711.7008	932.98627		
18255	1	54351	0.46953228	1.1716294			710.84186	552.8575		
18255	1	55539					635.52795	625.5485		
18255	1	55595	3.3362436	2.8551126			780.2386	735.0189	0.0	6.441241066487114
18255	1	55715	1.1708792	1.2619313			607.8906	389.67883		
18255	1	56211	-1.180362	-1.6280575						
18255	1	56243	4.301008	4.2214665						
18255	1	56463							0.0	1.0030545501118053
18255	1	57485	2.2069776	2.0033355			604.47504	695.00366		
18255	1	57575	3.9033356	-0.35941023			805.908	339.15247		
18255	1	57661					789.504	642.16797		
18255	1	57883	2.3450286	1.7590944			844.50073	804.75757	0.0	2.099087753683726
18255	1	57903	1.717912	1.7960619						
18255	1	58321	3.475675	3.8943884						
18255	1	58607	-0.2740119	-0.8664587			518.8802	344.5225		
18255	1	58717	0.37466562	-0.5369376					0.0	16.21725107465579
18255	1	59025	1.7864231	2.4968147						
18255	1	59093	2.757943	2.5723777						
18255	1	59179	3.2975485	3.5603254						
18255	1	59247	2.3586748	3.5199142			491.68842	574.5994	0.0	4.115986372927995
18255	1	59261	1.7145482	-1.1531729			326.9223	513.17285	0.0	86.27519878540183
18255	1	59335	0.98237437	1.8341634			294.69122	466.8738	0.0	66.00482643918852
18255	1	59371	3.0284963	2.9466195						
18255	1	59685	3.6124175	3.3689086						
18255	1	59899	-1.7004381	-2.1342878			353.8389	268.0785	0.0	6.958782338117861
18255	1	60669					643.02954	629.30804		
