run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	56982	-0.36244965	1.1934508	-15.0	-3.3164544	776.41846	1106.921	0.0	23.292955384632894
18255	1	71372	2.625735	1.472756			2597.3179	2386.8804		
18255	1	142421	3.601646	2.2579174			2768.233	2931.898		
18255	1	180801	1.356455	0.2800385	-3.2104573	-4.300936	1324.0621	1445.4197	0.0	2.1589304031128695
18255	1	314838	-0.31401542	-0.13882452						
18255	1	359980	-0.2908312	-2.206688			916.0281	631.20685	0.0	27.24223184232341
18255	1	399860	0.53417176	-0.12384465			1386.4971	1492.6615	0.0	2.166658159280327
18255	1	463565	-0.44962415	0.18867505			1282.4778	1307.6968	0.0	30.219527270211625
18255	1	506114					2291.9033	2405.5085		
18255	1	506746	1.1115888	-0.8353153			1925.981	2322.626		
18259	1	18625	2.4094594	2.7291088			1478.158	1498.1085	0.0	1.1825399042975266
18259	1	37112	0.33614945	0.1827411	-2.467849	-15.0	1538.606	1289.66	0.0	1.6609849699723411
18261	1	285567	0.9874169	1.0976937	-15.0	-2.5774727	1935.1533	2209.0322		
18345	1	21073					1018.9744	1005.8991		
18345	1	259542	-0.7854216	0.18704596	-1.0788736	-15.0	1873.7745	1962.2278	0.0	109.23540477585907
18364	1	84229	0.31588587	0.5168337	0.6870406	-15.0	1182.926	1530.5236	0.0	98.68485403951762
