evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
388	nuecc48	human	0	23009	0.53	1	1	0	23009	23009	23009	23009	23009	23009	23009	23009	1
10550	nuecc48	human	0	49072	0.00	0	1	0	None	7009	7009	7009	7009	7009	7009	None	0
18625	ncpi0	human	0	11003	2.35	1	1	0	11003	11003	11003	11003	11003	11003	11003	11003	1
21073	ncpi0	human	0	11001	0.16	1	1	0	11004	11001	11001	11001	11001	11001	11001	11004	1
30504	nuecc48	human	0	11001	0.00	0	0	0	11011	55053	11011	11011	11011	11011	55053	11011	0
37112	ncpi0	human	0	84097	2.78	1	1	0	9006	84097	84097	84097	84097	84097	84097	9006	1
38856	nuecc48	human	0	12004	0.10	0	0	0	12009	12009	12009	12009	12009	12009	12009	12009	0
42280	nuecc48	human	0	8001	0.29	1	1	0	8023	8001	8001	8001	8001	8001	8001	8023	1
46363	nuecc48	human	0	19001	0.00	1	1	0	19019	19019	19024	19024	19024	19024	19019	19019	0
47058	mcp2k	ai-scanner	0	11002	0.00	1	1	0	11002	11002	11002	11002	11002	11002	11002	11002	1
47278	mcp2k	ai-scanner	0	6004	0.16	1	1	0	6002	6004	6004	6004	6004	6004	6004	6002	1
47784	mcp2k	ai-scanner	0	17003	0.43	1	1	0	17003	17003	17003	17003	17003	17003	17003	17003	1
47916	mcp2k	ai-scanner	0	11002	0.05	1	1	0	11002	11002	11002	11002	11002	11002	11002	11002	1
48367	mcp1k	human	0	19001	0.00	0	0	0	19001	19001	82070	82070	82070	82070	19001	19001	0
48488	mcp2k	ai-scanner	0	21003	0.33	1	1	0	21001	21003	21003	21003	21003	21003	21003	21001	1
48774	mcp2k	ai-scanner	0	7002	0.93	1	1	1	7003	7003	7003	7003	7003	7003	7003	7003	0
48895	mcp1k	human	0	17002	0.00	0	1	0	17002	50015	17002	17002	17002	17002	50015	17002	1
49742	mcp2k	human	0	16000	0.00	1	1	0	16000	20003	16000	16000	16000	16000	20003	16000	1
49951	mcp1k	human	0	16002	0.22	1	1	0	16002	16002	16002	16002	16002	16002	16002	16002	1
50182	mcp2k	ai-scanner	0	10002	0.27	1	1	0	10002	10002	10002	10002	10002	10002	10002	10002	1
50303	mcp1k	human	0	12004	1.11	0	0	0	12005	66027	12005	12005	12005	12005	66027	12005	0
50831	mcp1k	human	0	14002	0.34	0	0	0	14001	14001	14001	14001	14001	14001	14001	14001	0
51051	mcp1k	human	0	19002	0.76	0	0	0	19002	89007	19002	19002	19002	19002	89007	19002	1
51128	mcp2k	human	0	22002	0.76	0	0	0	22002	43016	22002	22002	22002	22002	43016	22002	1
51219	mcp2k	ai-scanner	0	12005	1.15	1	1	0	12002	12005	12005	12005	12005	12005	12005	12002	1
51513	mcp1k	human	0	16002	0.55	1	1	0	16002	16002	16002	16002	16002	16002	16002	16002	1
51546	mcp2k	human	0	16001	0.00	0	0	0	16001	23002	16001	16001	16001	16001	23002	16001	1
51868	mcp2k	human	0	7001	0.00	0	0	0	7000	69014	7000	7000	7000	7000	69014	7000	0
51890	mcp2k	ai-scanner	0	15003	0.54	1	1	0	15003	15003	15003	15003	15003	15003	15003	15003	1
51964	mcp2k	ai-scanner	0	7002	0.45	1	1	0	7002	7002	7002	7002	7002	7002	7002	7002	1
52044	mcp2k	human	0	18002	0.78	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
52085	mcp1k	human	0	6002	1.03	1	1	0	6002	6002	6002	6002	6002	6002	6002	6002	1
52605	mcp2k	human	0	11001	0.05	1	1	0	51019	52023	51019	51019	51019	51019	52023	51019	0
52657	mcp1k	human	0	23001	0.00	1	1	0	23001	23001	23001	23001	23001	23001	23001	23001	1
52672	nuecc48	human	0	82148	0.92	0	0	0	82149	25047	82149	82149	82149	82149	25047	82149	0
52693	mcp2k	human	0	18004	1.99	0	0	0	18004	52024	18004	18004	18004	18004	52024	18004	1
52723	mcp1k	human	0	7001	0.35	1	1	0	7001	7001	7001	7001	7001	7001	7001	7001	1
52759	mcp2k	ai-scanner	0	16001	0.25	1	1	0	16001	43010	16001	16001	16001	16001	43010	16001	1
53130	mcp2k	ai-scanner	0	8002	0.30	1	1	0	8002	8002	8002	8002	8002	8002	8002	8002	1
