run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	65266	-0.35109228	2.1101663					0.0	45.17814270705914
18255	1	66944	-0.31925085	1.0807418			287.3609	553.9761	0.0	26.609252382876242
18255	1	69232	3.437165	4.197084	-15.0	-4.300936	950.8287	1041.4202	0.0	2.1408068181292896
18255	1	95170	0.08212138	3.360215			339.84863	324.05518	0.0	2.546018085823616
18255	1	97062	0.37644765	0.592646	-15.0	-4.300936	795.82056	511.10486	0.0	34.13681403348227
18255	1	283299	3.7942803	2.6210186			960.4367	1066.8613	0.0	24.30634959383373
18255	1	321015	2.3879848	2.589114			870.19434	744.06494	0.0	29.393212390973876
18255	1	323369	-0.3907615	-1.6859653			880.8568	728.17426	0.0	235.735808408679
18255	1	349056	1.7204943	3.4271662					0.0	7.980357136814671
18255	1	350354	1.5050582	0.44808453	-1.051642	-15.0	985.67145	1045.0869	0.0	14.835980976686347
18255	1	389379	2.170145	2.6303184					0.0	155.5935723832293
18255	1	390743	1.0910456	0.8815088			507.20767	571.0341	0.0	7.676449449114148
18255	1	395277	-0.07216398	1.1899549			460.28003	305.95135	0.0	78.2914568677287
18255	1	397476	-4.301008	-0.9344124			806.6725	734.24725	0.0	24.851505820586507
18255	1	407886	-0.91247004	-2.2231917			469.29352	459.8753	0.0	96.4114692406778
18255	1	415186	2.1604214	2.874844			352.9451	528.401	0.0	8.123037676598328
18255	1	497311	-1.3087329	4.301008			1500.4708	1758.3248	0.0	185.39831991222553
18255	1	500567	1.2648532	-1.1889302			233.80928	383.02527	0.0	23.468248159684737
18259	1	47278	1.6434077	0.362246			776.5213	261.51096	0.0	26.990391053536527
18259	1	170326	-1.437329	2.8505385			91.82158	444.0675	0.0	2.1879118453447717
18259	1	173620					607.7555	433.44287	0.0	110.689550047086
18259	1	173912	1.7779578	2.0866375			414.30768	361.32547	0.0	4.876753434345441
18259	1	174311	1.6648623	2.879598					0.0	9.339073160188574
18259	1	174896	3.7692826	3.503611			1030.7762	984.2928	0.0	10.962588763613267
18259	1	179246	-1.5655987	2.2326922			100.99944	574.46136	0.0	31.9086421598503
18259	1	179912	2.0079398	2.3038373			444.3861	462.11792	0.0	7.570799637391335
