evt	sample	target	winner	d_target	delta_total	delta_s_dl	delta_s_snap	delta_s_fwd_z	delta_s_clen	delta_s_isol	delta_s_main	delta_s_fv	decisive
66712	mcp1k	11004	11003	0.61	-763.01	-761.91	-1.10	0.00	0.00	0.00	0.00	0.00	s_dl
69666	mcp2k	15001	15004	0.00	-22.41	-22.20	-0.21	0.00	0.00	0.00	0.00	0.00	s_dl
73412	mcp2k	13002	13001	0.48	-1.38	-1.50	0.12	0.00	0.00	0.00	0.00	0.00	s_dl
84229	ncpi0	19045	9029	0.00	-10.64	-8.59	-0.10	0.05	0.00	0.00	-2.00	0.00	s_dl
95899	mcp2k	69035	69033	0.43	-7.35	-7.16	-0.19	-0.00	0.00	0.00	0.00	0.00	s_dl
122660	nuecc48	9014	9010	0.04	-190.14	-190.02	-0.12	0.00	0.00	0.00	0.00	0.00	s_dl
174311	mcp2k	3002	3003	0.69	-9.78	-9.79	-0.00	0.00	0.00	0.00	0.00	0.00	s_dl
174771	mcp2k	15003	15009	0.19	-47.64	-47.48	-0.16	-0.00	0.00	0.00	0.00	0.00	s_dl
268067	nuecc48	15007	15004	2.28	-562.05	-562.01	-0.04	0.00	0.00	0.00	0.00	0.00	s_dl
277298	mcp1k	17004	17008	1.16	-193.61	-193.30	-0.30	-0.00	0.00	0.00	0.00	0.00	s_dl
282072	mcp1k	7002	7001	0.66	-389.10	-389.06	-0.04	-0.00	0.00	0.00	0.00	0.00	s_dl
286906	mcp1k	41011	41010	0.00	-50.72	-50.58	-0.14	-0.00	0.00	0.00	0.00	0.00	s_dl
287555	mcp1k	18001	18003	0.43	-2.94	-2.88	-0.06	0.00	0.00	0.00	0.00	0.00	s_dl
287654	mcp1k	12005	12002	0.96	-3.41	-1.64	-1.76	0.00	0.00	0.00	0.00	0.00	s_snap
290542	mcp2k	6001	43005	1.65	-6.55	-12.47	0.01	-0.02	1.93	2.00	2.00	0.00	s_dl
316987	mcp2k	9002	9001	0.16	-145.29	-145.20	-0.09	-0.00	0.00	0.00	0.00	0.00	s_dl
322707	mcp2k	11002	11001	0.12	-13.84	-14.71	0.88	-0.01	0.00	0.00	0.00	0.00	s_dl
352202	mcp2k	14001	14000	0.35	-3.18	-3.17	-0.03	0.01	0.00	0.00	0.00	0.00	s_dl
360535	nuecc48	7022	7001	0.36	-257.48	-257.47	-0.01	0.00	0.00	0.00	0.00	0.00	s_dl
389538	nuecc48	11002	19014	0.00	-232.95	-234.48	-0.38	-0.09	0.00	0.00	2.00	0.00	s_dl
390391	mcp2k	4002	4004	0.77	-13.83	-13.89	0.06	-0.00	0.00	0.00	0.00	0.00	s_dl
397476	mcp2k	23006	23004	0.57	-2.92	-2.82	-0.10	-0.00	0.00	0.00	0.00	0.00	s_dl
400251	mcp2k	17003	17006	2.14	-61.86	-61.88	0.02	-0.00	0.00	0.00	0.00	0.00	s_dl
409140	mcp2k	13002	13003	1.20	-2.61	-2.65	0.04	-0.00	0.00	0.00	0.00	0.00	s_dl
409514	mcp2k	8002	8000	0.00	-11.83	-11.81	-0.03	0.01	0.00	0.00	0.00	0.00	s_dl
409546	mcp1k	41016	41017	0.00	-9.67	-9.71	0.03	0.00	0.00	0.00	0.00	0.00	s_dl
415186	mcp2k	19002	19001	1.58	-2.35	-0.52	-1.83	0.00	0.00	0.00	0.00	0.00	s_snap
