event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
46363	45.057	45.06	0.00	toward	45.06	=	-1.04->-1.04	=
42280	0.949	0.00	0.95	on	0.00	=	-2.24->-2.83	=
433451	0.339	0.00	0.34	on	0.00	=	-1.93->-2.08	=
90055	0.335	0.00	0.34	on	0.00	=	-1.14->-0.93	=
246579	0.277	0.00	0.28	on	0.00	=	-2.38->-1.45	=
196649	0.166	0.00	0.17	on	0.00	4.24->-2.32	-1.12->-0.18	=
54095	0.112	0.00	0.11	on	0.00	=	0.01->-0.92	=
214469	0.095	0.00	0.09	on	0.00	=	-0.27->-0.36	=
489330	0.063	0.00	0.06	on	0.00	=	-1.77->-0.96	=
239794	0.062	0.00	0.06	on	0.00	=	-0.76->-1.40	=
81597	0.057	0.00	0.06	on	0.00	=	-0.74->0.36	=
