    all            |dpos| cm: n=278 med=0.148 p90=0.239 max=0.485 [median signed dx=-0.072 dy=-0.021 dz=+0.090] ; dq/q at |dpos|<0.1: n=84 med=0.0118 p90=0.177 max=0.285 (signed med +0) ; unmatched 0
    near-junction  |dpos| cm: n=44 med=0.152 p90=0.259 max=0.356 [median signed dx=-0.074 dy=-0.038 dz=+0.095] ; dq/q at |dpos|<0.1: n=14 med=0.109 p90=0.246 max=0.246 (signed med +0.109) ; unmatched 0
    all            |dpos| cm: n=291 med=0.0574 p90=0.25 max=0.485 [median signed dx=-0.008 dy=-0.001 dz=+0.006] ; dq/q at |dpos|<0.1: n=188 med=0.00545 p90=0.0537 max=0.204 (signed med +0) ; unmatched 2
    near-junction  |dpos| cm: n=61 med=0.164 p90=0.34 max=0.484 [median signed dx=-0.020 dy=+0.014 dz=+0.002] ; dq/q at |dpos|<0.1: n=16 med=0.0224 p90=0.0871 max=0.204 (signed med -0.00236) ; unmatched 1
    all            |dpos| cm: n=276 med=0.174 p90=0.288 max=0.476 [median signed dx=+0.064 dy=+0.011 dz=-0.086] ; dq/q at |dpos|<0.1: n=61 med=0.0416 p90=0.146 max=0.42 (signed med +0.0181) ; unmatched 6
    near-junction  |dpos| cm: n=41 med=0.2 p90=0.355 max=0.47 [median signed dx=+0.012 dy=-0.024 dz=-0.144] ; dq/q at |dpos|<0.1: n=5 med=0.0262 p90=0.114 max=0.146 (signed med +0.0262) ; unmatched 2
    all            |dpos| cm: n=163 med=0.0324 p90=0.233 max=0.424 [median signed dx=+0.000 dy=+0.000 dz=+0.000] ; dq/q at |dpos|<0.1: n=100 med=0 p90=0.0418 max=0.705 (signed med +0) ; unmatched 1
    near-junction  |dpos| cm: n=22 med=0.125 p90=0.287 max=0.391 [median signed dx=+0.048 dy=-0.096 dz=+0.015] ; dq/q at |dpos|<0.1: n=2 med=0.0193 p90=0.0345 max=0.0383 (signed med +0.0193) ; unmatched 0
    all            |dpos| cm: n=183 med=0.0359 p90=0.291 max=0.473 [median signed dx=+0.000 dy=+0.000 dz=+0.000] ; dq/q at |dpos|<0.1: n=112 med=0 p90=0.0455 max=0.499 (signed med +0) ; unmatched 13
    near-junction  |dpos| cm: n=22 med=0.311 p90=0.434 max=0.473 [median signed dx=+0.052 dy=+0.058 dz=+0.020] ; dq/q at |dpos|<0.1: n=0 (signed med +nan) ; unmatched 3
    all            |dpos| cm: n=146 med=0.249 p90=0.399 max=0.453 [median signed dx=-0.020 dy=-0.019 dz=-0.004] ; dq/q at |dpos|<0.1: n=28 med=0.116 p90=0.198 max=0.237 (signed med -0.099) ; unmatched 18
    near-junction  |dpos| cm: n=23 med=0.321 p90=0.399 max=0.43 [median signed dx=-0.042 dy=-0.064 dz=+0.105] ; dq/q at |dpos|<0.1: n=0 (signed med +nan) ; unmatched 0
    all            |dpos| cm: n=235 med=0.117 p90=0.352 max=0.477 [median signed dx=+0.000 dy=+0.000 dz=+0.000] ; dq/q at |dpos|<0.1: n=107 med=0 p90=0.198 max=1.15 (signed med +0) ; unmatched 14
    near-junction  |dpos| cm: n=17 med=0.0225 p90=0.21 max=0.369 [median signed dx=+0.016 dy=+0.010 dz=+0.006] ; dq/q at |dpos|<0.1: n=14 med=0.0787 p90=1.15 max=1.15 (signed med +0.0787) ; unmatched 2
