sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
nuecc48	18255	1	388	0	20.965	15.762	27	1527552	0	nu-candidate	14	1	1	1	0	1.653	96.3	41	-162.53316	31.999058	426.17123	-1.0420914	4.300936	1.0	0.0	0.7	0.0	3090.4575
nuecc48	18255	1	10550	0	9.428	4.139	16	1526536	0	cosmic-tagged	7	1	1	1	1	1.193	18.5	28	-14.832754	59.135937	147.09532	-1.594791	-15.0	1.0	1.0	0.7	0.0	387.6327
nuecc48	18342	1	30504	0	12.988	7.726	20	1528700	0	nu-candidate	7	1	1	1	0	1.646	114.0	26	24.393826	-46.979107	121.998535	-0.59730095	2.7073002	1.0	0.0	0.7	0.0	1324.8698
nuecc48	18304	1	38856	0	13.396	8.007	20	1522972	0	nu-candidate	10	1	1	1	0	1.106	106.5	15	-58.8742	-66.4772	424.6951	-0.9393242	2.4149227	1.0	0.0	0.7	0.0	1656.657
nuecc48	18259	1	42280	0	23.586	18.092	30	1527516	0	nu-candidate	9	1	1	1	0	1.856	135.0	33	14.389797	-11.116058	89.37298	-1.0918647	4.300936	1.0	0.0	0.7	0.0	2097.4968
nuecc48	18255	1	46363	0	13.008	9.031	20	1528088	0	nu-candidate	11	1	1	1	0	0.836	121.8	40	-78.86004	16.905668	298.4265	-1.774615	4.300936	1.0	0.0	0.7	0.0	1839.2274
nuecc48	18259	1	52672	0			18	1527016	0	nu-candidate	10	1	1	1	0	1.520	80.6	45	-132.56416	67.41936	304.3071	-1.3973558	1.7999173	1.0	0.0	0.7	0.0	1054.4814
nuecc48	18259	1	54095	0	27.062	21.729	34	1525416	0	nu-candidate	12	1	1	1	0	0.832	127.5	40	173.34883	26.476334	189.34506	-0.64914	4.300936	1.0	0.0	0.7	0.0	3044.6582
nuecc48	18255	1	69314	0	11.375	7.349	18	1528112	0	nu-candidate	14	1	1	1	0	1.285	189.5	22	-110.46646	-18.231314	166.91928	0.64614403	-2.668683	1.0	0.0	0.7	0.0	1571.9763
nuecc48	18259	1	74544	0	15.778	11.768	22	1525516	0	nu-candidate	9	1	1	1	0	1.790	102.7	19	136.09273	-170.1048	406.26297	-1.885663	4.300936	1.0	0.0	0.7	0.0	2176.9702
nuecc48	18313	1	81597	0	11.506	7.587	18	1525672	0	nu-candidate	13	1	1	1	0	0.605	99.4	28	-180.18645	39.67719	358.4441	-0.48088953	4.300936	1.0	0.0	0.7	0.0	1747.4259
nuecc48	18255	1	90055	0	22.257	15.740	29	1525892	0	nu-candidate	8	1	1	1	0	0.647	128.1	52	129.39185	25.204842	202.42227	-0.8910237	4.300936	1.0	0.0	0.7	0.0	2506.2717
nuecc48	18259	1	111412	0	10.847	5.441	17	1526612	0	nu-candidate	16	1	1	1	0	2.028	98.5	21	159.03831	140.19336	199.4985	-0.51587474	-0.3375327	1.0	0.0	0.7	0.0	1136.7089
nuecc48	18259	1	116962	0	8.217	2.314	15	1191848	0	cosmic-tagged	13	1	1	0	1													
nuecc48	18255	1	122660	0	10.858	6.883	17	1526364	0	nu-candidate	8	1	1	1	0	0.901	113.2	28	-100.58896	-41.320946	466.19348	-0.36656398	-15.0	1.0	0.0	0.7	0.0	1784.5276
nuecc48	18259	1	131357	0	9.437	5.445	16	1524680	0	nu-candidate	16	1	1	1	0	1.964	86.1	11	44.116985	177.25557	137.35648	-0.5517484	4.300936	1.0	0.0	0.7	0.0	823.7932
nuecc48	18264	1	137238	0	12.244	6.910	19	1528136	0	nu-candidate	18	1	1	1	0	0.879	133.6	14	-112.77281	31.606047	393.81195	1.2826419	-0.6487296	1.0	0.0	0.7	0.0	1011.9502
nuecc48	18255	1	138009	0	13.521	8.128	20	1528960	0	nu-candidate	14	1	1	1	0	0.791	112.2	27	-103.56966	161.42848	82.60491	-0.040891923	4.300936	1.0	0.0	0.7	0.0	1566.138
nuecc48	18255	1	163543	0	9.496	5.491	16	1529612	0	nu-candidate	11	1	1	1	0	0.954	79.0	43	-73.0378	-96.22806	261.15952	-0.2253752	-4.2070336	1.0	0.0	0.7	0.0	1314.7233
nuecc48	18255	1	168596	0	14.046	8.612	21	1525432	0	nu-candidate	10	1	1	1	0	1.207	105.8	41	-190.56638	24.071554	148.61913	-1.10167	4.300936	1.0	0.0	0.7	0.0	2238.9724
nuecc48	18253	1	172230	0	8.345	7.912	15	1529496	0	nu-candidate	13	1	1	1	0	1.662	123.7	31	-54.57346	-87.371124	19.912241	0.121484675	4.300936	1.0	0.0	0.7	0.0	1694.278
nuecc48	18255	1	174637	0	5.914	5.492	12	1527684	0	nu-candidate	7	1	1	1	0	1.363	95.0	18	-166.75508	-57.109463	297.2001	-0.19473317	4.300936	1.0	0.0	0.7	0.0	1194.0475
nuecc48	18255	1	196649	0	8.438	8.965	15	1529460	0	nu-candidate	10	1	1	1	0	1.272	113.4	22	-53.54552	-21.45873	193.68222	-1.5286185	4.300936	1.0	0.0	0.7	0.0	1590.5344
nuecc48	18409	1	214469	0	21.649	22.194	28	1529344	0	nu-candidate	12	1	1	1	0	1.935	189.3	31	-31.56777	3.1607609	301.18634	-0.48371133	4.300936	1.0	0.0	0.7	0.0	2347.5242
nuecc48	18255	1	219295	0	11.033	11.666	17	1528880	0	nu-candidate	13	1	1	1	0	1.261	140.5	35	96.60157	52.445133	95.68248	-0.31765616	4.300936	1.0	0.0	0.7	0.0	1774.3572
nuecc48	18255	1	234638	0	7.048	7.564	13	1527200	0	nu-candidate	9	1	1	1	0	0.990	136.4	42	97.3903	-19.95434	389.19427	0.562693	-0.64461124	1.0	0.0	0.7	0.0	1416.0516
