sample	run	subrun	event	cls	main_cid	n_fit	n_seg	sel_len_cm	n_assoc	fit_absx	n_near_neg	n_near_pos	gap3d_cm	dyz_cm	x_neg	x_pos	seg_neg	seg_pos	shower_neg	shower_pos	pid_neg	pid_pos	qgap3d_cm	q_n6_neg	q_n6_pos	q_farside_n	q_extrap_dperp	q_extrap_n	ql_joined	ql_cid_near	ql_cid_far	vtx_absx	vtx_y	vtx_z	vtx_is_main	vtx_nseg	vtx_seg_sides	nu_x	nu_y	nu_z	nu_sentinel	nu_absx	dqdx_in3	dqdx_3to15	dqdx_ratio
mcp1k	18255	1	48367	no-contact	19	344	24	168.2	22	59.21	0	0																										-162.03	-91.15	173.16	0	162.03			
mcp1k	18255	1	48895	no-contact	23	16	6	1.0	6	70.43	0	0																										193.13	120.77	429.13	0	193.13			
mcp1k	18255	1	49445	tiny	-1	4	2	3.5	2																													0.0	0.0	0.0	1				
mcp1k	18255	1	49467	tiny		0		3.6	0																																				
mcp1k	18255	1	49951	no-contact	16	186	15	61.3	12	109.55	0	0																										190.24	174.45	22.13	0	190.24			
mcp1k	18255	1	50303	eroded	12	110	12	44.2	10	1.16	2	0	186.54	113.22	-24.24	124.01	19009	64013	0	0	11	2212										1.16	149.0	307.6	0	1	-	132.67	55.06	181.89	0	132.67			
mcp1k	18255	1	50523	one-sided	16	20	6	4.3	5	0.51	14	0																				0.51	176.0	244.8	0	1	-	-2.02	181.48	245.53	0	2.02			
mcp1k	18255	1	50743	no-contact	17	23	6	2.7	5	25.92	0	0																										25.92	79.0	306.42	0	25.92			
mcp1k	18255	1	50787	no-contact	6	75	3	49.2	1	98.56	0	0																										125.21	-103.87	499.83	0	125.21			
mcp1k	18255	1	50831	no-contact	14	50	11	18.7	10	25.26	0	0																										-141.86	-123.95	411.84	0	141.86			
mcp1k	18255	1	51051	spanned	19	447	6	253.1	4	0.58	20	17	1.8	1.13	-0.58	0.82	19001	19001	0	0	211	211	3.11	92	62	62	0.06	62	1	19	19	17.54	-33.5	302.6	0	2	0-	104.97	-116.84	499.88	0	104.97	32036	48226	0.664
mcp1k	18255	1	51469	tiny		0		1.3	0																																				
mcp1k	18255	1	51513	no-contact	16	167	8	74.5	5	6.91	0	0																										99.2	74.56	113.47	0	99.2			
mcp1k	18255	1	51865	eroded	15	15	7	2.8	7	5.48	0	1	33.32	20.34	-6.87	19.53	17002	44005	0	0	2212	11										5.48	-195.6	300.4	0	1	+	-56.04	114.17	272.07	0	56.04			
mcp1k	18255	1	52085	spanned	25	263	7	139.9	6	0.5	17	15	1.8	1.02	-0.56	0.92	6004	6004	0	0	11	11	1.65	101	63	63		0	1	6	6	0.5	80.4	135.4	0	1	+	8.03	115.88	51.38	0	8.03	49668	101043	0.492
mcp1k	18255	1	52195	eroded	23	830	16	1.7	8	2.04	2	0	45.37	42.23	-2.32	14.27	45014	50019	0	0	11	11	2.29	101	75	75			1	13	13	2.04	-46.6	326.9	0	1	-	-51.62	199.36	344.47	0	51.62			
mcp1k	18255	1	52613	no-contact	50	120	35	15.2	31	164.94	0	0																										-185.46	68.42	369.68	0	185.46			
mcp1k	18255	1	52657	no-contact	23	200	7	101.0	5	13.3	0	0																										-33.51	-53.69	257.89	0	33.51			
mcp1k	18255	1	52723	no-contact	7	125	5	61.6	3	53.79	0	0																										91.72	29.4	448.87	0	91.72			
mcp1k	18255	1	53361	no-contact	27	234	8	124.4	4	14.57	0	0																										-15.66	-193.92	166.63	0	15.66			
mcp1k	18255	1	53427	spanned	14	352	5	195.5	3	0.79	24	20	2.4	1.3	-0.79	1.22	14002	14002	1	1	11	11	3.46	107	91	91	0.08	91	1	14	14	12.74	72.3	433.9	0	2	+0	17.56	75.04	437.71	0	17.56	44284	46688	0.949
mcp1k	18255	1	53713	no-contact	15	30	11	2.3	9	19.16	0	0																										-137.67	-79.5	342.22	0	137.67			
mcp1k	18255	1	53955	tiny	-1	2	1	2.5	1																													0.0	0.0	0.0	1				
mcp1k	18255	1	54175	no-contact	18	399	21	187.1	17	25.47	0	0																										-77.07	152.46	55.14	0	77.07			
mcp1k	18255	1	54341	no-contact	18	375	27	80.4	14	34.42	0	0																										117.2	165.46	142.47	0	117.2			
mcp1k	18255	1	54351	no-contact	17	208	9	68.2	5	108.11	0	0																										-141.44	81.2	189.82	0	141.44			
mcp1k	18255	1	55539	no-contact	18	757	9	196.0	2	11.16	0	0																										170.79	31.32	400.29	0	170.79			
mcp1k	18255	1	55595	no-contact	8	382	10	190.4	6	65.65	0	0																										-178.69	-54.52	193.05	0	178.69			
mcp1k	18255	1	55627	no-contact	22	350	8	191.7	5	68.69	0	0																										-81.25	60.06	182.76	0	81.25			
mcp1k	18255	1	55715	no-contact	15	253	16	31.8	8	16.24	0	0																										-45.6	-38.19	483.42	0	45.6			
mcp1k	18255	1	55957	tiny	13	6	3	2.2	2																													132.67	7.66	446.24	0	132.67			
mcp1k	18255	1	56211	no-contact	11	46	5	23.1	3	27.42	0	0																										88.54	-32.0	76.28	0	88.54			
mcp1k	18255	1	56243	no-contact	9	326	33	117.2	25	53.09	0	0																										135.75	-26.66	110.85	0	135.75			
