sample	event	stratum	what
ncpi0	21073	control	vertex ADVERSE 0.97->3.39cm
ncpi0	37112	control	vertex ADVERSE 2.37->5.00cm
ncpi0	56982	ISO	numu09 0->1; vertex toward 34.86->11.87cm
ncpi0	71372	ISO	numu09 1->0; vertex ADVERSE 0.70->71.02cm
ncpi0	84229	ISO	numu09 0->1
ncpi0	180801	ISO	numu09 1->0; vertex toward 77.49->71.44cm
ncpi0	285567	ISO	numu09 0->1
ncpi0	314838	control	vertex ADVERSE 0.00->41.42cm
ncpi0	399860	ISO	nue7 0->1; nue43 0->1
ncpi0	463565	ISO	vertex ADVERSE 28.18->44.74cm
ncpi0	506746	ISO	vertex ADVERSE 0.42->1.44cm
ncpi0	521075	control	vertex ADVERSE 0.00->5.81cm
nuecc48	30504	ISO	vertex ADVERSE 30.99->71.86cm
nuecc48	38856	ISO	nue7 0->1; nue43 0->1; vertex toward 32.25->0.44cm
nuecc48	46363	ISO	nue7 1->0; vertex ADVERSE 0.00->40.62cm
nuecc48	52672	control	vertex toward 3.83->1.63cm
nuecc48	111412	ISO	nue7 1->0; vertex toward 1.84->0.81cm
nuecc48	138009	ISO	nue7 0->1; vertex ADVERSE 0.30->1.67cm
nuecc48	163543	ISO	vertex ADVERSE 32.85->46.21cm
nuecc48	168596	ISO	nue7 0->1
nuecc48	196649	ISO	nue7 0->1; nue43 0->1; vertex ADVERSE 0.00->1.42cm
nuecc48	219295	ISO	numu09 1->0
nuecc48	235435	control	nue7 1->0; nue43 1->0; vertex ADVERSE 0.18->47.30cm
nuecc48	268067	control	nue7 1->0; nue43 1->0; numu09 0->1
nuecc48	271851	ISO	nue43 0->1
nuecc48	389538	ISO	nue7 0->1; nue43 0->1; numu09 1->0; vertex ADVERSE 0.28->213.84cm
nuecc48	469665	ISO	nue43 1->0; vertex ADVERSE 1.08->3.23cm
