sample	event	stratum	what
ncpi0	21073	control	vertex ADVERSE 0.97->3.18cm
ncpi0	37112	control	vertex ADVERSE 2.37->3.49cm
ncpi0	56982	ISO	vertex toward 34.86->7.44cm
ncpi0	71372	ISO	vertex ADVERSE 0.70->4.36cm
ncpi0	84229	ISO	numu09 0->1
ncpi0	105946	control	vertex ADVERSE 0.00->7.59cm
ncpi0	180801	ISO	numu09 1->0; vertex toward 77.49->24.45cm
ncpi0	285567	ISO	numu09 0->1
ncpi0	314838	control	vertex ADVERSE 0.00->39.08cm
ncpi0	359980	ISO	vertex ADVERSE 0.41->6.69cm
ncpi0	463565	ISO	vertex toward 28.18->23.53cm
ncpi0	521075	control	vertex ADVERSE 0.00->11.37cm
nuecc48	30504	ISO	vertex ADVERSE 30.99->71.15cm
nuecc48	38856	ISO	vertex toward 32.25->19.16cm
nuecc48	42280	ISO	label nu-candidate->crashed/no-extract; nue7 1->0; nue43 1->0; bundle keys differ (9); vertex ADVERSE 0.70->infcm
nuecc48	52672	control	nue7 0->1; nue43 0->1; vertex toward 3.83->0.73cm
nuecc48	111412	ISO	nue7 1->0; nue43 1->0; vertex ADVERSE 1.84->6.94cm
nuecc48	122660	ISO	vertex ADVERSE 0.48->85.18cm
nuecc48	138009	ISO	nue7 0->1
nuecc48	163543	ISO	numu09 0->1; vertex ADVERSE 32.85->36.23cm
nuecc48	168596	ISO	nue7 0->1
nuecc48	196649	ISO	nue43 0->1; vertex ADVERSE 0.00->3.53cm
nuecc48	219295	ISO	numu09 1->0
nuecc48	234638	ISO	nue7 1->0; nue43 1->0; numu09 0->1
nuecc48	235435	control	nue7 1->0; nue43 1->0; vertex ADVERSE 0.18->30.02cm
nuecc48	268784	control	nue7 0->1
nuecc48	360535	ISO	numu09 0->1
nuecc48	447477	ISO	nue7 1->0; nue43 1->0
nuecc48	469665	ISO	nue7 0->1
nuecc48	489330	ISO	nue7 1->0; nue43 1->0
