sample	event	stratum	what
mcp1k	48367	ISO	numu09 1->0; vertex ADVERSE 0.00->39.94cm
mcp1k	50831	control	vertex toward 1.36->0.21cm
mcp1k	54351	ISO	numu09 0->1
mcp1k	56211	ISO	vertex toward 6.30->4.21cm
mcp1k	57485	control	numu09 1->0; vertex ADVERSE 0.27->45.50cm
mcp1k	58607	ISO	vertex ADVERSE 3.47->13.28cm
mcp1k	59335	ISO	numu09 0->1; vertex toward 65.05->0.23cm
mcp1k	59899	other	vertex toward 4.47->0.87cm
mcp1k	62281	ISO	vertex toward 29.27->0.37cm
mcp1k	62583	control	numu09 1->0
mcp1k	62613	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 17:1000000 0->1; vertex ADVERSE 0.00->infcm
mcp1k	63559	ISO	numu09 1->0; vertex ADVERSE 0.94->24.52cm
mcp1k	65025	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 16:1000009 0->1; vertex ADVERSE 0.00->infcm
mcp1k	66118	ISO	numu09 1->0; vertex ADVERSE 0.13->12.62cm
mcp1k	71178	control	vertex toward 22.81->4.63cm
mcp1k	71222	ISO	vertex ADVERSE 0.51->2.97cm
mcp1k	72586	ISO	numu09 1->0
mcp1k	166870	ISO	vertex ADVERSE 2.52->6.52cm
mcp1k	170792	ISO	numu09 1->0; vertex ADVERSE 2.42->3.90cm
mcp1k	172788	ISO	nu_eval 1->0; numu09 1->0; stm bundle 26:1000000 0->1; vertex ADVERSE 99.26->infcm
mcp1k	172794	control	vertex ADVERSE 0.51->82.70cm
mcp1k	174114	ISO	vertex ADVERSE 0.13->1.44cm
mcp1k	175808	ISO	numu09 0->1; vertex toward 9.90->1.65cm
mcp1k	279256	ISO	vertex toward 29.46->0.08cm
mcp1k	280752	control	vertex ADVERSE 0.76->3.55cm
mcp1k	281837	ISO	vertex ADVERSE 0.16->8.80cm
mcp1k	281953	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 10:1000001 0->1; vertex ADVERSE 0.00->infcm
mcp1k	282231	ISO	numu09 1->0; vertex ADVERSE 0.00->51.04cm
mcp1k	282737	control	vertex ADVERSE 0.06->29.08cm
mcp1k	282979	ISO	vertex toward 87.82->36.51cm
mcp1k	284013	control	vertex toward 5.55->4.04cm
mcp1k	284145	ISO	vertex toward 5.68->0.13cm
mcp1k	284200	ISO	numu09 1->0
mcp1k	284794	ISO	numu09 1->0; vertex ADVERSE 0.00->3.83cm
mcp1k	285665	ISO	numu09 1->0
mcp1k	286353	control	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 9:4 0->1; vertex ADVERSE 262.56->infcm
mcp1k	286681	ISO	numu09 0->1
mcp1k	287517	ISO	vertex ADVERSE 0.09->1.60cm
mcp1k	287555	ISO	vertex ADVERSE 1.86->3.17cm
mcp1k	288358	ISO	numu09 1->0; stm bundle 7:1000007 1->0; vertex ADVERSE 0.18->520.06cm
mcp1k	291570	ISO	vertex ADVERSE 0.00->201.18cm
mcp1k	313781	control	vertex ADVERSE 40.53->43.41cm
mcp1k	314507	control	vertex ADVERSE 67.09->98.51cm
mcp1k	315343	ISO	vertex toward 10.91->0.72cm
mcp1k	315497	ISO	vertex ADVERSE 0.00->56.49cm
mcp1k	316553	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 11:1000002 0->1; vertex ADVERSE 0.35->infcm
mcp1k	316729	ISO	vertex toward 5.05->3.76cm
mcp1k	319611	ISO	vertex ADVERSE 0.95->3.48cm
mcp1k	320667	ISO	numu09 1->0
mcp1k	321107	ISO	label nu-candidate->cosmic-tagged; numu09 1->0; stm bundle 13:3 0->1; vertex ADVERSE 0.02->infcm
mcp1k	321173	ISO	vertex toward 22.10->8.63cm
mcp1k	348713	ISO	numu09 0->1; vertex ADVERSE 0.00->89.27cm
mcp1k	390864	ISO	vertex toward 93.19->0.05cm
mcp1k	393608	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 9:1000007 0->1; vertex ADVERSE 0.14->infcm
mcp1k	394642	ISO	vertex ADVERSE 0.17->3.41cm
mcp1k	400460	ISO	vertex ADVERSE 0.00->157.78cm
mcp1k	400504	ISO	vertex ADVERSE 0.00->1.98cm
mcp1k	402880	ISO	vertex ADVERSE 0.00->5.05cm
mcp1k	411460	control	vertex ADVERSE 2.71->12.05cm
mcp2k	47784	ISO	vertex ADVERSE 0.12->6.61cm
mcp2k	51546	ISO	numu09 0->1; vertex ADVERSE 0.00->1.57cm
mcp2k	51868	ISO	numu09 1->0; vertex ADVERSE 0.00->156.14cm
mcp2k	53881	ISO	vertex ADVERSE 0.00->4.32cm
mcp2k	55542	ISO	vertex ADVERSE 0.43->1.83cm
mcp2k	57742	ISO	vertex ADVERSE 0.31->2.38cm
mcp2k	66652	ISO	vertex ADVERSE 0.00->1.23cm
mcp2k	66872	ISO	numu09 1->0
mcp2k	70472	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 16:4 0->1; vertex ADVERSE 3.82->infcm
mcp2k	71872	ISO	numu09 1->0
mcp2k	73538	ISO	numu09 0->1
mcp2k	74146	control	vertex toward 95.97->0.44cm
mcp2k	75040	control	vertex ADVERSE 0.10->1.54cm
mcp2k	75729	control	numu09 1->0
mcp2k	77328	ISO	vertex ADVERSE 0.37->2.12cm
mcp2k	81420	ISO	vertex ADVERSE 0.40->1.43cm
mcp2k	92225	ISO	vertex ADVERSE 1.49->2.55cm
