sample	event	stratum	what
mcp1k	50787	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 6:1000007 1->0
mcp1k	51865	control	fc bundle 11:1000012 0->1
mcp1k	52085	control	vertex ADVERSE 0.09->2.69cm
mcp1k	52657	control	numu09 1->0
mcp1k	54341	ISO	numu09 0->1
mcp1k	54351	ISO	numu09 0->1
mcp1k	55539	control	numu09 0->1
mcp1k	55583	other	fc bundle 8:9 0->1
mcp1k	56211	ISO	vertex toward 6.30->1.54cm
mcp1k	56353	other	fc bundle 8:0 0->1
mcp1k	57485	control	numu09 1->0; vertex ADVERSE 0.27->39.49cm
mcp1k	58169	other	fc bundle 13:1000008 0->1
mcp1k	58345	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 7:1000009 0->1; vertex ADVERSE 46.43->infcm
mcp1k	58607	ISO	vertex ADVERSE 3.47->5.51cm
mcp1k	59085	control	numu09 0->1; vertex toward 4.94->0.43cm
mcp1k	59335	ISO	numu09 0->1; vertex toward 65.05->0.35cm
mcp1k	59663	other	fc bundle 12:1000010 0->1; fc bundle 1:9 0->1
mcp1k	59899	control	vertex toward 4.47->2.02cm
mcp1k	61579	control	vertex ADVERSE 2.43->5.66cm
mcp1k	61843	ISO	vertex ADVERSE 12.38->47.36cm
mcp1k	61997	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 12:1000003 1->0
mcp1k	62281	ISO	vertex toward 29.27->0.89cm
mcp1k	62429	other	fc bundle 2:1000011 0->1
mcp1k	62583	control	numu09 1->0
mcp1k	63163	ISO	vertex ADVERSE 0.26->1.71cm
mcp1k	63359	control	vertex toward 3.57->0.12cm
mcp1k	63493	other	fc bundle 14:1000018 0->1
mcp1k	63669	control	numu09 1->0
mcp1k	63947	other	fc bundle 11:1000011 0->1
mcp1k	64503	ISO	numu09 0->1
mcp1k	64613	control	fc bundle 3:6 0->1
mcp1k	65018	other	fc bundle 2:7 0->1
mcp1k	65025	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 16:1000009 0->1; vertex ADVERSE 0.00->infcm
mcp1k	65942	other	fc bundle 2:5 0->1
mcp1k	66118	ISO	vertex ADVERSE 0.13->70.50cm
mcp1k	66272	control	vertex ADVERSE 1.33->7.47cm
mcp1k	67152	other	fc bundle 19:1000009 0->1
mcp1k	68648	ISO	vertex ADVERSE 0.00->1.51cm
mcp1k	69308	other	fc bundle 10:1000007 0->1
mcp1k	70562	other	fc bundle 8:5 0->1
mcp1k	71046	ISO	numu09 1->0
mcp1k	71178	control	vertex toward 22.81->13.80cm
mcp1k	72586	ISO	numu09 1->0
