sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
nuecc48	388	18255	0	1	23	-163.124	31.5013	426.407	14088	1130	36	2	145.887	1.17222	0.60412	0.289321	32.6705	1.15611	0.337568	11.1794	11.1794	32.6705	22.1533	nan	0	0.391617	1.42485e+08	1	124.392	-1	-1	-1	nu-candidate	1	-1.7843726	14.311137	2715.4739	45.205	32.036	921148	{"11:1000001": "-1,-1,-1", "14:1000000": "-1,-1,-1", "15:1000005": "-1,-1,-1", "17:1000002": "-1,-1,-1", "18:6": "-1,-1,-1", "19:5": "-1,-1,-1", "20:1000006": "-1,-1,-1", "21:4": "-1,-1,-1", "22:3": "-1,-1,-1", "23:0": "0,0,0", "2:2": "-1,-1,-1", "4:1": "-1,-1,-1", "5:7": "-1,-1,-1", "9:1000003": "-1,-1,-1"}
nuecc48	10550	18255	0	1	7	89.8929	55.1206	128.743	2416	279	11	0	83.5275	1.09409	0.237396	0.283334	0	nan	nan	0	0	0	0	nan	0	0.479579	5.05703e+07	1	30.0321	-1	-1	-1	nu-candidate	1	-0.36239895	15.65356	846.2613	20.530	9.138	791840	{"10:1": "-1,-1,-1", "11:1000001": "-1,-1,-1", "12:1000002": "1,0,0", "13:6": "-1,-1,-1", "14:2": "-1,-1,-1", "15:3": "-1,-1,-1", "1:9": "-1,-1,-1", "7:1000002": "0,0,1"}
nuecc48	30504	18342	0	1	11	20.7942	-44.3868	145.018	5466	507	13	1	97.5945	1.19214	0.624286	0.402543	97.5945	1.19214	0.624286	30.1878	30.1878	97.5945	13.3962	nan	0	0.334424	5.05024e+07	1	180.789	-1	-1	-1	nu-candidate	1	-0.9163358	-3.261722	1344.9895	26.716	13.325	768064	{"10:1000003": "-1,-1,-1", "11:1000000": "0,0,1", "4:1000001": "-1,-1,-1", "6:1000002": "-1,-1,-1", "7:3": "-1,-1,-1", "8:2": "-1,-1,-1", "9:1": "-1,-1,-1"}
nuecc48	38856	18304	0	1	12	-55.607	-79.3694	409.771	8185	667	18	1	135.048	1.08217	0.2853	0.262448	80.7211	1.11176	0.313616	34.8983	34.8983	80.7211	30.5758	nan	0	0.222353	7.37364e+07	0	0	-1	-1	-1	nu-candidate	1	0.5234351	10.439015	1307.1743	29.236	15.817	830992	{"10:1000006": "-1,-1,-1", "11:5": "-1,-1,-1", "12:1": "0,0,1", "13:3": "-1,-1,-1", "14:1000004": "-1,-1,-1", "15:1000001": "-1,-1,-1", "1:4": "-1,-1,-1", "5:0": "-1,-1,-1", "8:1000000": "-1,-1,-1", "9:1000002": "-1,-1,-1"}
nuecc48	42280	18259	0	1	8	12.777	-13.8693	89.0235	15111	1317	32	2	271.987	1.26189	0.640429	0.345416	204.864	1.18948	0.6046	81.3801	81.3801	204.864	60.4024	nan	0	0.310021	1.13806e+08	1	95.5696	-1	-1	-1	nu-candidate	1	-0.42120752	6.71401	1817.0294	44.159	35.608	973056	{"10:1000004": "-1,-1,-1", "11:1000001": "-1,-1,-1", "12:1": "-1,-1,-1", "13:1000013": "-1,-1,-1", "2:8": "-1,-1,-1", "4:1000006": "-1,-1,-1", "7:0": "-1,-1,-1", "8:1000002": "0,0,1", "9:1000000": "-1,-1,-1"}
nuecc48	46363	18255	0	1	19	-46.899	22.3379	401.443	15472	1234	38	2	260.457	1.31025	0.698642	0.355622	54.2773	1.38344	1.44441	0	0	54.2773	0	nan	0	0.321015	1.06485e+08	1	587	-1	-1	-1	nu-candidate	1	-1.4333384	2.2551131	1845.054	39.516	35.443	846800	{"11:1000003": "-1,-1,-1", "13:1000001": "-1,-1,-1", "14:1000005": "-1,-1,-1", "15:12": "-1,-1,-1", "16:3": "-1,-1,-1", "17:6": "-1,-1,-1", "18:7": "-1,-1,-1", "19:0": "0,0,1", "4:1": "-1,-1,-1", "7:1000008": "-1,-1,-1", "9:1000002": "-1,-1,-1"}
nuecc48	52672	18259	0	1	82	-136.12	67.0904	295.651	278	35	2	0	11.0872	1.07708	0.217145	0.235294	0	nan	nan	0	0	0	0	nan	0	0.413328	5.64977e+06	1	448.427	-1	-1	-1	nu-candidate	1	-0.051184267	-15.0	836.636	18.179	12.485	794704	{"10:1": "-1,-1,-1", "11:11": "-1,-1,-1", "12:12": "-1,-1,-1", "1:2": "-1,-1,-1", "3:3": "-1,-1,-1", "4:7": "-1,-1,-1", "5:1000000": "-1,-1,-1", "7:1000001": "-1,-1,-1", "8:1000002": "-1,-1,-1", "9:0": "0,0,1"}
nuecc48	54095	18259	0	1	17	175.906	26.8337	186.381	22845	2504	55	4	306.957	1.23365	0.72196	0.288816	162.173	1.23723	0.944327	44.519	0	162.173	15.0047	nan	0	0.351992	1.83364e+08	1	32.4957	-1	-1	-1	nu-candidate	1	0.049476534	11.129099	2823.9268	60.760	55.736	976772	{"11:1000011": "-1,-1,-1", "14:1000005": "-1,-1,-1", "16:3": "-1,-1,-1", "17:1000000": "0,0,0", "18:1000001": "-1,-1,-1", "19:1000003": "-1,-1,-1", "20:1000004": "-1,-1,-1", "2:11": "-1,-1,-1", "3:9": "-1,-1,-1", "4:2": "-1,-1,-1", "7:1": "-1,-1,-1", "9:5": "-1,-1,-1"}
nuecc48	69314	18255	0	1	3	-111.999	-18.4189	164.537	2986	404	9	1	277.622	1.05064	0.660425	0.150808	194.114	1.06123	0.859243	194.114	151.065	194.114	0	48619	243	0.0793363	6.1067e+07	1	1.04859	360	0.377621	355.735	nu-candidate	1	2.283815	-15.0	1316.9812	15.569	11.649	766860	{"10:0": "-1,-1,-1", "11:1000011": "-1,-1,-1", "12:1000013": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000002": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:15": "-1,-1,-1", "18:1000001": "-1,-1,-1", "19:3": "-1,-1,-1", "1:11": "-1,-1,-1", "2:9": "-1,-1,-1", "3:1": "0,0,1", "5:5": "-1,-1,-1", "7:4": "-1,-1,-1"}
nuecc48	74544	18259	0	1	12	135.59	-170.582	406.263	14078	1173	42	4	186.836	1.21387	0.498279	0.312472	122.249	1.15426	0.374805	72.8998	41.6788	122.249	12.8563	nan	0	0.293841	1.28112e+08	1	112.124	-1	-1	-1	nu-candidate	1	-1.063211	9.573264	2033.9957	45.329	40.752	876816	{"10:5": "-1,-1,-1", "11:2": "-1,-1,-1", "12:1000000": "0,0,0", "13:3": "-1,-1,-1", "14:7": "-1,-1,-1", "15:1000003": "-1,-1,-1", "3:4": "-1,-1,-1", "5:10": "-1,-1,-1", "6:1000011": "-1,-1,-1"}
