sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
ncpi0	18625	18259	0	1	11	146.593	84.9358	165.724	1509	172	2	0	160.283	1.05033	2.49943	0.0906514	99.2988	1.07577	3.79124	99.2988	99.2988	99.2988	0	55301.9	156	0.0167243	4.19417e+07	1	21.7241	236.162	0.205131	247.48	nu-candidate	1	2.6745281	-15.0	1383.3833	15.426	14.181	1255824	{"11:1000000": "0,0,1", "13:6": "-1,-1,-1", "14:7": "-1,-1,-1", "15:1000003": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:0": "0,0,0", "18:5": "-1,-1,-1", "1:11": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000008": "-1,-1,-1", "6:1000010": "-1,-1,-1", "8:1000006": "-1,-1,-1"}
ncpi0	21073	18345	0	1	11	-32.9677	24.4544	363.285	2013	231	3	0	116.55	1.03057	0.575226	0.0934197	0	nan	nan	0	0	0	0	79801.3	141	0.548116	5.58155e+07	1	215.873	541.89	0.814108	228.129	nu-candidate	1	1.0985456	-2.3960397	1232.4249	21.697	20.740	1192200	{"10:1000000": "-1,-1,-1", "11:0": "0,0,1", "12:1000010": "-1,-1,-1", "1:11": "-1,-1,-1", "4:2": "-1,-1,-1", "5:4": "-1,-1,-1", "6:1000011": "-1,-1,-1", "7:1000008": "-1,-1,-1", "8:1000002": "-1,-1,-1", "9:1": "-1,-1,-1"}
ncpi0	37112	18259	0	1	84	-166.226	72.1183	7.68988	499	63	3	0	26.4455	1.0398	0.320361	0.046764	10.3684	1.01994	0.0762461	10.3684	0	10.3684	0	nan	0	0.258311	1.96639e+07	1	278.349	125.555	0.854656	119.641	nu-candidate	1	0.4640569	-1.8137592	656.62415	10.956	9.926	1190768	{"10:1000001": "-1,-1,-1", "11:9": "-1,-1,-1", "12:1000007": "-1,-1,-1", "13:1000012": "-1,-1,-1", "1:7": "-1,-1,-1", "2:2": "-1,-1,-1", "3:8": "-1,-1,-1", "5:1000002": "-1,-1,-1", "6:1000009": "-1,-1,-1", "7:1000005": "-1,-1,-1", "8:1000003": "-1,-1,-1", "9:0": "0,0,1"}
ncpi0	56982	18255	0	1	22	-106.758	-165.386	361.293	5395	518	25	3	121.764	1.09989	0.509853	0.306247	66.7193	1.11612	0.557044	15.4788	15.4788	66.7193	28.6443	nan	0	0.199854	5.65051e+07	1	148.6	-1	-1	-1	nu-candidate	1	0.22825332	-15.0	1026.9922	17.443	16.465	1244264	{"10:1000001": "-1,-1,-1", "12:1000002": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:2": "-1,-1,-1", "18:1000000": "-1,-1,-1", "19:10": "-1,-1,-1", "1:5": "-1,-1,-1", "20:0": "-1,-1,-1", "21:1000006": "-1,-1,-1", "22:3": "0,0,1", "3:1": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000013": "-1,-1,-1", "6:1000012": "-1,-1,-1", "7:1000014": "-1,-1,-1"}
ncpi0	71372	18255	0	1	19	-165.455	-152.552	226.281	7370	745	21	1	202.142	1.32094	0.899151	0.336461	106.228	1.17253	0.319678	42.3684	42.3684	106.228	0	nan	0	0.466989	7.11579e+07	1	667.222	158.72	0.94646	164.888	nu-candidate	1	-0.7076052	4.2154927	2104.3882	37.304	36.328	1326260	{"10:6": "-1,-1,-1", "12:1000003": "-1,-1,-1", "14:1000010": "-1,-1,-1", "15:1000001": "-1,-1,-1", "16:8": "-1,-1,-1", "17:1000000": "-1,-1,-1", "18:7": "-1,-1,-1", "19:0": "0,0,0", "20:13": "-1,-1,-1", "21:9": "-1,-1,-1", "2:15": "-1,-1,-1", "5:1": "-1,-1,-1", "8:10": "-1,-1,-1"}
ncpi0	84229	18364	0	1	19	97.4946	122.798	384.502	845	149	4	0	105.476	1.09126	0.179303	0.164851	79.5672	1.11901	0.199573	79.5672	79.5672	79.5672	0	76683.8	87	0.198741	2.90036e+07	1	171.25	-1	-1	-1	nu-candidate	1	0.4752929	-15.0	1570.6204	16.860	15.867	1207252	{"10:10": "-1,-1,-1", "11:0": "-1,-1,-1", "12:2": "-1,-1,-1", "1:4": "-1,-1,-1", "2:1000006": "-1,-1,-1", "4:1000007": "-1,-1,-1", "6:1000001": "-1,-1,-1", "7:1000004": "-1,-1,-1", "8:1": "-1,-1,-1", "9:1000000": "0,0,1"}
ncpi0	105946	18259	0	1	14	-134.466	-146.793	401.073	453	78	1	0	48.4757	1.01716	0.429527	0.0875	0	nan	nan	0	0	0	0	nan	0	0.158575	2.40479e+07	1	63.4138	-1	-1	-1	nu-candidate	1	-0.15192959	-15.0	870.82666	10.408	11.004	1156800	{"10:9": "-1,-1,-1", "11:10": "-1,-1,-1", "12:7": "-1,-1,-1", "13:5": "-1,-1,-1", "14:0": "0,0,1", "2:4": "-1,-1,-1", "5:1": "-1,-1,-1", "6:1000009": "-1,-1,-1", "7:1000001": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
ncpi0	114446	18255	0	1	21	-66.1055	-64.2992	332.896	196	28	1	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.0102566	5.35107e+06	1	5.40005	-1	-1	-1	nu-candidate	1	-2.7398417	-15.0	127.37239	4.581	5.122	1217008	{"11:1000007": "-1,-1,-1", "13:1000000": "-1,-1,-1", "16:1000006": "-1,-1,-1", "17:11": "-1,-1,-1", "18:1000004": "-1,-1,-1", "19:2": "-1,-1,-1", "20:1": "-1,-1,-1", "21:0": "0,0,1", "22:1000003": "-1,-1,-1", "23:1000002": "-1,-1,-1", "24:1000001": "-1,-1,-1", "2:4": "-1,-1,-1", "7:6": "-1,-1,-1", "9:5": "-1,-1,-1"}
ncpi0	142421	18255	0	1	7	118.304	-69.8127	208.877	8611	1269	10	3	495.128	1.06611	1.48265	0.164955	234.444	1.04426	1.34822	234.444	234.444	234.444	20.7877	51005.4	235	0.2525	1.59347e+08	1	637.584	835.414	0.755926	347.19	nu-candidate	1	2.8805976	-15.0	2733.665	21.883	22.527	1296128	{"10:3": "-1,-1,-1", "11:4": "-1,-1,-1", "12:0": "-1,-1,-1", "13:14": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000009": "-1,-1,-1", "16:2": "-1,-1,-1", "17:1000013": "-1,-1,-1", "2:1": "-1,-1,-1", "7:1000000": "0,0,0", "8:1000012": "-1,-1,-1"}
ncpi0	180801	18255	0	1	15	-31.4095	-15.7136	439.272	2636	245	6	0	92.1092	1.11888	0.92372	0.293992	24.6518	1.08766	0.704848	24.6518	0	24.6518	0	57063.8	32	0.399185	3.47127e+07	1	489.017	-1	-1	-1	nu-candidate	1	0.3928289	-3.888323	1237.4756	12.472	13.140	1291692	{"10:1000000": "-1,-1,-1", "11:3": "-1,-1,-1", "12:4": "-1,-1,-1", "13:1000009": "-1,-1,-1", "14:1000007": "-1,-1,-1", "15:2": "0,0,1", "16:1": "-1,-1,-1", "17:7": "-1,-1,-1", "18:1000003": "-1,-1,-1", "19:1000010": "-1,-1,-1", "5:5": "-1,-1,-1", "6:1000015": "-1,-1,-1", "9:1000001": "-1,-1,-1"}
