sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
nuecc48	388	18255	0	1	23	-163.204	31.43	426.321	10497	741	24	1	177.703	1.17799	0.626182	0.327139	56.7944	1.10288	0.557493	24.892	10.6443	56.7944	23.8432	nan	0	0.477983	1.42485e+08	1	121.937	-1	-1	-1	nu-candidate	1	-1.3693664	10.375843	2805.527	52.667	39.815	1331628	{"11:1000001": "-1,-1,-1", "14:1000000": "-1,-1,-1", "15:1000005": "-1,-1,-1", "17:1000002": "-1,-1,-1", "18:6": "-1,-1,-1", "19:5": "-1,-1,-1", "20:1000006": "-1,-1,-1", "21:4": "-1,-1,-1", "22:3": "-1,-1,-1", "23:0": "0,0,0", "2:2": "-1,-1,-1", "4:1": "-1,-1,-1", "5:7": "-1,-1,-1", "9:1000003": "-1,-1,-1"}
nuecc48	10550	18255	0	1	7	89.9392	55.097	128.695	1511	151	11	0	68.1356	1.09909	0.288981	0.214289	0	nan	nan	0	0	0	0	nan	0	0.453594	5.05703e+07	1	14.5722	-1	-1	-1	nu-candidate	1	-0.44779542	13.95459	827.727	25.483	14.270	1220648	{"10:1": "-1,-1,-1", "11:1000001": "-1,-1,-1", "12:1000002": "1,0,0", "13:6": "-1,-1,-1", "14:2": "-1,-1,-1", "15:3": "-1,-1,-1", "1:9": "-1,-1,-1", "7:1000002": "0,0,1"}
nuecc48	30504	18342	0	1	11	25.6477	-46.7695	114.271	4173	344	11	0	122.761	1.09619	0.358262	0.313222	122.761	1.09619	0.358262	41.7918	41.7918	122.761	52.9729	nan	0	0.286669	5.05024e+07	1	51.829	-1	-1	-1	nu-candidate	1	-0.19333471	1.1271826	1245.306	33.348	19.724	1193224	{"10:1000003": "-1,-1,-1", "11:1000000": "0,0,1", "4:1000001": "-1,-1,-1", "6:1000002": "-1,-1,-1", "7:3": "-1,-1,-1", "8:2": "-1,-1,-1", "9:1": "-1,-1,-1"}
nuecc48	38856	18304	0	1	12	-58.3103	-67.3658	428.216	5935	446	24	2	151.121	1.16841	0.466082	0.269863	75.8338	1.18647	0.463169	36.9546	36.9546	75.8338	11.0347	nan	0	0.26632	7.37364e+07	1	288.517	-1	-1	-1	nu-candidate	1	-1.0384529	-4.8416224	1201.5735	38.375	28.011	1268828	{"10:1000006": "-1,-1,-1", "11:5": "-1,-1,-1", "12:1": "0,0,1", "13:3": "-1,-1,-1", "14:1000004": "-1,-1,-1", "15:1000001": "-1,-1,-1", "1:4": "-1,-1,-1", "5:0": "-1,-1,-1", "8:1000000": "-1,-1,-1", "9:1000002": "-1,-1,-1"}
nuecc48	42280	18259	0	1	8	14.325	-11.9908	89.3856	11157	867	41	2	236.488	1.24766	0.528519	0.324098	176.477	1.18318	0.543572	62.8495	62.8495	176.477	69.5535	nan	0	0.277386	1.13806e+08	1	45.2041	-1	-1	-1	nu-candidate	1	-1.1812675	11.494987	1808.6981	67.540	57.485	1314656	{"10:1000004": "-1,-1,-1", "11:1000001": "-1,-1,-1", "12:1": "-1,-1,-1", "13:1000013": "-1,-1,-1", "2:8": "-1,-1,-1", "4:1000006": "-1,-1,-1", "7:0": "-1,-1,-1", "8:1000002": "0,0,1", "9:1000000": "-1,-1,-1"}
nuecc48	46363	18255	0	1	19	-78.5474	16.3411	297.76	11365	795	36	0	222.634	1.21063	0.467269	0.2938	41.2557	1.12854	0.333626	17.4674	17.4674	41.2557	17.4674	nan	0	0.283512	1.06485e+08	1	52.8587	-1	-1	-1	nu-candidate	1	-0.730033	8.0411415	1718.1022	51.795	44.971	1243948	{"11:1000003": "-1,-1,-1", "13:1000001": "-1,-1,-1", "14:1000005": "-1,-1,-1", "15:12": "-1,-1,-1", "16:3": "-1,-1,-1", "17:6": "-1,-1,-1", "18:7": "-1,-1,-1", "19:0": "0,0,1", "4:1": "-1,-1,-1", "7:1000008": "-1,-1,-1", "9:1000002": "-1,-1,-1"}
nuecc48	52672	18259	0	1	82	-136.097	66.5683	295.721	187	24	2	0	11.1615	1.08687	0.217499	0.166667	0	nan	nan	0	0	0	0	nan	0	0.479019	5.64977e+06	1	41.8689	-1	-1	-1	nu-candidate	1	-0.22797446	6.7720437	888.20966	25.528	16.294	1205064	{"10:1": "-1,-1,-1", "11:11": "-1,-1,-1", "12:12": "-1,-1,-1", "1:2": "-1,-1,-1", "3:3": "-1,-1,-1", "4:7": "-1,-1,-1", "5:1000000": "-1,-1,-1", "7:1000001": "-1,-1,-1", "8:1000002": "-1,-1,-1", "9:0": "0,0,1"}
nuecc48	54095	18259	0	1	17	175.628	27.0083	186.582	16939	1510	38	0	339.651	1.21031	0.72132	0.261093	161.299	1.2013	0.943754	100.83	66.8452	161.299	62.4266	nan	0	0.355733	1.83364e+08	1	142.315	-1	-1	-1	nu-candidate	1	-0.6553314	11.628459	2784.5332	76.373	68.692	1366772	{"11:1000011": "-1,-1,-1", "14:1000005": "-1,-1,-1", "16:3": "-1,-1,-1", "17:1000000": "0,0,0", "18:1000001": "-1,-1,-1", "19:1000003": "-1,-1,-1", "20:1000004": "-1,-1,-1", "2:11": "-1,-1,-1", "3:9": "-1,-1,-1", "4:2": "-1,-1,-1", "7:1": "-1,-1,-1", "9:5": "-1,-1,-1"}
nuecc48	69314	18255	0	1	3	-111.456	-18.3662	164.555	2287	294	9	1	272.567	1.05939	1.38609	0.175236	199.119	1.07403	1.85931	189.03	156.571	199.119	156.571	50545	50	0.0709116	6.1067e+07	1	12.7411	-1	-1	-1	nu-candidate	1	1.8765004	-15.0	1402.1908	26.570	19.566	1193100	{"10:0": "-1,-1,-1", "11:1000011": "-1,-1,-1", "12:1000013": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000002": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:15": "-1,-1,-1", "18:1000001": "-1,-1,-1", "19:3": "-1,-1,-1", "1:11": "-1,-1,-1", "2:9": "-1,-1,-1", "3:1": "0,0,1", "5:5": "-1,-1,-1", "7:4": "-1,-1,-1"}
nuecc48	74544	18259	0	1	12	135.848	-170.29	406.248	10384	762	35	2	151.79	1.18029	0.577944	0.335659	97.5164	1.1224	0.375646	46.3353	46.3353	97.5164	15.6397	nan	0	0.242699	1.28112e+08	1	72.2156	-1	-1	-1	nu-candidate	1	0.0012214635	11.293553	2051.899	55.656	48.151	1280352	{"10:5": "-1,-1,-1", "11:2": "-1,-1,-1", "12:1000000": "0,0,0", "13:3": "-1,-1,-1", "14:7": "-1,-1,-1", "15:1000003": "-1,-1,-1", "3:4": "-1,-1,-1", "5:10": "-1,-1,-1", "6:1000011": "-1,-1,-1"}
nuecc48	81597	18313	0	1	19	-179.507	39.9416	358.389	6316	507	20	0	150.013	1.18121	0.585646	0.282555	46.1192	1.17912	0.305689	27.5086	27.5086	46.1192	11.2047	nan	0	0.37807	9.06505e+07	0	0	-1	-1	-1	nu-candidate	1	-0.81684387	12.811575	1474.1246	40.826	30.344	1280708	{"10:1000001": "-1,-1,-1", "11:1000003": "-1,-1,-1", "13:1000002": "-1,-1,-1", "15:1000005": "-1,-1,-1", "16:8": "-1,-1,-1", "17:4": "-1,-1,-1", "18:1000000": "-1,-1,-1", "19:0": "0,0,0", "20:1000011": "-1,-1,-1", "2:1": "-1,-1,-1", "4:3": "-1,-1,-1", "7:2": "-1,-1,-1", "9:1000008": "-1,-1,-1"}
nuecc48	90055	18255	0	1	11	129.122	25.2031	202.087	11120	913	34	2	258.547	1.16915	0.472478	0.270063	133.025	1.13309	0.406479	82.2231	82.2231	133.025	44.5617	nan	0	0.294242	1.2332e+08	1	143.816	-1	-1	-1	nu-candidate	1	-0.6261592	9.69428	2360.1567	71.754	60.592	1346900	{"10:5": "-1,-1,-1", "11:1000000": "0,0,1", "2:1": "-1,-1,-1", "3:3": "-1,-1,-1", "5:7": "-1,-1,-1", "6:0": "-1,-1,-1", "7:9": "-1,-1,-1", "8:1000002": "-1,-1,-1"}
nuecc48	111412	18259	0	1	18	178.471	90.8152	198.287	4459	358	15	3	104.094	1.11005	0.44952	0.309933	104.094	1.11005	0.44952	77.0953	77.0953	104.094	87.3275	nan	0	0.316687	5.52267e+07	1	29.4264	-1	-1	-1	nu-candidate	1	-0.20838912	-5.0872474	1057.9808	24.640	16.699	1254860	{"10:1000001": "-1,-1,-1", "11:1000014": "-1,-1,-1", "13:1000004": "-1,-1,-1", "14:1000005": "-1,-1,-1", "15:1000002": "-1,-1,-1", "16:1000007": "-1,-1,-1", "17:1000006": "-1,-1,-1", "18:1000000": "0,0,1", "19:1": "-1,-1,-1", "1:4": "-1,-1,-1", "20:9": "-1,-1,-1", "21:6": "-1,-1,-1", "22:1000018": "-1,-1,-1", "4:7": "-1,-1,-1", "6:3": "-1,-1,-1", "8:2": "-1,-1,-1"}
