sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
ncpi0	18625	18259	0	1	11	146.904	84.7047	166.481	856	142	2	0	158.642	1.04788	2.54821	0.141256	97.5405	1.06488	3.89906	97.5405	97.5405	97.5405	0	52979.3	153	0.0239346	4.19417e+07	1	25.9634	236.679	0.270916	243.99	nu-candidate	1	2.796138	-15.0	1448.6327	15.947	8.176	814448	{"11:1000000": "0,0,1", "13:6": "-1,-1,-1", "14:7": "-1,-1,-1", "15:1000003": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:0": "0,0,0", "18:5": "-1,-1,-1", "1:11": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000008": "-1,-1,-1", "6:1000010": "-1,-1,-1", "8:1000006": "-1,-1,-1"}
ncpi0	21073	18345	0	1	11	-35.7258	23.3094	367.396	1120	194	4	0	99.9665	1.01188	0.523233	0.0484807	0	nan	nan	0	0	0	0	nan	0	0.551359	5.58155e+07	1	97.2206	-1	-1	-1	nu-candidate	1	0.47431564	-15.0	995.53503	17.064	9.289	743220	{"10:1000000": "-1,-1,-1", "11:0": "0,0,1", "12:1000010": "-1,-1,-1", "1:11": "-1,-1,-1", "4:2": "-1,-1,-1", "5:4": "-1,-1,-1", "6:1000011": "-1,-1,-1", "7:1000008": "-1,-1,-1", "8:1000002": "-1,-1,-1", "9:1": "-1,-1,-1"}
ncpi0	37112	18259	0	1	9	-167.934	72.6622	36.0801	1068	150	7	0	53.9819	1.08349	0.275751	0.290073	53.9819	1.08349	0.275751	12.6873	12.6873	53.9819	12.6873	nan	0	0.322546	3.70418e+07	1	603.475	-1	-1	-1	nu-candidate	1	0.0068570063	1.5301839	994.3787	12.226	5.578	742948	{"10:1000001": "-1,-1,-1", "11:9": "-1,-1,-1", "12:1000007": "-1,-1,-1", "13:1000012": "-1,-1,-1", "1:7": "-1,-1,-1", "2:2": "-1,-1,-1", "3:8": "-1,-1,-1", "5:1000002": "-1,-1,-1", "6:1000009": "-1,-1,-1", "7:1000005": "-1,-1,-1", "8:1000003": "-1,-1,-1", "9:0": "0,0,1"}
ncpi0	56982	18255	0	1	22	-105.655	-162.839	365.94	2339	363	15	1	138.802	1.58075	0.837135	0.326117	78.1283	1.55985	0.661589	46.8675	34.3762	78.1283	12.2169	nan	0	0.281894	5.65051e+07	1	45.3412	-1	-1	-1	nu-candidate	1	-0.5340754	7.264064	1358.5938	15.963	8.627	785472	{"10:1000001": "-1,-1,-1", "12:1000002": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:2": "-1,-1,-1", "18:1000000": "-1,-1,-1", "19:10": "-1,-1,-1", "1:5": "-1,-1,-1", "20:0": "-1,-1,-1", "21:1000006": "-1,-1,-1", "22:3": "0,0,1", "3:1": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000013": "-1,-1,-1", "6:1000012": "-1,-1,-1", "7:1000014": "-1,-1,-1"}
ncpi0	71372	18255	0	1	94	-149.691	-167.375	216.696	276	61	4	1	18.1345	1.02529	0.129329	0.0689655	0	nan	nan	0	0	0	0	nan	0	0.584307	1.51049e+07	1	165.675	1301.22	0.969144	159.061	nu-candidate	1	-0.6277828	-15.0	2182.2734	21.932	16.889	877016	{"10:6": "-1,-1,-1", "12:1000003": "-1,-1,-1", "14:1000010": "-1,-1,-1", "15:1000001": "-1,-1,-1", "16:8": "-1,-1,-1", "17:1000000": "-1,-1,-1", "18:7": "-1,-1,-1", "19:0": "0,0,0", "20:13": "-1,-1,-1", "21:9": "-1,-1,-1", "2:15": "-1,-1,-1", "5:1": "-1,-1,-1", "8:10": "-1,-1,-1"}
ncpi0	84229	18364	0	1	19	97.313	123.084	384.474	530	98	2	0	87.0492	1.03709	0.314351	0.111421	61.1562	1.04631	0.386816	61.1562	61.1562	61.1562	0	82990.7	93	0.222242	2.90036e+07	1	608.052	511.291	0.927899	165.461	nu-candidate	1	-0.42908373	-15.0	1455.6143	17.220	11.433	757612	{"10:10": "-1,-1,-1", "11:0": "-1,-1,-1", "12:2": "-1,-1,-1", "1:4": "-1,-1,-1", "2:1000006": "-1,-1,-1", "4:1000007": "-1,-1,-1", "6:1000001": "-1,-1,-1", "7:1000004": "-1,-1,-1", "8:1": "-1,-1,-1", "9:1000000": "0,0,1"}
ncpi0	105946	18259	0	1	14	-134.39	-146.772	400.967	382	73	1	0	48.7954	1.01759	0.400741	0.0375	0	nan	nan	0	0	0	0	nan	0	0.152739	2.40479e+07	1	35.4754	-1	-1	-1	nu-candidate	1	-0.15192959	-15.0	923.223	13.238	5.487	711120	{"10:9": "-1,-1,-1", "11:10": "-1,-1,-1", "12:7": "-1,-1,-1", "13:5": "-1,-1,-1", "14:0": "0,0,1", "2:4": "-1,-1,-1", "5:1": "-1,-1,-1", "6:1000009": "-1,-1,-1", "7:1000001": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
ncpi0	114446	18255	0	1	21	-65.9857	-64.3471	333.043	106	26	1	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.0102566	5.35107e+06	1	5.41556	-1	-1	-1	nu-candidate	1	-2.7398417	-15.0	125.77045	11.456	3.712	777076	{"11:1000007": "-1,-1,-1", "13:1000000": "-1,-1,-1", "16:1000006": "-1,-1,-1", "17:11": "-1,-1,-1", "18:1000004": "-1,-1,-1", "19:2": "-1,-1,-1", "20:1": "-1,-1,-1", "21:0": "0,0,1", "22:1000003": "-1,-1,-1", "23:1000002": "-1,-1,-1", "24:1000001": "-1,-1,-1", "2:4": "-1,-1,-1", "7:6": "-1,-1,-1", "9:5": "-1,-1,-1"}
ncpi0	142421	18255	0	1	7	118.333	-69.6152	208.879	4640	999	8	1	509.305	1.0473	0.863248	0.183877	306.708	1.05415	1.10636	306.708	306.708	306.708	21.9206	50364.5	232	0.273033	1.59347e+08	1	137.29	922.005	0.785714	344.067	nu-candidate	1	3.0504136	-15.0	2678.3403	20.386	14.732	847244	{"10:3": "-1,-1,-1", "11:4": "-1,-1,-1", "12:0": "-1,-1,-1", "13:14": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000009": "-1,-1,-1", "16:2": "-1,-1,-1", "17:1000013": "-1,-1,-1", "2:1": "-1,-1,-1", "7:1000000": "0,0,0", "8:1000012": "-1,-1,-1"}
ncpi0	180801	18255	0	1	15	-33.7396	-15.9182	443.848	1358	190	9	0	119.24	1.16075	0.575446	0.285295	106.152	1.13964	0.552051	58.4865	0	106.152	33.9403	nan	0	0.418279	3.47127e+07	1	114.077	-1	-1	-1	nu-candidate	1	1.3591492	-3.5903554	1302.4683	15.300	7.886	846716	{"10:1000000": "-1,-1,-1", "11:3": "-1,-1,-1", "12:4": "-1,-1,-1", "13:1000009": "-1,-1,-1", "14:1000007": "-1,-1,-1", "15:2": "0,0,1", "16:1": "-1,-1,-1", "17:7": "-1,-1,-1", "18:1000003": "-1,-1,-1", "19:1000010": "-1,-1,-1", "5:5": "-1,-1,-1", "6:1000015": "-1,-1,-1", "9:1000001": "-1,-1,-1"}
ncpi0	259542	18345	0	1	17	106.542	8.16235	70.3178	1612	229	9	1	67.8577	1.12418	0.53552	0.349435	67.8577	1.12418	0.53552	28.4245	11.0596	67.8577	11.0596	nan	0	0.320778	4.72544e+07	1	794.569	-1	-1	-1	nu-candidate	1	-1.1751095	-1.3078473	1941.7046	14.270	8.789	847112	{"12:1000003": "-1,-1,-1", "13:1000006": "-1,-1,-1", "15:1000002": "-1,-1,-1", "16:1000014": "-1,-1,-1", "17:1000000": "0,0,1", "18:14": "-1,-1,-1", "19:1000005": "-1,-1,-1", "1:10": "-1,-1,-1", "20:8": "-1,-1,-1", "21:1000001": "-1,-1,-1", "2:2": "-1,-1,-1", "5:4": "-1,-1,-1", "8:7": "-1,-1,-1"}
ncpi0	285567	18261	0	1	8	59.7097	-178.007	272.33	2697	479	17	2	286.761	1.07252	0.706071	0.165216	84.5051	1.1137	0.636306	73.0122	73.0122	84.5051	84.5051	49803.5	129	0.261613	1.2129e+08	1	198.423	427.316	0.978498	135.769	nu-candidate	1	0.8297899	-3.9364104	2169.067	21.704	15.318	861172	{"10:3": "-1,-1,-1", "11:4": "-1,-1,-1", "12:1000003": "-1,-1,-1", "2:0": "-1,-1,-1", "6:1000002": "-1,-1,-1", "7:1000001": "-1,-1,-1", "8:1000000": "0,0,0", "9:1": "-1,-1,-1"}
