sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp1k	48367	18255	0	1	19	-161.689	-91.0391	172.621	1330	156	1	0	171.371	1.04554	3.21661	0.140351	171.371	1.04554	3.21661	171.371	171.371	171.371	171.371	51779.7	277	0.173754	3.49879e+07	1	33.3557	407.915	0.257134	400.349	nu-candidate	1	2.2742867	-15.0	1018.6996	21.373	10.605	1273840	{"11:1000006": "-1,-1,-1", "12:1000012": "-1,-1,-1", "15:1000000": "-1,-1,-1", "17:1000007": "-1,-1,-1", "18:1000002": "-1,-1,-1", "19:1": "0,0,0", "1:11": "-1,-1,-1", "20:3": "-1,-1,-1", "21:7": "-1,-1,-1", "22:4": "-1,-1,-1", "2:8": "-1,-1,-1", "4:2": "-1,-1,-1", "6:5": "-1,-1,-1", "8:1000001": "-1,-1,-1", "9:1000008": "-1,-1,-1"}
mcp1k	48895	18255	0	1	17	-164.799	-165.34	185.413	2570	278	1	0	176.255	1.04845	0.883319	0.1843	176.255	1.04845	0.883319	176.255	176.255	176.255	0	51368.9	285	0.20179	3.98544e+07	1	1.14979	1013.4	0.841104	409.983	nu-candidate	1	3.6091805	-15.0	524.72864	16.752	7.704	1217436	{"12:1000003": "-1,-1,-1", "13:1000004": "-1,-1,-1", "14:1000000": "-1,-1,-1", "15:1": "-1,-1,-1", "16:0": "-1,-1,-1", "17:4": "0,0,0", "1:7": "-1,-1,-1", "4:3": "-1,-1,-1", "5:2": "-1,-1,-1", "7:1000007": "-1,-1,-1", "8:1000014": "-1,-1,-1", "9:1000009": "-1,-1,-1"}
mcp1k	50303	18255	0	1	12	132.911	55.3278	179.708	796	100	2	0	47.1245	1.0247	0.272367	0.0648345	0	nan	nan	0	0	0	0	75033.6	32	0.356379	2.74742e+07	1	1.93628	-1	-1	-1	nu-candidate	1	1.3172823	-15.0	392.55292	11.109	5.786	1190056	{"10:1000003": "-1,-1,-1", "11:1": "-1,-1,-1", "12:1000001": "0,0,1", "13:2": "-1,-1,-1", "14:1000015": "-1,-1,-1", "1:8": "-1,-1,-1", "3:5": "-1,-1,-1", "5:1000002": "-1,-1,-1", "7:1000000": "-1,-1,-1", "8:1000012": "-1,-1,-1", "9:0": "-1,-1,-1"}
mcp1k	50831	18255	0	1	14	-137.665	-124.516	415.741	217	37	2	0	11.4098	1.00914	0.0618708	0.0555556	0	nan	nan	0	0	0	0	nan	0	0.0203582	1.01199e+07	1	4.00076	-1	-1	-1	nu-candidate	1	-1.8491305	-15.0	235.24982	15.109	6.058	1204456	{"10:1000003": "-1,-1,-1", "11:1000002": "-1,-1,-1", "12:1000010": "-1,-1,-1", "13:1000000": "-1,-1,-1", "14:1": "0,0,1", "15:1000008": "-1,-1,-1", "1:5": "-1,-1,-1", "3:2": "-1,-1,-1", "4:4": "-1,-1,-1", "7:1000007": "-1,-1,-1", "8:1000005": "-1,-1,-1", "9:1000009": "-1,-1,-1"}
mcp1k	54341	18255	0	1	18	117.099	164.441	141.593	745	104	4	1	55.6523	1.02238	0.219576	0.054934	33.0178	1.03111	0.262364	33.0178	33.0178	33.0178	33.0178	79792.7	29	0.145512	2.65781e+07	1	23.1946	-1	-1	-1	nu-candidate	1	0.76683736	-15.0	903.9552	21.304	9.242	1251768	{"12:3": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:18": "-1,-1,-1", "15:1000010": "-1,-1,-1", "16:1000002": "-1,-1,-1", "17:1000011": "-1,-1,-1", "18:1000006": "0,0,1", "19:1000000": "-1,-1,-1", "20:1000005": "-1,-1,-1", "21:6": "-1,-1,-1", "22:1000012": "-1,-1,-1", "23:1000017": "-1,-1,-1", "24:1000001": "-1,-1,-1", "4:1000015": "-1,-1,-1", "8:1000009": "-1,-1,-1", "9:1000007": "-1,-1,-1"}
mcp1k	54351	18255	0	1	17	-140.437	81.2998	189.506	1256	212	4	0	97.5994	1.02335	1.04347	0.0559322	41.8519	1.04771	2.04291	41.8519	41.8519	41.8519	0	66650.8	61	0.0251233	2.99262e+07	1	4.3391	102.764	0.742312	124.732	nu-candidate	1	1.1291915	-15.0	758.01117	15.205	6.928	1195100	{"10:1000000": "-1,-1,-1", "12:1000001": "-1,-1,-1", "13:1000005": "-1,-1,-1", "14:12": "-1,-1,-1", "15:2": "-1,-1,-1", "16:4": "-1,-1,-1", "17:1": "0,0,1", "18:1000012": "-1,-1,-1", "2:0": "-1,-1,-1", "3:6": "-1,-1,-1", "5:5": "-1,-1,-1", "7:3": "-1,-1,-1", "9:1000002": "-1,-1,-1"}
mcp1k	55595	18255	0	1	8	-178.351	-54.2276	196.758	2278	263	5	0	210.755	1.05181	0.532668	0.180385	199.995	1.05414	0.553029	189.62	189.62	199.995	0	51755.3	307	0.152531	5.04217e+07	1	19.7482	486.843	0.30878	439.538	nu-candidate	1	2.4777155	-13.28854	720.3151	12.425	9.090	1166268	{"10:1000006": "-1,-1,-1", "1:1": "-1,-1,-1", "2:1000005": "-1,-1,-1", "4:1000001": "-1,-1,-1", "5:8": "-1,-1,-1", "6:1000000": "-1,-1,-1", "7:3": "-1,-1,-1", "8:0": "0,0,0", "9:1000002": "-1,-1,-1"}
mcp1k	55627	18255	0	1	22	-80.5174	60.0959	182.117	2818	444	4	1	198.024	1.00729	0.237652	0.0213931	0	nan	nan	0	0	0	0	50523.7	289	0.225134	4.66615e+07	1	3.58354	951.217	0.679263	429.94	nu-candidate	1	6.3238626	-15.0	690.0354	13.438	7.679	1246924	{"11:1": "-1,-1,-1", "12:1000009": "-1,-1,-1", "15:1000000": "-1,-1,-1", "16:1000006": "-1,-1,-1", "17:1000004": "-1,-1,-1", "18:1000002": "-1,-1,-1", "19:4": "-1,-1,-1", "1:17": "-1,-1,-1", "20:1000003": "-1,-1,-1", "21:1000001": "-1,-1,-1", "22:5": "0,0,0", "23:7": "-1,-1,-1", "24:10": "-1,-1,-1", "4:0": "-1,-1,-1", "6:6": "-1,-1,-1", "8:11": "-1,-1,-1"}
mcp1k	55715	18255	0	1	15	-48.0583	-38.6762	481.899	717	110	3	0	59.5132	1.05036	0.235161	0.0650005	17.3729	1.03469	0.120331	17.3729	0	17.3729	0	nan	0	0.12652	1.60216e+07	1	5.1541	-1	-1	-1	nu-candidate	1	1.8155618	-15.0	607.1194	12.149	6.087	1199220	{"10:1000006": "-1,-1,-1", "11:1000001": "-1,-1,-1", "12:1000005": "-1,-1,-1", "13:1000002": "-1,-1,-1", "14:2": "-1,-1,-1", "15:6": "0,0,0", "16:3": "-1,-1,-1", "2:10": "-1,-1,-1", "4:4": "-1,-1,-1", "6:0": "-1,-1,-1", "7:1": "-1,-1,-1", "9:1000012": "-1,-1,-1"}
mcp1k	56211	18255	0	1	11	88.6891	-32.1901	76.1603	368	50	1	0	21.8079	1.01994	0.214912	0.0571429	21.8079	1.01994	0.214912	21.8079	0	21.8079	0	nan	0	0.0202816	1.22207e+07	1	2.50084	-1	-1	-1	nu-candidate	1	-2.0332947	-15.0	192.55577	12.304	5.552	1214424	{"11:1000009": "0,0,1", "14:1000003": "-1,-1,-1", "16:1000001": "-1,-1,-1", "17:1000013": "-1,-1,-1", "18:1000012": "-1,-1,-1", "19:1000008": "-1,-1,-1", "20:19": "-1,-1,-1", "21:1000002": "-1,-1,-1", "22:1000005": "-1,-1,-1", "23:11": "-1,-1,-1", "24:3": "-1,-1,-1", "25:5": "-1,-1,-1", "26:6": "-1,-1,-1", "27:1000007": "-1,-1,-1", "4:4": "-1,-1,-1", "7:1000023": "-1,-1,-1", "8:1000020": "-1,-1,-1", "9:1000015": "-1,-1,-1"}
