sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp2k	47278	18259	0	1	6	-84.215	161.804	202.804	930	201	4	0	84.5861	1.02781	0.130113	0.0579942	0	nan	nan	0	0	0	0	62573.1	60	0.0655383	2.93982e+07	1	6.85039	320.564	0.93334	124.856	nu-candidate	1	2.013157	-15.0	819.26636	7.138	6.451	1205968	{"10:1000006": "-1,-1,-1", "12:1000008": "-1,-1,-1", "13:7": "-1,-1,-1", "14:1000004": "-1,-1,-1", "15:1000001": "-1,-1,-1", "16:3": "-1,-1,-1", "17:13": "-1,-1,-1", "18:4": "-1,-1,-1", "19:0": "-1,-1,-1", "2:10": "-1,-1,-1", "4:8": "-1,-1,-1", "6:6": "0,0,1", "7:2": "-1,-1,-1", "8:5": "-1,-1,-1"}
mcp2k	47784	18259	0	1	17	56.2589	-76.2026	113.706	1533	248	3	0	252.179	1.02716	0.746795	0.107669	219.662	1.02728	0.845284	219.662	219.662	219.662	0	50304.5	357	0.0710649	6.15243e+07	0	0	1050.44	0.620752	506.375	nu-candidate	1	4.3892465	-15.0	950.7971	8.170	7.488	1189664	{"10:1000009": "-1,-1,-1", "12:1000007": "-1,-1,-1", "13:1000014": "-1,-1,-1", "15:1000003": "-1,-1,-1", "16:4": "-1,-1,-1", "17:1000005": "0,0,0", "18:1000002": "-1,-1,-1", "19:1": "-1,-1,-1", "20:1000008": "-1,-1,-1", "3:5": "-1,-1,-1", "6:1000001": "-1,-1,-1", "8:1000011": "-1,-1,-1"}
mcp2k	49742	18259	0	1	16	180.684	54.3383	55.4748	982	252	1	0	107.644	1.02039	0.488473	0.0449438	0	nan	nan	0	0	0	0	54745.6	170	0.41971	3.43221e+07	1	20.3541	250.461	0.255466	266.421	nu-candidate	1	1.7154707	-15.0	445.76764	6.419	5.768	1185148	{"10:1000001": "-1,-1,-1", "12:1000003": "-1,-1,-1", "14:1000002": "-1,-1,-1", "15:1000007": "-1,-1,-1", "16:1000005": "0,0,1", "17:9": "-1,-1,-1", "18:14": "-1,-1,-1", "19:1000000": "-1,-1,-1", "2:4": "-1,-1,-1", "5:1000013": "-1,-1,-1", "6:1000009": "-1,-1,-1", "8:1000006": "-1,-1,-1"}
mcp2k	51219	18255	0	1	12	-85.4526	-110.517	16.9882	1988	274	4	0	243.621	1.07172	3.5063	0.142694	182.754	1.05398	4.33601	182.754	182.754	182.754	0	52410.7	295	0.0935586	5.27622e+07	1	29.1404	378.048	0.0289128	424.927	nu-candidate	1	3.5016227	-15.0	871.5172	9.807	9.160	1153084	{"10:1000002": "-1,-1,-1", "11:3": "-1,-1,-1", "12:1": "0,0,1", "13:1000005": "-1,-1,-1", "14:1000003": "-1,-1,-1", "1:9": "-1,-1,-1", "2:4": "-1,-1,-1", "3:8": "-1,-1,-1", "5:1000000": "-1,-1,-1", "6:1000001": "-1,-1,-1", "8:1000010": "-1,-1,-1"}
mcp2k	51546	18259	0	1	16	-158.943	171.433	424.025	416	47	2	0	69.8589	1.08188	0.309181	0.208696	69.8589	1.08188	0.309181	69.8589	69.8589	69.8589	69.8589	50989	107	0.11702	1.98703e+07	1	91.6745	273.134	0.864164	185.816	nu-candidate	1	1.0930674	-15.0	549.2874	6.726	7.246	1277340	{"10:1000010": "-1,-1,-1", "11:1000007": "-1,-1,-1", "12:1000000": "-1,-1,-1", "13:1000009": "-1,-1,-1", "14:1000004": "-1,-1,-1", "15:1000006": "-1,-1,-1", "16:2": "0,0,0", "17:1000005": "-1,-1,-1", "18:1000001": "-1,-1,-1", "19:9": "-1,-1,-1", "20:6": "-1,-1,-1", "3:5": "-1,-1,-1", "5:0": "-1,-1,-1", "6:8": "-1,-1,-1", "7:3": "-1,-1,-1", "8:4": "-1,-1,-1"}
mcp2k	51868	18255	0	1	7	12.1907	-23.1223	211.759	796	124	2	0	175.296	1.05716	4.78592	0.154379	164.777	1.05774	5.06956	164.777	164.777	164.777	164.777	53954.4	266	0.0162006	3.42437e+07	1	2.69352	411.016	0.540064	384.483	nu-candidate	1	1.1481467	-15.0	542.47833	5.922	6.364	1168216	{"3:1000004": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000000": "-1,-1,-1", "6:1000001": "-1,-1,-1", "7:1000002": "0,0,1", "8:1": "-1,-1,-1", "9:0": "-1,-1,-1"}
mcp2k	52044	18255	0	1	18	-85.0384	-118.245	240.741	1018	166	3	0	106.933	1.03156	1.87088	0.079096	106.933	1.03156	1.87088	106.933	0	106.933	0	54639.9	169	0.205073	3.39159e+07	1	150.66	265.123	0.37426	264.437	nu-candidate	1	2.6442153	-15.0	694.12524	7.342	7.832	1232008	{"12:1000003": "-1,-1,-1", "14:1000000": "-1,-1,-1", "15:6": "-1,-1,-1", "16:1000001": "-1,-1,-1", "17:5": "-1,-1,-1", "18:3": "0,0,1", "19:13": "-1,-1,-1", "3:1": "-1,-1,-1", "4:7": "-1,-1,-1", "6:0": "-1,-1,-1", "7:8": "-1,-1,-1", "9:12": "-1,-1,-1"}
mcp2k	52352	18255	0	1	17	-102.584	43.4803	338.396	63	10	1	1	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.343886	2.44829e+06	1	4.48573	-1	-1	-1	nu-candidate	1	-1.568721	-15.0	116.01239	4.578	5.015	1213652	{"10:1000005": "-1,-1,-1", "11:1000011": "-1,-1,-1", "12:1000003": "-1,-1,-1", "13:1000010": "-1,-1,-1", "14:1000008": "-1,-1,-1", "15:0": "-1,-1,-1", "16:1000000": "-1,-1,-1", "17:5": "0,0,1", "1:15": "-1,-1,-1", "3:11": "-1,-1,-1", "4:7": "-1,-1,-1", "9:1000007": "-1,-1,-1"}
mcp2k	53658	18259	0	1	15	-142.318	-92.4506	48.2798	1219	206	3	0	108.714	1.02254	0.743925	0.0562598	18.4118	1.054	0.0636317	18.4118	0	18.4118	0	nan	0	0.233614	3.56546e+07	1	36.0494	-1	-1	-1	nu-candidate	1	-1.0049818	-15.0	323.4329	5.208	5.725	1229396	{"10:1000003": "-1,-1,-1", "12:8": "-1,-1,-1", "13:1000008": "-1,-1,-1", "14:1000004": "-1,-1,-1", "15:6": "0,0,0", "16:2": "-1,-1,-1", "17:1": "-1,-1,-1", "18:1000011": "-1,-1,-1", "2:0": "-1,-1,-1", "4:4": "-1,-1,-1", "8:1000005": "-1,-1,-1", "9:1000002": "-1,-1,-1"}
mcp2k	53793	18255	0	1	37	83.6682	-21.8911	119.205	2354	349	6	0	192.949	1.04041	0.303511	0.104229	27.8115	1.09819	0.61612	27.8115	27.8115	27.8115	27.8115	49831.7	239	0.292765	6.16275e+07	0	0	907.742	0.012998	910.214	nu-candidate	1	4.9078503	-15.0	1445.5175	9.834	10.289	1224984	{"10:1000008": "-1,-1,-1", "11:1000005": "-1,-1,-1", "12:3": "0,0,1", "13:1000004": "-1,-1,-1", "14:5": "-1,-1,-1", "15:1000015": "-1,-1,-1", "1:13": "-1,-1,-1", "3:7": "-1,-1,-1", "5:0": "-1,-1,-1", "6:1000001": "-1,-1,-1", "8:1000011": "-1,-1,-1", "9:1000007": "-1,-1,-1"}
